subID,mean_cv_errors,mean_oe_errors,pure_block_errors,alt_switch_errors,alt_non_switch_errors,rand_switch_errors,rand_non_switch_errors,global_cost_alt,global_cost_rand,local_switch_cost_alt,local_switch_cost_rand
1,0.010416667,0.053191489,0.031804078,0.018518519,0,0.070175439,0.076923077,-0.031804078,0.045118999,0.018518519,-0.006747638
2,0.020833333,0.031578947,0.02620614,0.033898305,0.033333333,0.049180328,0,0.007127193,-0.02620614,0.000564972,0.049180328
3,0.052631579,0.041666667,0.047149123,0.103448276,0.068965517,0.166666667,0.035714286,0.021816394,-0.011434837,0.034482759,0.130952381
4,0,0.020833333,0.010416667,0,0,0.032786885,0,-0.010416667,-0.010416667,0,0.032786885
5,0.083333333,0.03125,0.057291667,0.101694915,0.066666667,0.083333333,0.050847458,0.009375,-0.006444209,0.035028249,0.032485876
6,0.010526316,0.021052632,0.015789474,0,0.051724138,0,0.017241379,0.035934664,0.001451906,-0.051724138,-0.017241379
7,0,0.105263158,0.052631579,0.084745763,0.017241379,0.033898305,0.035087719,-0.0353902,-0.01754386,0.067504383,-0.001189414
8,0,0.010416667,0.005208333,0.051724138,0.016393443,0,0.016949153,0.011185109,0.011740819,0.035330695,-0.016949153
9,0,0.052083333,0.026041667,0.016949153,0,0.032786885,0,-0.026041667,-0.026041667,0.016949153,0.032786885
10,0.010416667,0.022727273,0.01657197,0.02,0,0.022727273,0,-0.01657197,-0.01657197,0.02,0.022727273
11,0.020833333,0.052631579,0.036732456,0.016949153,0.016666667,0,0.017241379,-0.020065789,-0.019491077,0.000282486,-0.017241379
12,0.020833333,0.041666667,0.03125,0.050847458,0.033333333,0.05,0,0.002083333,-0.03125,0.017514124,0.05
13,0.010416667,0.020833333,0.015625,0.016949153,0.033333333,0.016393443,0,0.017708333,-0.015625,-0.016384181,0.016393443
14,0.010416667,0.03125,0.020833333,0.052631579,0,0.049180328,0.017857143,-0.020833333,-0.00297619,0.052631579,0.031323185
16,0.010638298,0.021052632,0.015845465,0,0,0,0,-0.015845465,-0.015845465,0,0
17,0.03125,0.041666667,0.036458333,0.052631579,0.016949153,0.109090909,0,-0.019509181,-0.036458333,0.035682426,0.109090909
19,0.010416667,0.041666667,0.026041667,0.068965517,0.032786885,0.147540984,0.068965517,0.006745219,0.042923851,0.036178632,0.078575466
20,0,0.03125,0.015625,0.050847458,0.016393443,0.033333333,0.051724138,0.000768443,0.036099138,0.034454015,-0.018390805
21,0.041666667,0.010416667,0.026041667,0.033898305,0.016393443,0.032786885,0.016949153,-0.009648224,-0.009092514,0.017504862,0.015837733
22,0,0.010416667,0.005208333,0.051724138,0,0.054545455,0,-0.005208333,-0.005208333,0.051724138,0.054545455
