"ExperimentName","Subject","Group","Block","Trial","STIM","TASK","Switch","Congruent","CVOE","Response","RT","block_type","letter","number","key2","response2","match2","score2","zRT"
"CVOE updated",5,1,1,11,"A 71","","",FALSE,"CV","p",2144,"cv","A",1,"v","v",TRUE,1,1.06088255165826
"CVOE updated",5,1,1,12,"I 66","","",TRUE,"CV","q",783,"cv","I",6,"v","c",FALSE,0,-0.406638583248238
"CVOE updated",5,1,1,13,"S 30","","",FALSE,"CV","q",636,"cv","S",0,"c","c",TRUE,1,-0.565143805019916
"CVOE updated",5,1,1,14,"D 20","","",FALSE,"CV","q",1261,"cv","D",0,"c","c",TRUE,1,0.108772954213412
"CVOE updated",5,1,1,15,"I 31","","",FALSE,"CV","p",611,"cv","I",1,"v","v",TRUE,1,-0.592100475389249
"CVOE updated",5,1,1,16,"P 16","","",FALSE,"CV","q",574,"cv","P",6,"c","c",TRUE,1,-0.631996347535863
"CVOE updated",5,1,1,17,"A 49","","",FALSE,"CV","p",777,"cv","A",9,"v","v",TRUE,1,-0.413108184136877
"CVOE updated",5,1,1,18,"O 64","","",TRUE,"CV","p",420,"cv","O",4,"v","v",TRUE,1,-0.798049437010955
"CVOE updated",5,1,1,19,"D 02","","",FALSE,"CV","q",466,"cv","D",2,"c","c",TRUE,1,-0.748449163531382
"CVOE updated",5,1,1,20,"P 81","","",TRUE,"CV","q",904,"cv","P",1,"c","c",TRUE,1,-0.276168298660665
"CVOE updated",5,1,1,21,"J 58","","",FALSE,"CV","q",693,"cv","J",8,"c","c",TRUE,1,-0.503682596577837
"CVOE updated",5,1,1,22,"A 22","","",TRUE,"CV","p",633,"cv","A",2,"v","v",TRUE,1,-0.568378605464236
"CVOE updated",5,1,1,23,"J 72","","",FALSE,"CV","q",582,"cv","J",2,"c","c",TRUE,1,-0.623370213017676
"CVOE updated",5,1,1,24,"P 91","","",TRUE,"CV","q",868,"cv","P",1,"c","c",TRUE,1,-0.314985903992505
"CVOE updated",5,1,1,25,"E 19","","",FALSE,"CV","p",642,"cv","E",9,"v","v",TRUE,1,-0.558674204131276
"CVOE updated",5,1,1,26,"I 30","","",TRUE,"CV","q",602,"cv","I",0,"v","c",FALSE,0,-0.601804876722209
"CVOE updated",5,1,1,27,"D 91","","",TRUE,"CV","q",587,"cv","D",1,"c","c",TRUE,1,-0.617978878943809
"CVOE updated",5,1,1,28,"O 48","","",TRUE,"CV","p",441,"cv","O",8,"v","v",TRUE,1,-0.775405833900715
"CVOE updated",5,1,1,29,"A 89","","",FALSE,"CV","p",921,"cv","A",9,"v","v",TRUE,1,-0.257837762809519
"CVOE updated",5,1,1,30,"U 11","","",FALSE,"CV","p",826,"cv","U",1,"v","v",TRUE,1,-0.360273110212985
"CVOE updated",5,1,1,31,"I 76","","",TRUE,"CV","q",1015,"cv","I",6,"v","c",FALSE,0,-0.156480682220826
"CVOE updated",5,1,1,32,"U 89","","",FALSE,"CV","p",827,"cv","U",9,"v","v",TRUE,1,-0.359194843398211
"CVOE updated",5,1,1,33,"D 63","","",TRUE,"CV","q",960,"cv","D",3,"c","c",TRUE,1,-0.215785357033359
"CVOE updated",5,1,1,34,"H 70","","",FALSE,"CV","q",689,"cv","H",0,"c","c",TRUE,1,-0.50799566383693
"CVOE updated",5,1,1,35,"D 48","","",FALSE,"CV","q",732,"cv","D",8,"c","c",TRUE,1,-0.461630190801677
"CVOE updated",5,1,1,36,"P 56","","",FALSE,"CV","q",895,"cv","P",6,"c","c",TRUE,1,-0.285872699993625
"CVOE updated",5,1,1,37,"O 77","","",FALSE,"CV","p",658,"cv","O",7,"v","v",TRUE,1,-0.541421935094903
"CVOE updated",5,1,1,38,"P 42","","",FALSE,"CV","q",766,"cv","P",2,"c","c",TRUE,1,-0.424969119099384
"CVOE updated",5,1,1,39,"H 22","","",FALSE,"CV","q",870,"cv","H",2,"c","c",TRUE,1,-0.312829370362958
"CVOE updated",5,1,1,40,"E 42","","",TRUE,"CV","p",716,"cv","E",2,"v","v",TRUE,1,-0.47888245983805
"CVOE updated",5,1,1,41,"J 28","","",FALSE,"CV","q",588,"cv","J",8,"c","c",TRUE,1,-0.616900612129036
