"","ExperimentName","Subject","Group","Block","Trial","STIM","TASK","Switch","Congruent","CVOE","Response","KEY","RT","Match","score","block_type","zRT"
"1","CVOE updated",5,1,1,11,"A 71","","",FALSE,"CV","p","p",2144,TRUE,1,"cv",0.977581979262961
"2","CVOE updated",5,1,1,12,"I 66","","",TRUE,"CV","q","p",783,FALSE,0,"cv",-0.438362679120617
"3","CVOE updated",5,1,1,13,"S 30","","",FALSE,"CV","q","q",636,TRUE,1,"cv",-0.59129718667564
"4","CVOE updated",5,1,1,14,"D 20","","",FALSE,"CV","q","q",1261,TRUE,1,"cv",0.0589345631331305
"5","CVOE updated",5,1,1,15,"I 31","","",FALSE,"CV","p","p",611,TRUE,1,"cv",-0.617306456667991
"6","CVOE updated",5,1,1,16,"P 16","","",FALSE,"CV","q","q",574,TRUE,1,"cv",-0.65580017625667
"7","CVOE updated",5,1,1,17,"A 49","","",FALSE,"CV","p","p",777,TRUE,1,"cv",-0.444604903918781
"8","CVOE updated",5,1,1,18,"O 64","","",TRUE,"CV","p","p",420,TRUE,1,"cv",-0.816017279409551
"9","CVOE updated",5,1,1,19,"D 02","","",FALSE,"CV","q","q",466,TRUE,1,"cv",-0.768160222623625
"10","CVOE updated",5,1,1,20,"P 81","","",TRUE,"CV","q","q",904,TRUE,1,"cv",-0.312477812357639
"11","CVOE updated",5,1,1,21,"J 58","","",FALSE,"CV","q","q",693,TRUE,1,"cv",-0.53199605109308
"12","CVOE updated",5,1,1,22,"A 22","","",TRUE,"CV","p","p",633,TRUE,1,"cv",-0.594418299074722
"13","CVOE updated",5,1,1,23,"J 72","","",FALSE,"CV","q","q",582,TRUE,1,"cv",-0.647477209859118
"14","CVOE updated",5,1,1,24,"P 91","","",TRUE,"CV","q","q",868,TRUE,1,"cv",-0.349931161146624
"15","CVOE updated",5,1,1,25,"E 19","","",FALSE,"CV","p","p",642,TRUE,1,"cv",-0.585054961877476
"16","CVOE updated",5,1,1,26,"I 30","","",TRUE,"CV","q","p",602,FALSE,0,"cv",-0.626669793865237
"17","CVOE updated",5,1,1,27,"D 91","","",TRUE,"CV","q","q",587,TRUE,1,"cv",-0.642275355860648
"18","CVOE updated",5,1,1,28,"O 48","","",TRUE,"CV","p","p",441,TRUE,1,"cv",-0.794169492615976
"19","CVOE updated",5,1,1,29,"A 89","","",FALSE,"CV","p","p",921,TRUE,1,"cv",-0.294791508762841
"20","CVOE updated",5,1,1,30,"U 11","","",FALSE,"CV","p","p",826,TRUE,1,"cv",-0.393626734733774
"21","CVOE updated",5,1,1,31,"I 76","","",TRUE,"CV","q","p",1015,FALSE,0,"cv",-0.196996653591602
"22","CVOE updated",5,1,1,32,"U 89","","",FALSE,"CV","p","p",827,TRUE,1,"cv",-0.39258636393408
"23","CVOE updated",5,1,1,33,"D 63","","",TRUE,"CV","q","q",960,TRUE,1,"cv",-0.254217047574773
"24","CVOE updated",5,1,1,34,"H 70","","",FALSE,"CV","q","q",689,TRUE,1,"cv",-0.536157534291856
"25","CVOE updated",5,1,1,35,"D 48","","",FALSE,"CV","q","q",732,TRUE,1,"cv",-0.491421589905013
"26","CVOE updated",5,1,1,36,"P 56","","",FALSE,"CV","q","q",895,TRUE,1,"cv",-0.321841149554885
"27","CVOE updated",5,1,1,37,"O 77","","",FALSE,"CV","p","p",658,TRUE,1,"cv",-0.568409029082371
"28","CVOE updated",5,1,1,38,"P 42","","",FALSE,"CV","q","q",766,TRUE,1,"cv",-0.456048982715416
"29","CVOE updated",5,1,1,39,"H 22","","",FALSE,"CV","q","q",870,TRUE,1,"cv",-0.347850419547236
"30","CVOE updated",5,1,1,40,"E 42","","",TRUE,"CV","p","p",716,TRUE,1,"cv",-0.508067522700117
"31","CVOE updated",5,1,1,41,"J 28","","",FALSE,"CV","q","q",588,TRUE,1,"cv",-0.641234985060953
"32","CVOE updated",5,1,1,42,"E 95","","",FALSE,"CV","p","p",506,TRUE,1,"cv",-0.726545390635864
"33","CVOE updated",5,1,1,43,"S 63","","",TRUE,"CV","q","q",640,TRUE,1,"cv",-0.587135703476864
"34","CVOE updated",5,1,1,44,"H 50","","",FALSE,"CV","q","q",1032,TRUE,1,"cv",-0.179310349996803
"35","CVOE updated",5,1,1,45,"S 33","","",TRUE,"CV","q","q",470,TRUE,1,"cv",-0.763998739424849
"36","CVOE updated",5,1,1,46,"P 57","","",TRUE,"CV","q","q",836,TRUE,1,"cv",-0.383223026736833
"37","CVOE updated",5,1,1,47,"E 23","","",FALSE,"CV","p","p",828,TRUE,1,"cv",-0.391545993134386
"38","CVOE updated",5,1,1,48,"S 61","","",TRUE,"CV","q","q",1066,TRUE,1,"cv",-0.143937742807206
"39","CVOE updated",5,1,1,49,"U 67","","",FALSE,"CV","p","p",528,TRUE,1,"cv",-0.703657233042595
"40","CVOE updated",5,1,1,50,"H 32","","",FALSE,"CV","q","q",547,TRUE,1,"cv",-0.683890187848409
"41","CVOE updated",5,1,1,51,"U 50","","",TRUE,"CV","p","p",609,TRUE,1,"cv",-0.619387198267379
"42","CVOE updated",5,1,1,52,"O 49","","",FALSE,"CV","p","p",452,TRUE,1,"cv",-0.782725413819342
"43","CVOE updated",5,1,1,53,"U 32","","",TRUE,"CV","p","p",479,TRUE,1,"cv",-0.754635402227603
"44","CVOE updated",5,1,1,54,"J 78","","",FALSE,"CV","q","q",560,TRUE,1,"cv",-0.670365367452386
"45","CVOE updated",5,1,1,55,"S 54","","",FALSE,"CV","q","q",504,TRUE,1,"cv",-0.728626132235252
"46","CVOE updated",5,1,1,56,"J 27","","",TRUE,"CV","q","q",638,TRUE,1,"cv",-0.589216445076252
"47","CVOE updated",5,1,1,57,"S 06","","",FALSE,"CV","q","q",470,TRUE,1,"cv",-0.763998739424849
"48","CVOE updated",5,1,1,58,"D 67","","",TRUE,"CV","q","q",644,TRUE,1,"cv",-0.582974220278088
"49","CVOE updated",5,1,1,59,"A 79","","",FALSE,"CV","p","p",580,TRUE,1,"cv",-0.649557951458506
"50","CVOE updated",5,1,1,60,"S 52","","",FALSE,"CV","q","q",466,TRUE,1,"cv",-0.768160222623625
"51","CVOE updated",5,1,1,61,"U 16","","",TRUE,"CV","p","p",912,TRUE,1,"cv",-0.304154845960087
"52","CVOE updated",5,1,1,62,"O 82","","",TRUE,"CV","p","p",670,TRUE,1,"cv",-0.555924579486043
"53","CVOE updated",5,1,1,63,"H 87","","",TRUE,"CV","q","q",547,TRUE,1,"cv",-0.683890187848409
"54","CVOE updated",5,1,1,64,"I 32","","",TRUE,"CV","p","p",881,TRUE,1,"cv",-0.336406340750602
"55","CVOE updated",5,1,1,65,"U 37","","",FALSE,"CV","p","p",562,TRUE,1,"cv",-0.668284625852998
"56","CVOE updated",5,1,1,66,"I 42","","",TRUE,"CV","p","p",946,TRUE,1,"cv",-0.26878223877049
"57","CVOE updated",5,1,1,67,"D 65","","",TRUE,"CV","q","q",416,TRUE,1,"cv",-0.820178762608327
"58","CVOE updated",5,1,1,68,"U 77","","",FALSE,"CV","p","p",491,TRUE,1,"cv",-0.742150952631275
"59","CVOE updated",5,1,1,69,"E 12","","",TRUE,"CV","q","p",590,FALSE,0,"cv",-0.639154243461565
"60","CVOE updated",5,1,1,70,"I 60","","",TRUE,"CV","p","p",964,TRUE,1,"cv",-0.250055564375997
"61","CVOE updated",5,1,1,71,"J 36","","",FALSE,"CV","q","q",1332,TRUE,1,"cv",0.132800889911407
"62","CVOE updated",5,1,1,72,"H 75","","",TRUE,"CV","q","q",1288,TRUE,1,"cv",0.0870245747248694
"63","CVOE updated",5,1,1,73,"I 50","","",TRUE,"CV","q","p",555,FALSE,0,"cv",-0.675567221450857
"64","CVOE updated",5,1,1,74,"E 99","","",FALSE,"CV","p","p",956,TRUE,1,"cv",-0.258378530773549
"65","CVOE updated",5,1,1,75,"A 86","","",TRUE,"CV","q","p",716,FALSE,0,"cv",-0.508067522700117
"66","CVOE updated",5,1,1,76,"U 48","","",TRUE,"CV","p","p",533,TRUE,1,"cv",-0.698455379044125
"67","CVOE updated",5,1,1,77,"E 01","","",FALSE,"CV","p","p",656,TRUE,1,"cv",-0.570489770681759
"68","CVOE updated",5,1,1,78,"A 78","","",TRUE,"CV","q","p",731,FALSE,0,"cv",-0.492461960704707
"69","CVOE updated",5,1,1,79,"P 60","","",FALSE,"CV","q","q",598,TRUE,1,"cv",-0.630831277064013
"70","CVOE updated",5,1,1,80,"E 43","","",FALSE,"CV","p","p",958,TRUE,1,"cv",-0.256297789174161
"71","CVOE updated",5,1,1,81,"D 69","","",TRUE,"CV","q","q",559,TRUE,1,"cv",-0.67140573825208
"72","CVOE updated",5,1,1,82,"H 11","","",TRUE,"CV","q","q",895,TRUE,1,"cv",-0.321841149554885
"73","CVOE updated",5,1,1,83,"P 43","","",TRUE,"CV","q","q",619,TRUE,1,"cv",-0.608983490270439
"74","CVOE updated",5,1,1,84,"O 67","","",FALSE,"CV","p","p",1134,TRUE,1,"cv",-0.0731925284280116
"75","CVOE updated",5,1,1,85,"S 91","","",FALSE,"CV","q","q",505,TRUE,1,"cv",-0.727585761435558
"76","CVOE updated",5,1,1,86,"J 68","","",TRUE,"CV","q","q",647,TRUE,1,"cv",-0.579853107879006
"77","CVOE updated",5,1,1,87,"S 47","","",FALSE,"CV","q","q",762,TRUE,1,"cv",-0.460210465914192
"78","CVOE updated",5,1,1,88,"I 81","","",TRUE,"CV","p","p",690,TRUE,1,"cv",-0.535117163492162
"79","CVOE updated",5,1,1,89,"J 39","","",FALSE,"CV","q","q",621,TRUE,1,"cv",-0.60690274867105
"80","CVOE updated",5,1,1,90,"A 11","","",TRUE,"CV","p","p",811,TRUE,1,"cv",-0.409232296729184
"81","CVOE updated",5,1,1,91,"O 76","","",FALSE,"CV","p","p",510,TRUE,1,"cv",-0.722383907437088
"82","CVOE updated",5,1,1,92,"A 62","","",FALSE,"CV","p","p",1260,TRUE,1,"cv",0.0578941923334365
"83","CVOE updated",5,1,1,93,"O 27","","",TRUE,"CV","p","p",466,TRUE,1,"cv",-0.768160222623625
"84","CVOE updated",5,1,1,94,"E 66","","",FALSE,"CV","q","p",552,FALSE,0,"cv",-0.678688333849939
"85","CVOE updated",5,1,1,95,"J 62","","",TRUE,"CV","q","q",774,TRUE,1,"cv",-0.447726016317863
"86","CVOE updated",5,1,1,96,"H 72","","",TRUE,"CV","q","q",609,TRUE,1,"cv",-0.619387198267379
"87","CVOE updated",5,1,1,97,"E 49","","",TRUE,"CV","p","p",948,TRUE,1,"cv",-0.266701497171102
"88","CVOE updated",5,1,1,98,"D 52","","",TRUE,"CV","q","q",466,TRUE,1,"cv",-0.768160222623625
"89","CVOE updated",5,1,1,99,"H 62","","",TRUE,"CV","q","q",551,TRUE,1,"cv",-0.679728704649633
"90","CVOE updated",5,1,1,100,"I 11","","",TRUE,"CV","p","p",637,TRUE,1,"cv",-0.590256815875946
"91","CVOE updated",5,1,1,101,"A 98","","",FALSE,"CV","p","p",1494,TRUE,1,"cv",0.30134095946184
"92","CVOE updated",5,1,1,102,"H 29","","",FALSE,"CV","q","q",1457,TRUE,1,"cv",0.262847239873161
"93","CVOE updated",5,1,1,103,"E 83","","",TRUE,"CV","p","p",596,TRUE,1,"cv",-0.632912018663401
"94","CVOE updated",5,1,1,104,"D 43","","",FALSE,"CV","q","q",501,TRUE,1,"cv",-0.731747244634334
"95","CVOE updated",5,1,1,105,"P 45","","",TRUE,"CV","q","q",491,TRUE,1,"cv",-0.742150952631275
"96","CVOE updated",5,1,1,106,"J 17","","",TRUE,"CV","q","q",462,TRUE,1,"cv",-0.772321705822402
"97","CVOE updated",5,1,2,11,"A 24","","",TRUE,"OE","p","p",879,TRUE,1,"oe",-0.33848708234999
"98","CVOE updated",5,1,2,12,"O 83","","",FALSE,"OE","q","q",495,TRUE,1,"oe",-0.737989469432499
"99","CVOE updated",5,1,2,13,"H 55","","",TRUE,"OE","q","q",626,TRUE,1,"oe",-0.60170089467258
"100","CVOE updated",5,1,2,14,"P 10","","",FALSE,"OE","p","p",960,TRUE,1,"oe",-0.254217047574773
"101","CVOE updated",5,1,2,15,"D 30","","",FALSE,"OE","p","p",872,TRUE,1,"oe",-0.345769677947848
"102","CVOE updated",5,1,2,16,"U 62","","",TRUE,"OE","p","p",1646,TRUE,1,"oe",0.459477321015333
"103","CVOE updated",5,1,2,17,"P 95","","",TRUE,"OE","q","q",626,TRUE,1,"oe",-0.60170089467258
"104","CVOE updated",5,1,2,18,"U 06","","",TRUE,"OE","p","p",592,TRUE,1,"oe",-0.637073501862177
"105","CVOE updated",5,1,2,19,"E 75","","",FALSE,"OE","q","q",533,TRUE,1,"oe",-0.698455379044125
"106","CVOE updated",5,1,2,20,"I 67","","",FALSE,"OE","q","q",1128,TRUE,1,"oe",-0.0794347532261758
"107","CVOE updated",5,1,2,21,"S 13","","",TRUE,"OE","q","q",1620,TRUE,1,"oe",0.432427680223288
"108","CVOE updated",5,1,2,22,"P 78","","",FALSE,"OE","p","p",578,TRUE,1,"oe",-0.651638693057894
"109","CVOE updated",5,1,2,23,"I 15","","",FALSE,"OE","q","q",1461,TRUE,1,"oe",0.267008723071937
"110","CVOE updated",5,1,2,24,"D 27","","",TRUE,"OE","q","q",659,TRUE,1,"oe",-0.567368658282677
"111","CVOE updated",5,1,2,25,"O 94","","",TRUE,"OE","p","p",838,TRUE,1,"oe",-0.381142285137445
"112","CVOE updated",5,1,2,26,"A 65","","",FALSE,"OE","q","q",519,TRUE,1,"oe",-0.713020570239842
"113","CVOE updated",5,1,2,27,"I 42","","",TRUE,"OE","p","p",607,TRUE,1,"oe",-0.621467939866767
"114","CVOE updated",5,1,2,28,"E 25","","",FALSE,"OE","q","q",530,TRUE,1,"oe",-0.701576491443207
"115","CVOE updated",5,1,2,29,"H 49","","",TRUE,"OE","q","q",557,TRUE,1,"oe",-0.673486479851468
"116","CVOE updated",5,1,2,30,"S 18","","",FALSE,"OE","p","p",558,TRUE,1,"oe",-0.672446109051774
"117","CVOE updated",5,1,2,31,"H 51","","",TRUE,"OE","q","q",678,TRUE,1,"oe",-0.547601613088491
"118","CVOE updated",5,1,2,32,"U 14","","",TRUE,"OE","p","p",815,TRUE,1,"oe",-0.405070813530408
"119","CVOE updated",5,1,2,33,"E 02","","",TRUE,"OE","p","p",602,TRUE,1,"oe",-0.626669793865237
