mean_cv_errors,mean_oe_errors,pure_block_errors,alt_switch_errors,alt_non_switch_errors,rand_switch_errors,rand_non_switch_errors,global_cost_alt,global_cost_rand,local_switch_cost_alt,local_switch_cost_rand
0.010416667,0.052631579,-0.042214912,0.018518519,0,0.070175439,0.075471698,0.042214912,0.11768661,0.018518519,-0.00529626
0.020833333,0.031578947,-0.010745614,0.033898305,0.032786885,0.049180328,0,0.043532499,0.010745614,0.00111142,0.049180328
0.052631579,0.041666667,0.010964912,0.101694915,0.068965517,0.166666667,0.035714286,0.058000605,0.024749373,0.032729398,0.130952381
0,0.020833333,-0.020833333,0,0,0.032786885,0,0.020833333,0.020833333,0,0.032786885
0.083333333,0.03125,0.052083333,0.101694915,0.066666667,0.083333333,0.050847458,0.014583333,-0.001235876,0.035028249,0.032485876
0.010526316,0.021052632,-0.010526316,0,0.05,0,0.017241379,0.060526316,0.027767695,-0.05,-0.017241379
0,0.105263158,-0.105263158,0.084745763,0.016666667,0.033333333,0.034482759,0.121929825,0.139745917,0.068079096,-0.001149425
0,0.010416667,-0.010416667,0.051724138,0.016393443,0,0.016949153,0.026810109,0.027365819,0.035330695,-0.016949153
0,0.052083333,-0.052083333,0.016949153,0,0.032786885,0,0.052083333,0.052083333,0.016949153,0.032786885
0.010416667,0.02247191,-0.012055243,0.019607843,0,0.020833333,0,0.012055243,0.012055243,0.019607843,0.020833333
0.020833333,0.052083333,-0.03125,0.016949153,0.016666667,0,0.017241379,0.047916667,0.048491379,0.000282486,-0.017241379
0.020833333,0.041666667,-0.020833333,0.050847458,0.033333333,0.05,0,0.054166667,0.020833333,0.017514124,0.05
0.010416667,0.020833333,-0.010416667,0.016949153,0.033333333,0.016393443,0,0.04375,0.010416667,-0.016384181,0.016393443
0.010416667,0.03125,-0.020833333,0.051724138,0,0.049180328,0.017857143,0.020833333,0.038690476,0.051724138,0.031323185
0.104166667,0.21875,-0.114583333,0.271186441,0.262295082,0.229508197,0.305084746,0.376878415,0.419668079,0.008891359,-0.075576549
0.010638298,0.020833333,-0.010195035,0,0,0,0,0.010195035,0.010195035,0,0
0.03125,0.041666667,-0.010416667,0.051724138,0.016393443,0.107142857,0,0.026810109,0.010416667,0.035330695,0.107142857
0.75,0.03125,0.71875,0.051724138,0.016949153,0.016666667,0,-0.701800847,-0.71875,0.034774985,0.016666667
0.010416667,0.041666667,-0.03125,0.06779661,0.032786885,0.147540984,0.06779661,0.064036885,0.09904661,0.035009725,0.079744373
0,0.03125,-0.03125,0.050847458,0.016393443,0.033333333,0.051724138,0.047643443,0.082974138,0.034454015,-0.018390805
0.041666667,0.010416667,0.03125,0.033898305,0.016393443,0.032786885,0.016949153,-0.014856557,-0.014300847,0.017504862,0.015837733
,,,,,,,,,,
0.057085533,0.044329281,,0.052022883,0.033143998,0.055792805,0.033683805,,,,
