"","Subject","Condition","ListNum","Recall"
"1",37,"A","q1",1
"2",49,"A","q1",0
"3",53,"A","q1",0
"4",57,"A","q1",1
"5",61,"A","q1",0
"6",65,"A","q1",1
"7",69,"A","q1",0
"34",37,"A","q10",1
"35",49,"A","q10",1
"36",53,"A","q10",1
"37",57,"A","q10",1
"38",61,"A","q10",1
"39",65,"A","q10",1
"40",69,"A","q10",1
"67",37,"A","q11",0
"68",49,"A","q11",0
"69",53,"A","q11",0
"70",57,"A","q11",1
"71",61,"A","q11",0
"72",65,"A","q11",0
"73",69,"A","q11",0
"100",37,"A","q12",1
"101",49,"A","q12",0
"102",53,"A","q12",1
"103",57,"A","q12",1
"104",61,"A","q12",1
"105",65,"A","q12",1
"106",69,"A","q12",1
"133",37,"A","q13",1
"134",49,"A","q13",0
"135",53,"A","q13",0
"136",57,"A","q13",0
"137",61,"A","q13",1
"138",65,"A","q13",1
"139",69,"A","q13",0
"166",37,"A","q14",0
"167",49,"A","q14",1
"168",53,"A","q14",0
"169",57,"A","q14",1
"170",61,"A","q14",1
"171",65,"A","q14",1
"172",69,"A","q14",0
"199",37,"A","q15",1
"200",49,"A","q15",1
"201",53,"A","q15",0
"202",57,"A","q15",1
"203",61,"A","q15",1
"204",65,"A","q15",1
"205",69,"A","q15",1
"232",37,"A","q16",1
"233",49,"A","q16",0
"234",53,"A","q16",1
"235",57,"A","q16",1
"236",61,"A","q16",1
"237",65,"A","q16",0
"238",69,"A","q16",0
"265",37,"A","q17",1
"266",49,"A","q17",1
"267",53,"A","q17",1
"268",57,"A","q17",1
"269",61,"A","q17",1
"270",65,"A","q17",1
"271",69,"A","q17",0
"298",37,"A","q18",1
"299",49,"A","q18",0
"300",53,"A","q18",0
"301",57,"A","q18",1
"302",61,"A","q18",1
"303",65,"A","q18",1
"304",69,"A","q18",1
"331",37,"A","q19",0
"332",49,"A","q19",1
"333",53,"A","q19",1
"334",57,"A","q19",1
"335",61,"A","q19",1
"336",65,"A","q19",0
"337",69,"A","q19",1
"364",37,"A","q2",1
"365",49,"A","q2",0
"366",53,"A","q2",1
"367",57,"A","q2",1
"368",61,"A","q2",1
"369",65,"A","q2",0
"370",69,"A","q2",1
"397",37,"A","q20",1
"398",49,"A","q20",1
"399",53,"A","q20",1
"400",57,"A","q20",1
"401",61,"A","q20",1
"402",65,"A","q20",1
"403",69,"A","q20",1
"430",37,"A","q21",1
"431",49,"A","q21",0
"432",53,"A","q21",0
"433",57,"A","q21",1
"434",61,"A","q21",0
"435",65,"A","q21",0
"436",69,"A","q21",0
"463",37,"A","q22",0
"464",49,"A","q22",1
"465",53,"A","q22",0
"466",57,"A","q22",0
"467",61,"A","q22",0
"468",65,"A","q22",1
"469",69,"A","q22",0
"496",37,"A","q23",1
"497",49,"A","q23",1
"498",53,"A","q23",0
"499",57,"A","q23",1
"500",61,"A","q23",1
"501",65,"A","q23",1
"502",69,"A","q23",0
"529",37,"A","q24",0
"530",49,"A","q24",0
"531",53,"A","q24",0
"532",57,"A","q24",0
"533",61,"A","q24",0
"534",65,"A","q24",0
"535",69,"A","q24",0
"562",37,"A","q25",1
"563",49,"A","q25",1
"564",53,"A","q25",0
"565",57,"A","q25",1
"566",61,"A","q25",1
"567",65,"A","q25",1
"568",69,"A","q25",0
"595",37,"A","q26",1
"596",49,"A","q26",0
"597",53,"A","q26",0
"598",57,"A","q26",1
"599",61,"A","q26",1
"600",65,"A","q26",1
"601",69,"A","q26",0
"628",37,"A","q27",0
"629",49,"A","q27",1
"630",53,"A","q27",0
"631",57,"A","q27",0
"632",61,"A","q27",0
"633",65,"A","q27",1
"634",69,"A","q27",0
"661",37,"A","q28",0
"662",49,"A","q28",0
"663",53,"A","q28",0
"664",57,"A","q28",0
"665",61,"A","q28",0
"666",65,"A","q28",1
"667",69,"A","q28",0
"694",37,"A","q29",0
"695",49,"A","q29",0
"696",53,"A","q29",0
"697",57,"A","q29",1
"698",61,"A","q29",1
"699",65,"A","q29",1
"700",69,"A","q29",1
"727",37,"A","q3",0
"728",49,"A","q3",1
"729",53,"A","q3",0
"730",57,"A","q3",1
"731",61,"A","q3",1
"732",65,"A","q3",1
"733",69,"A","q3",0
"760",37,"A","q30",0
"761",49,"A","q30",0
"762",53,"A","q30",0
"763",57,"A","q30",0
"764",61,"A","q30",0
"765",65,"A","q30",0
"766",69,"A","q30",1
"793",37,"A","q31",1
"794",49,"A","q31",0
"795",53,"A","q31",0
"796",57,"A","q31",1
"797",61,"A","q31",1
"798",65,"A","q31",0
"799",69,"A","q31",0
"826",37,"A","q32",1
"827",49,"A","q32",1
"828",53,"A","q32",0
"829",57,"A","q32",0
"830",61,"A","q32",0
"831",65,"A","q32",0
"832",69,"A","q32",0
"859",37,"A","q33",0
"860",49,"A","q33",0
"861",53,"A","q33",0
"862",57,"A","q33",0
"863",61,"A","q33",0
"864",65,"A","q33",1
"865",69,"A","q33",0
"892",37,"A","q34",0
"893",49,"A","q34",0
"894",53,"A","q34",0
"895",57,"A","q34",0
"896",61,"A","q34",1
"897",65,"A","q34",1
"898",69,"A","q34",1
"925",37,"A","q35",0
"926",49,"A","q35",0
"927",53,"A","q35",0
"928",57,"A","q35",0
"929",61,"A","q35",0
"930",65,"A","q35",0
"931",69,"A","q35",0
"958",37,"A","q36",0
"959",49,"A","q36",0
"960",53,"A","q36",0
"961",57,"A","q36",0
"962",61,"A","q36",0
"963",65,"A","q36",0
"964",69,"A","q36",0
"991",37,"A","q37",0
"992",49,"A","q37",1
"993",53,"A","q37",0
"994",57,"A","q37",0
