Subject,ListNum,cue_target,Jol_Response,Scored_Response,Direction,JOL BIN,mean,Var,SD,Scaled SD,n,,Upper,,Lower,Mean
35,60,Maroon - Justice,0,0,U,0,0.090909091,0.083022001,0.288135386,28.81353863,220,0.128984215,12.89842151,0.052833967,5.28339667,9.090909091
35,69,Hate - Name,0,0,U,10,0.144444444,0.124968789,0.353509249,35.35092488,90,0.217480212,21.74802119,0.071408677,7.140867696,14.44444444
35,70,Bang - Fuzzy,0,0,U,20,0.108433735,0.097854834,0.312817573,31.2817573,83,0.175732666,17.57326662,0.041134804,4.113480369,10.84337349
35,71,Clear - Moat,0,0,U,30,0.111111111,0.104575163,0.323380833,32.33808334,18,0.260505434,26.05054342,-0.038283212,-3.828321195,11.11111111
35,73,Steak - Give,0,0,U,40,0.095238095,0.09047619,0.300792604,30.07926038,21,0.223889217,22.38892169,-0.033413026,-3.341302645,9.523809524
35,74,Clothes - Cake,0,0,U,50,0.107142857,0.099206349,0.314970394,31.49703942,28,0.223809524,22.38095238,-0.00952381,-0.952380952,10.71428571
35,77,Ounce - Both,0,0,U,60,0.058823529,0.058823529,0.242535625,24.2535625,17,0.174117647,17.41176471,-0.056470588,-5.647058824,5.882352941
35,79,Children - Mirror,0,0,U,70,0.111111111,0.104575163,0.323380833,32.33808334,18,0.260505434,26.05054342,-0.038283212,-3.828321195,11.11111111
36,60,Maroon - Justice,0,1,U,80,0.157894737,0.140350877,0.374634325,37.46343246,19,0.326350874,32.63508735,-0.0105614,-1.056139985,15.78947368
36,64,Obtain - Meat,0,0,U,90,0.166666667,0.151515152,0.389249472,38.92494721,12,0.386905288,38.69052884,-0.053571955,-5.357195507,16.66666667
36,65,Able - Crackle,0,0,U,100,0.333333333,0.235294118,0.48507125,48.50712501,18,0.557424818,55.74248179,0.109241849,10.92418487,33.33333333
36,68,Joke - Keys,0,0,U,,,,,,,,,,,
36,69,Hate - Name,0,0,U,,,,,,,,,,,
36,70,Bang - Fuzzy,0,0,U,,,,,,,,,,,
36,74,Clothes - Cake,0,0,U,,,,,,,,,,,
36,75,Toil - Lease,0,0,U,,,,,,,,,,,
36,76,Sign - Loan,0,0,U,,,,,,,,,,,
36,77,Ounce - Both,0,0,U,,,,,,,,,,,
36,79,Children - Mirror,0,0,U,,,,,,,,,,,
36,61,Clutter - Pusher,0,0,U,,,,,,,,,,,
36,62,Sacking - Dietary,0,0,U,,,,,,,,,,,
36,63,Hungry - Park,0,0,U,,,,,,,,,,,
36,65,Belt - Soon,0,0,U,,,,,,,,,,,
36,66,Floor - Discover,0,0,U,,,,,,,,,,,
36,67,Business - Death,0,0,U,,,,,,,,,,,
36,68,Sight - Debate,0,0,U,,,,,,,,,,,
36,70,Hand - Fix,0,0,U,,,,,,,,,,,
36,72,Car - Happy,0,0,U,,,,,,,,,,,
36,73,Tuck - Allow,0,1,U,,,,,,,,,,,
