Subject,Condition,ListNum,Direction,Block,Jol
36,D,1,F,1,100
36,D,2,F,1,32
36,D,3,F,1,97
36,D,4,F,1,20
36,D,5,F,1,25
36,D,6,F,1,34
36,D,7,F,1,100
36,D,8,F,1,50
36,D,9,F,1,92
36,D,10,F,1,90
36,D,11,F,1,12
36,D,12,F,1,79
36,D,13,F,1,100
36,D,14,F,1,40
36,D,15,F,1,68
36,D,16,F,1,50
36,D,17,F,1,100
36,D,18,F,1,100
36,D,19,F,1,50
36,D,20,F,1,100
36,D,21,B,1,43
36,D,22,B,1,75
36,D,23,B,1,98
36,D,24,B,1,10
36,D,25,B,1,92
36,D,26,B,1,99
36,D,27,B,1,40
36,D,28,B,1,99
36,D,29,B,1,20
36,D,30,B,1,100
36,D,31,B,1,100
36,D,32,B,1,50
36,D,33,B,1,23
36,D,34,B,1,4
36,D,35,B,1,99
36,D,36,B,1,78
36,D,37,B,1,5
36,D,38,B,1,50
36,D,39,B,1,50
36,D,40,B,1,50
36,D,41,S,1,23
36,D,42,S,1,10
36,D,43,S,1,1
36,D,44,S,1,97
36,D,45,S,1,15
36,D,46,S,1,100
36,D,47,S,1,98
36,D,48,S,1,65
36,D,49,S,1,0
36,D,50,S,1,65
36,D,51,S,1,50
36,D,52,S,1,50
36,D,53,S,1,100
36,D,54,S,1,89
36,D,55,S,1,79
36,D,56,S,1,50
36,D,57,S,1,100
36,D,58,S,1,100
36,D,59,S,1,13
36,D,60,S,1,0
36,D,61,U,1,1
36,D,62,U,1,12
36,D,63,U,1,10
36,D,64,U,1,0
36,D,65,U,1,0
36,D,66,U,1,2
36,D,67,U,1,50
36,D,68,U,1,0
36,D,69,U,1,0
36,D,70,U,1,0
36,D,71,U,1,1
36,D,72,U,1,34
36,D,73,U,1,45
36,D,74,U,1,0
36,D,75,U,1,0
36,D,76,U,1,0
36,D,77,U,1,0
36,D,78,U,1,17
36,D,79,U,1,0
36,D,80,U,1,1
40,D,1,F,1,45
40,D,2,F,1,67
40,D,3,F,1,
40,D,4,F,1,78
40,D,5,F,1,56
40,D,6,F,1,23
40,D,7,F,1,56
40,D,8,F,1,55
40,D,9,F,1,78
40,D,10,F,1,78
40,D,11,F,1,78
40,D,12,F,1,78
40,D,13,F,1,7
40,D,14,F,1,99
40,D,15,F,1,88
40,D,16,F,1,67
40,D,17,F,1,88
40,D,18,F,1,77
40,D,19,F,1,45
40,D,20,F,1,56
40,D,21,B,1,45
40,D,22,B,1,54
40,D,23,B,1,9
40,D,24,B,1,67
40,D,25,B,1,
40,D,26,B,1,78
40,D,27,B,1,67
40,D,28,B,1,88
40,D,29,B,1,67
40,D,30,B,1,78
40,D,31,B,1,88
40,D,32,B,1,88
40,D,33,B,1,77
40,D,34,B,1,99
40,D,35,B,1,8
40,D,36,B,1,88
40,D,37,B,1,45
40,D,38,B,1,87
40,D,39,B,1,88
40,D,40,B,1,99
40,D,41,S,1,89
40,D,42,S,1,56
40,D,43,S,1,99
40,D,44,S,1,57
40,D,45,S,1,78
40,D,46,S,1,
40,D,47,S,1,34
40,D,48,S,1,99
40,D,49,S,1,66
40,D,50,S,1,34
40,D,51,S,1,77
40,D,52,S,1,68
40,D,53,S,1,78
40,D,54,S,1,66
40,D,55,S,1,87
40,D,56,S,1,65
40,D,57,S,1,23
