"","Subject","Condition","ListNum","Recall"
"25",36,"D","q1",1
"26",40,"D","q1",0
"27",44,"D","q1",0
"28",48,"D","q1",0
"29",52,"D","q1",0
"30",56,"D","q1",1
"31",60,"D","q1",1
"32",64,"D","q1",0
"33",68,"D","q1",0
"58",36,"D","q10",1
"59",40,"D","q10",0
"60",44,"D","q10",0
"61",48,"D","q10",0
"62",52,"D","q10",0
"63",56,"D","q10",0
"64",60,"D","q10",1
"65",64,"D","q10",0
"66",68,"D","q10",0
"91",36,"D","q11",1
"92",40,"D","q11",1
"93",44,"D","q11",1
"94",48,"D","q11",1
"95",52,"D","q11",1
"96",56,"D","q11",1
"97",60,"D","q11",1
"98",64,"D","q11",1
"99",68,"D","q11",0
"124",36,"D","q12",1
"125",40,"D","q12",1
"126",44,"D","q12",1
"127",48,"D","q12",0
"128",52,"D","q12",1
"129",56,"D","q12",1
"130",60,"D","q12",1
"131",64,"D","q12",1
"132",68,"D","q12",0
"157",36,"D","q13",1
"158",40,"D","q13",1
"159",44,"D","q13",1
"160",48,"D","q13",0
"161",52,"D","q13",1
"162",56,"D","q13",0
"163",60,"D","q13",1
"164",64,"D","q13",1
"165",68,"D","q13",1
"190",36,"D","q14",1
"191",40,"D","q14",1
"192",44,"D","q14",1
"193",48,"D","q14",1
"194",52,"D","q14",1
"195",56,"D","q14",1
"196",60,"D","q14",1
"197",64,"D","q14",0
"198",68,"D","q14",0
"223",36,"D","q15",1
"224",40,"D","q15",1
"225",44,"D","q15",1
"226",48,"D","q15",1
"227",52,"D","q15",1
"228",56,"D","q15",1
"229",60,"D","q15",1
"230",64,"D","q15",1
"231",68,"D","q15",0
"256",36,"D","q16",1
"257",40,"D","q16",1
"258",44,"D","q16",1
"259",48,"D","q16",0
"260",52,"D","q16",1
"261",56,"D","q16",1
"262",60,"D","q16",1
"263",64,"D","q16",0
"264",68,"D","q16",0
"289",36,"D","q17",1
"290",40,"D","q17",0
"291",44,"D","q17",1
"292",48,"D","q17",0
"293",52,"D","q17",1
"294",56,"D","q17",1
