Subject,Condition,ListNum,Block,Direction,Jol
38,B,1,1,F,60
38,B,2,1,F,50
38,B,3,1,F,50
38,B,4,1,F,10
38,B,5,1,F,100
38,B,6,1,F,20
38,B,7,1,F,70
38,B,8,1,F,30
38,B,9,1,F,50
38,B,10,1,F,80
38,B,11,1,F,40
38,B,12,1,F,100
38,B,13,1,F,10
38,B,14,1,F,100
38,B,15,1,F,100
38,B,16,1,F,100
38,B,17,1,F,10
38,B,18,1,F,20
38,B,19,1,F,80
38,B,20,1,F,80
38,B,21,1,B,40
38,B,22,1,B,10
38,B,23,1,B,20
38,B,24,1,B,20
38,B,25,1,B,30
38,B,26,1,B,40
38,B,27,1,B,10
38,B,28,1,B,50
38,B,29,1,B,50
38,B,30,1,B,20
38,B,31,1,B,20
38,B,32,1,B,50
38,B,33,1,B,50
38,B,34,1,B,30
38,B,35,1,B,70
38,B,36,1,B,100
38,B,37,1,B,0
38,B,38,1,B,100
38,B,39,1,B,30
38,B,40,1,B,30
38,B,41,1,S,20
38,B,42,1,S,100
38,B,43,1,S,100
38,B,44,1,S,100
38,B,45,1,S,70
38,B,46,1,S,10
38,B,47,1,S,100
38,B,48,1,S,100
38,B,49,1,S,50
38,B,50,1,S,100
38,B,51,1,S,40
38,B,52,1,S,100
38,B,53,1,S,40
38,B,54,1,S,20
38,B,55,1,S,40
38,B,56,1,S,100
38,B,57,1,S,100
38,B,58,1,S,100
38,B,59,1,S,30
38,B,60,1,S,100
38,B,61,1,U,10
38,B,62,1,U,50
38,B,63,1,U,20
38,B,64,1,U,70
38,B,65,1,U,30
38,B,66,1,U,30
38,B,67,1,U,0
38,B,68,1,U,50
38,B,69,1,U,10
38,B,70,1,U,30
38,B,71,1,U,10
38,B,72,1,U,100
38,B,73,1,U,70
38,B,74,1,U,20
38,B,75,1,U,80
38,B,76,1,U,100
38,B,77,1,U,20
38,B,78,1,U,90
38,B,79,1,U,10
38,B,80,1,U,100
46,B,1,1,F,100
46,B,2,1,F,100
46,B,3,1,F,100
46,B,4,1,F,100
46,B,5,1,F,100
46,B,6,1,F,50
46,B,7,1,F,35
46,B,8,1,F,100
46,B,9,1,F,95
46,B,10,1,F,50
46,B,11,1,F,100
46,B,12,1,F,100
46,B,13,1,F,50
46,B,14,1,F,100
46,B,15,1,F,25
46,B,16,1,F,100
46,B,17,1,F,90
46,B,18,1,F,50
46,B,19,1,F,100
