"","Subject","Condition","ListNum","Recall"
"16",35,"C","q1",1
"17",39,"C","q1",1
"18",43,"C","q1",0
"19",51,"C","q1",0
"20",55,"C","q1",0
"21",59,"C","q1",0
"22",63,"C","q1",0
"23",67,"C","q1",0
"24",71,"C","q1",0
"49",35,"C","q10",1
"50",39,"C","q10",1
"51",43,"C","q10",0
"52",51,"C","q10",0
"53",55,"C","q10",1
"54",59,"C","q10",1
"55",63,"C","q10",1
"56",67,"C","q10",0
"57",71,"C","q10",1
"82",35,"C","q11",0
"83",39,"C","q11",0
"84",43,"C","q11",0
"85",51,"C","q11",0
"86",55,"C","q11",0
"87",59,"C","q11",1
"88",63,"C","q11",0
"89",67,"C","q11",1
"90",71,"C","q11",1
"115",35,"C","q12",0
"116",39,"C","q12",1
"117",43,"C","q12",1
"118",51,"C","q12",1
"119",55,"C","q12",1
"120",59,"C","q12",1
"121",63,"C","q12",1
"122",67,"C","q12",0
"123",71,"C","q12",1
"148",35,"C","q13",0
"149",39,"C","q13",1
"150",43,"C","q13",1
"151",51,"C","q13",1
"152",55,"C","q13",1
"153",59,"C","q13",0
"154",63,"C","q13",1
"155",67,"C","q13",1
"156",71,"C","q13",1
"181",35,"C","q14",1
"182",39,"C","q14",1
"183",43,"C","q14",0
"184",51,"C","q14",1
"185",55,"C","q14",0
"186",59,"C","q14",1
"187",63,"C","q14",1
"188",67,"C","q14",1
"189",71,"C","q14",1
"214",35,"C","q15",1
"215",39,"C","q15",1
"216",43,"C","q15",0
"217",51,"C","q15",0
"218",55,"C","q15",1
"219",59,"C","q15",1
"220",63,"C","q15",0
"221",67,"C","q15",1
"222",71,"C","q15",1
"247",35,"C","q16",1
"248",39,"C","q16",1
"249",43,"C","q16",1
"250",51,"C","q16",1
"251",55,"C","q16",1
"252",59,"C","q16",1
"253",63,"C","q16",1
"254",67,"C","q16",1
"255",71,"C","q16",1
"280",35,"C","q17",1
"281",39,"C","q17",0
"282",43,"C","q17",0
"283",51,"C","q17",1
"284",55,"C","q17",0
"285",59,"C","q17",1
"286",63,"C","q17",1
"287",67,"C","q17",1
"288",71,"C","q17",1
"313",35,"C","q18",0
"314",39,"C","q18",0
"315",43,"C","q18",0
"316",51,"C","q18",0
"317",55,"C","q18",1
"318",59,"C","q18",0
"319",63,"C","q18",1
"320",67,"C","q18",0
"321",71,"C","q18",0
"346",35,"C","q19",0
"347",39,"C","q19",1
"348",43,"C","q19",1
"349",51,"C","q19",1
"350",55,"C","q19",1
"351",59,"C","q19",1
"352",63,"C","q19",1
"353",67,"C","q19",1
"354",71,"C","q19",1
"379",35,"C","q2",0
"380",39,"C","q2",1
"381",43,"C","q2",1
"382",51,"C","q2",1
"383",55,"C","q2",1
"384",59,"C","q2",1
"385",63,"C","q2",1
"386",67,"C","q2",1
"387",71,"C","q2",1
"412",35,"C","q20",0
"413",39,"C","q20",1
"414",43,"C","q20",1
"415",51,"C","q20",1
"416",55,"C","q20",1
"417",59,"C","q20",1
"418",63,"C","q20",1
"419",67,"C","q20",1
"420",71,"C","q20",1
"445",35,"C","q21",0
"446",39,"C","q21",0
"447",43,"C","q21",0
"448",51,"C","q21",0
"449",55,"C","q21",0
"450",59,"C","q21",0
"451",63,"C","q21",0
"452",67,"C","q21",0
"453",71,"C","q21",0
"478",35,"C","q22",0
"479",39,"C","q22",1
"480",43,"C","q22",1
"481",51,"C","q22",0
"482",55,"C","q22",0
"483",59,"C","q22",0
"484",63,"C","q22",1
"485",67,"C","q22",0
"486",71,"C","q22",1
"511",35,"C","q23",0
"512",39,"C","q23",0
"513",43,"C","q23",0
"514",51,"C","q23",1
"515",55,"C","q23",0
"516",59,"C","q23",0
"517",63,"C","q23",0
"518",67,"C","q23",1
"519",71,"C","q23",0
"544",35,"C","q24",0
"545",39,"C","q24",0
"546",43,"C","q24",0
"547",51,"C","q24",0
"548",55,"C","q24",0
"549",59,"C","q24",0
"550",63,"C","q24",0
"551",67,"C","q24",0
"552",71,"C","q24",0
"577",35,"C","q25",0
"578",39,"C","q25",1
"579",43,"C","q25",0
"580",51,"C","q25",0
"581",55,"C","q25",0
"582",59,"C","q25",0
"583",63,"C","q25",0
"584",67,"C","q25",1
"585",71,"C","q25",1
"610",35,"C","q26",0
"611",39,"C","q26",0
"612",43,"C","q26",0
"613",51,"C","q26",0
"614",55,"C","q26",0
"615",59,"C","q26",0
"616",63,"C","q26",0
"617",67,"C","q26",1
"618",71,"C","q26",1
"643",35,"C","q27",0
"644",39,"C","q27",0
"645",43,"C","q27",0
"646",51,"C","q27",1
"647",55,"C","q27",1
"648",59,"C","q27",0
"649",63,"C","q27",0
"650",67,"C","q27",0
"651",71,"C","q27",1
