"","Subject","Condition","ListNum","Recall"
"676",35,"C","q28",0
"677",39,"C","q28",0
"678",43,"C","q28",0
"679",51,"C","q28",0
"680",55,"C","q28",0
"681",59,"C","q28",0
"682",63,"C","q28",0
"683",67,"C","q28",0
"684",71,"C","q28",0
"709",35,"C","q29",0
"710",39,"C","q29",1
"711",43,"C","q29",0
"712",51,"C","q29",0
"713",55,"C","q29",1
"714",59,"C","q29",0
"715",63,"C","q29",0
"716",67,"C","q29",1
"717",71,"C","q29",0
"742",35,"C","q3",1
"743",39,"C","q3",1
"744",43,"C","q3",1
"745",51,"C","q3",1
"746",55,"C","q3",1
"747",59,"C","q3",1
"748",63,"C","q3",1
"749",67,"C","q3",1
"750",71,"C","q3",1
"775",35,"C","q30",0
"776",39,"C","q30",0
"777",43,"C","q30",0
"778",51,"C","q30",0
"779",55,"C","q30",1
"780",59,"C","q30",0
"781",63,"C","q30",0
"782",67,"C","q30",0
"783",71,"C","q30",0
"808",35,"C","q31",1
"809",39,"C","q31",1
"810",43,"C","q31",0
"811",51,"C","q31",0
"812",55,"C","q31",0
"813",59,"C","q31",0
"814",63,"C","q31",0
"815",67,"C","q31",1
"816",71,"C","q31",0
"841",35,"C","q32",0
"842",39,"C","q32",1
"843",43,"C","q32",0
"844",51,"C","q32",0
"845",55,"C","q32",0
"846",59,"C","q32",0
"847",63,"C","q32",1
"848",67,"C","q32",0
"849",71,"C","q32",0
"874",35,"C","q33",0
"875",39,"C","q33",0
"876",43,"C","q33",1
"877",51,"C","q33",0
"878",55,"C","q33",0
"879",59,"C","q33",0
"880",63,"C","q33",0
"881",67,"C","q33",0
"882",71,"C","q33",0
"907",35,"C","q34",1
"908",39,"C","q34",1
"909",43,"C","q34",0
"910",51,"C","q34",1
"911",55,"C","q34",1
"912",59,"C","q34",0
"913",63,"C","q34",1
"914",67,"C","q34",0
"915",71,"C","q34",0
"940",35,"C","q35",0
"941",39,"C","q35",0
"942",43,"C","q35",0
"943",51,"C","q35",0
"944",55,"C","q35",0
"945",59,"C","q35",0
"946",63,"C","q35",0
"947",67,"C","q35",0
"948",71,"C","q35",0
"973",35,"C","q36",0
"974",39,"C","q36",1
"975",43,"C","q36",0
"976",51,"C","q36",1
"977",55,"C","q36",0
"978",59,"C","q36",1
"979",63,"C","q36",1
"980",67,"C","q36",0
"981",71,"C","q36",1
"1006",35,"C","q37",1
"1007",39,"C","q37",1
"1008",43,"C","q37",0
"1009",51,"C","q37",0
"1010",55,"C","q37",1
"1011",59,"C","q37",0
"1012",63,"C","q37",1
"1013",67,"C","q37",0
"1014",71,"C","q37",0
"1039",35,"C","q38",0
"1040",39,"C","q38",1
"1041",43,"C","q38",0
"1042",51,"C","q38",0
"1043",55,"C","q38",0
"1044",59,"C","q38",1
"1045",63,"C","q38",0
"1046",67,"C","q38",1
"1047",71,"C","q38",0
"1072",35,"C","q39",1
"1073",39,"C","q39",1
"1074",43,"C","q39",0
"1075",51,"C","q39",1
"1076",55,"C","q39",0
"1077",59,"C","q39",0
"1078",63,"C","q39",1
"1079",67,"C","q39",0
"1080",71,"C","q39",0
"1105",35,"C","q4",0
"1106",39,"C","q4",1
"1107",43,"C","q4",0
"1108",51,"C","q4",0
"1109",55,"C","q4",1
"1110",59,"C","q4",0
"1111",63,"C","q4",1
"1112",67,"C","q4",0
"1113",71,"C","q4",1
"1138",35,"C","q40",0
"1139",39,"C","q40",0
"1140",43,"C","q40",0
"1141",51,"C","q40",0
"1142",55,"C","q40",1
"1143",59,"C","q40",0
"1144",63,"C","q40",1
"1145",67,"C","q40",0
"1146",71,"C","q40",0
"1171",35,"C","q41",1
"1172",39,"C","q41",1
"1173",43,"C","q41",1
"1174",51,"C","q41",1
"1175",55,"C","q41",1
"1176",59,"C","q41",1
"1177",63,"C","q41",0
"1178",67,"C","q41",1
"1179",71,"C","q41",1
"1204",35,"C","q42",0
"1205",39,"C","q42",1
"1206",43,"C","q42",0
"1207",51,"C","q42",0
"1208",55,"C","q42",0
"1209",59,"C","q42",0
"1210",63,"C","q42",0
"1211",67,"C","q42",0
"1212",71,"C","q42",0
"1237",35,"C","q43",0
"1238",39,"C","q43",0
"1239",43,"C","q43",0
"1240",51,"C","q43",1
"1241",55,"C","q43",0
"1242",59,"C","q43",0
"1243",63,"C","q43",0
"1244",67,"C","q43",1
"1245",71,"C","q43",1
"1270",35,"C","q44",0
"1271",39,"C","q44",1
"1272",43,"C","q44",0
"1273",51,"C","q44",1
"1274",55,"C","q44",0
"1275",59,"C","q44",0
"1276",63,"C","q44",0
"1277",67,"C","q44",0
"1278",71,"C","q44",1
"1303",35,"C","q45",0
"1304",39,"C","q45",0
"1305",43,"C","q45",0
"1306",51,"C","q45",0
"1307",55,"C","q45",0
"1308",59,"C","q45",0
"1309",63,"C","q45",1
"1310",67,"C","q45",1
"1311",71,"C","q45",0
"1336",35,"C","q46",1
"1337",39,"C","q46",1
"1338",43,"C","q46",1
"1339",51,"C","q46",0
"1340",55,"C","q46",1
"1341",59,"C","q46",0
"1342",63,"C","q46",1
"1343",67,"C","q46",0
"1344",71,"C","q46",1
"1369",35,"C","q47",1
"1370",39,"C","q47",0
"1371",43,"C","q47",0
"1372",51,"C","q47",1
"1373",55,"C","q47",1
"1374",59,"C","q47",0
"1375",63,"C","q47",0
"1376",67,"C","q47",0
"1377",71,"C","q47",1
"1402",35,"C","q48",1
"1403",39,"C","q48",1
"1404",43,"C","q48",0
"1405",51,"C","q48",1
"1406",55,"C","q48",0
"1407",59,"C","q48",1
"1408",63,"C","q48",1
"1409",67,"C","q48",1
"1410",71,"C","q48",1
"1435",35,"C","q49",1
"1436",39,"C","q49",1
"1437",43,"C","q49",0
"1438",51,"C","q49",1
"1439",55,"C","q49",0
"1440",59,"C","q49",1
"1441",63,"C","q49",1
"1442",67,"C","q49",1
"1443",71,"C","q49",1
"1468",35,"C","q5",0
"1469",39,"C","q5",1
"1470",43,"C","q5",0
"1471",51,"C","q5",0
"1472",55,"C","q5",0
"1473",59,"C","q5",0
"1474",63,"C","q5",0
"1475",67,"C","q5",0
"1476",71,"C","q5",1
"1501",35,"C","q50",1
"1502",39,"C","q50",1
"1503",43,"C","q50",0
"1504",51,"C","q50",1
"1505",55,"C","q50",1
"1506",59,"C","q50",1
"1507",63,"C","q50",0
"1508",67,"C","q50",1
"1509",71,"C","q50",1
"1534",35,"C","q51",0
"1535",39,"C","q51",1
"1536",43,"C","q51",0
"1537",51,"C","q51",1
"1538",55,"C","q51",1
"1539",59,"C","q51",1
"1540",63,"C","q51",1
"1541",67,"C","q51",1
"1542",71,"C","q51",1
"1567",35,"C","q52",0
"1568",39,"C","q52",1
"1569",43,"C","q52",0
"1570",51,"C","q52",0
"1571",55,"C","q52",0
"1572",59,"C","q52",1
"1573",63,"C","q52",1
"1574",67,"C","q52",1
"1575",71,"C","q52",1
"1600",35,"C","q53",1
"1601",39,"C","q53",1
"1602",43,"C","q53",1
"1603",51,"C","q53",1
"1604",55,"C","q53",0
"1605",59,"C","q53",0
"1606",63,"C","q53",1
"1607",67,"C","q53",0
"1608",71,"C","q53",1
"1633",35,"C","q54",0
"1634",39,"C","q54",0
"1635",43,"C","q54",0
"1636",51,"C","q54",0
"1637",55,"C","q54",0
"1638",59,"C","q54",1
"1639",63,"C","q54",0
"1640",67,"C","q54",0
"1641",71,"C","q54",1
"1666",35,"C","q55",0
"1667",39,"C","q55",1
"1668",43,"C","q55",0
"1669",51,"C","q55",0
"1670",55,"C","q55",0
"1671",59,"C","q55",1
"1672",63,"C","q55",1
"1673",67,"C","q55",0
"1674",71,"C","q55",0
"1699",35,"C","q56",1
"1700",39,"C","q56",0
"1701",43,"C","q56",1
"1702",51,"C","q56",1
"1703",55,"C","q56",0
"1704",59,"C","q56",1
"1705",63,"C","q56",1
"1706",67,"C","q56",0
"1707",71,"C","q56",1
"1732",35,"C","q57",0
"1733",39,"C","q57",1
"1734",43,"C","q57",1
"1735",51,"C","q57",1
"1736",55,"C","q57",1
"1737",59,"C","q57",0
"1738",63,"C","q57",1
"1739",67,"C","q57",1
"1740",71,"C","q57",0
"1765",35,"C","q58",1
"1766",39,"C","q58",0
"1767",43,"C","q58",1
"1768",51,"C","q58",0
"1769",55,"C","q58",1
"1770",59,"C","q58",0
"1771",63,"C","q58",1
"1772",67,"C","q58",0
"1773",71,"C","q58",1
"1798",35,"C","q59",1
"1799",39,"C","q59",0
"1800",43,"C","q59",0
"1801",51,"C","q59",0
"1802",55,"C","q59",0
"1803",59,"C","q59",1
"1804",63,"C","q59",1
"1805",67,"C","q59",1
"1806",71,"C","q59",0
"1831",35,"C","q6",0
"1832",39,"C","q6",0
"1833",43,"C","q6",1
"1834",51,"C","q6",1
"1835",55,"C","q6",0
"1836",59,"C","q6",1
"1837",63,"C","q6",1
"1838",67,"C","q6",0
"1839",71,"C","q6",1
"1864",35,"C","q60",0
"1865",39,"C","q60",1
"1866",43,"C","q60",1
"1867",51,"C","q60",0
"1868",55,"C","q60",0
"1869",59,"C","q60",0
"1870",63,"C","q60",1
"1871",67,"C","q60",1
"1872",71,"C","q60",1
"1897",35,"C","q61",0
"1898",39,"C","q61",0
"1899",43,"C","q61",0
"1900",51,"C","q61",0
"1901",55,"C","q61",0
"1902",59,"C","q61",0
"1903",63,"C","q61",0
"1904",67,"C","q61",0
"1905",71,"C","q61",0
"1930",35,"C","q62",0
"1931",39,"C","q62",0
"1932",43,"C","q62",0
"1933",51,"C","q62",0
"1934",55,"C","q62",0
"1935",59,"C","q62",0
"1936",63,"C","q62",0
"1937",67,"C","q62",0
"1938",71,"C","q62",0
"1963",35,"C","q63",0
"1964",39,"C","q63",0
"1965",43,"C","q63",0
"1966",51,"C","q63",1
"1967",55,"C","q63",0
"1968",59,"C","q63",0
"1969",63,"C","q63",0
"1970",67,"C","q63",0
"1971",71,"C","q63",0
"1996",35,"C","q64",0
"1997",39,"C","q64",0
"1998",43,"C","q64",0
"1999",51,"C","q64",0
"2000",55,"C","q64",0
"2001",59,"C","q64",1
"2002",63,"C","q64",0
"2003",67,"C","q64",0
"2004",71,"C","q64",1
"2029",35,"C","q65",0
"2030",39,"C","q65",0
"2031",43,"C","q65",0
"2032",51,"C","q65",1
"2033",55,"C","q65",0
"2034",59,"C","q65",0
"2035",63,"C","q65",0
"2036",67,"C","q65",0
"2037",71,"C","q65",0
"2062",35,"C","q66",0
"2063",39,"C","q66",0
"2064",43,"C","q66",0
"2065",51,"C","q66",0
"2066",55,"C","q66",0
"2067",59,"C","q66",0
"2068",63,"C","q66",0
"2069",67,"C","q66",0
"2070",71,"C","q66",0
"2095",35,"C","q67",0
"2096",39,"C","q67",1
"2097",43,"C","q67",1
"2098",51,"C","q67",0
"2099",55,"C","q67",0
"2100",59,"C","q67",0
"2101",63,"C","q67",0
"2102",67,"C","q67",0
"2103",71,"C","q67",0
"2128",35,"C","q68",0
"2129",39,"C","q68",0
"2130",43,"C","q68",0
"2131",51,"C","q68",0
"2132",55,"C","q68",0
"2133",59,"C","q68",0
"2134",63,"C","q68",0
"2135",67,"C","q68",0
"2136",71,"C","q68",0
"2161",35,"C","q69",0
"2162",39,"C","q69",0
"2163",43,"C","q69",0
"2164",51,"C","q69",0
"2165",55,"C","q69",0
"2166",59,"C","q69",0
"2167",63,"C","q69",0
"2168",67,"C","q69",0
"2169",71,"C","q69",1
"2194",35,"C","q7",0
"2195",39,"C","q7",1
"2196",43,"C","q7",0
"2197",51,"C","q7",0
"2198",55,"C","q7",1
"2199",59,"C","q7",0
"2200",63,"C","q7",0
"2201",67,"C","q7",1
"2202",71,"C","q7",0
"2227",35,"C","q70",0
"2228",39,"C","q70",0
"2229",43,"C","q70",0
"2230",51,"C","q70",0
"2231",55,"C","q70",0
"2232",59,"C","q70",0
"2233",63,"C","q70",0
"2234",67,"C","q70",0
"2235",71,"C","q70",0
"2260",35,"C","q71",0
"2261",39,"C","q71",0
"2262",43,"C","q71",0
"2263",51,"C","q71",0
"2264",55,"C","q71",0
"2265",59,"C","q71",0
"2266",63,"C","q71",0
"2267",67,"C","q71",0
"2268",71,"C","q71",0
"2293",35,"C","q72",0
"2294",39,"C","q72",0
"2295",43,"C","q72",0
"2296",51,"C","q72",1
"2297",55,"C","q72",0
"2298",59,"C","q72",1
"2299",63,"C","q72",0
"2300",67,"C","q72",0
"2301",71,"C","q72",0
"2326",35,"C","q73",0
"2327",39,"C","q73",0
"2328",43,"C","q73",0
"2329",51,"C","q73",0
"2330",55,"C","q73",0
"2331",59,"C","q73",0
"2332",63,"C","q73",0
"2333",67,"C","q73",0
"2334",71,"C","q73",0
"2359",35,"C","q74",0
"2360",39,"C","q74",0
"2361",43,"C","q74",0
"2362",51,"C","q74",0
"2363",55,"C","q74",0
"2364",59,"C","q74",0
"2365",63,"C","q74",1
"2366",67,"C","q74",1
"2367",71,"C","q74",1
"2392",35,"C","q75",0
"2393",39,"C","q75",0
"2394",43,"C","q75",0
"2395",51,"C","q75",0
"2396",55,"C","q75",0
"2397",59,"C","q75",0
"2398",63,"C","q75",0
"2399",67,"C","q75",0
"2400",71,"C","q75",0
"2425",35,"C","q76",0
"2426",39,"C","q76",0
"2427",43,"C","q76",0
"2428",51,"C","q76",0
"2429",55,"C","q76",0
"2430",59,"C","q76",0
"2431",63,"C","q76",0
"2432",67,"C","q76",0
"2433",71,"C","q76",1
"2458",35,"C","q77",0
"2459",39,"C","q77",0
"2460",43,"C","q77",0
"2461",51,"C","q77",0
"2462",55,"C","q77",0
"2463",59,"C","q77",0
"2464",63,"C","q77",0
"2465",67,"C","q77",0
"2466",71,"C","q77",0
"2491",35,"C","q78",0
"2492",39,"C","q78",1
"2493",43,"C","q78",0
"2494",51,"C","q78",1
"2495",55,"C","q78",0
"2496",59,"C","q78",0
"2497",63,"C","q78",0
"2498",67,"C","q78",0
"2499",71,"C","q78",0
"2524",35,"C","q79",0
"2525",39,"C","q79",0
"2526",43,"C","q79",0
"2527",51,"C","q79",0
"2528",55,"C","q79",0
"2529",59,"C","q79",0
"2530",63,"C","q79",0
"2531",67,"C","q79",0
"2532",71,"C","q79",1
"2557",35,"C","q8",0
"2558",39,"C","q8",1
"2559",43,"C","q8",1
"2560",51,"C","q8",1
"2561",55,"C","q8",1
"2562",59,"C","q8",1
"2563",63,"C","q8",1
"2564",67,"C","q8",1
"2565",71,"C","q8",0
"2590",35,"C","q80",0
"2591",39,"C","q80",0
"2592",43,"C","q80",0
"2593",51,"C","q80",0
"2594",55,"C","q80",0
"2595",59,"C","q80",0
"2596",63,"C","q80",0
"2597",67,"C","q80",0
"2598",71,"C","q80",1
"2623",35,"C","q9",0
"2624",39,"C","q9",1
"2625",43,"C","q9",1
"2626",51,"C","q9",1
"2627",55,"C","q9",0
"2628",59,"C","q9",1
"2629",63,"C","q9",1
"2630",67,"C","q9",0
"2631",71,"C","q9",0
"2656",35,"C","q1.1",1
"2657",39,"C","q1.1",0
"2658",43,"C","q1.1",0
"2659",51,"C","q1.1",1
"2660",55,"C","q1.1",0
"2661",59,"C","q1.1",1
"2662",63,"C","q1.1",1
"2663",67,"C","q1.1",1
"2664",71,"C","q1.1",1
"2689",35,"C","q10.1",1
"2690",39,"C","q10.1",0
"2691",43,"C","q10.1",0
"2692",51,"C","q10.1",0
"2693",55,"C","q10.1",0
"2694",59,"C","q10.1",1
"2695",63,"C","q10.1",1
"2696",67,"C","q10.1",0
"2697",71,"C","q10.1",0
"2722",35,"C","q11.1",0
"2723",39,"C","q11.1",1
"2724",43,"C","q11.1",1
"2725",51,"C","q11.1",1
"2726",55,"C","q11.1",0
"2727",59,"C","q11.1",1
"2728",63,"C","q11.1",1
"2729",67,"C","q11.1",1
"2730",71,"C","q11.1",0
"2755",35,"C","q12.1",1
"2756",39,"C","q12.1",1
"2757",43,"C","q12.1",0
"2758",51,"C","q12.1",1
"2759",55,"C","q12.1",0
"2760",59,"C","q12.1",1
"2761",63,"C","q12.1",1
"2762",67,"C","q12.1",1
"2763",71,"C","q12.1",1
"2788",35,"C","q13.1",1
"2789",39,"C","q13.1",0
"2790",43,"C","q13.1",1
"2791",51,"C","q13.1",1
"2792",55,"C","q13.1",1
"2793",59,"C","q13.1",1
"2794",63,"C","q13.1",1
"2795",67,"C","q13.1",0
"2796",71,"C","q13.1",0
"2821",35,"C","q14.1",0
"2822",39,"C","q14.1",0
"2823",43,"C","q14.1",1
"2824",51,"C","q14.1",0
"2825",55,"C","q14.1",1
"2826",59,"C","q14.1",1
"2827",63,"C","q14.1",1
"2828",67,"C","q14.1",1
"2829",71,"C","q14.1",0
"2854",35,"C","q15.1",1
"2855",39,"C","q15.1",1
"2856",43,"C","q15.1",0
"2857",51,"C","q15.1",1
"2858",55,"C","q15.1",1
"2859",59,"C","q15.1",1
"2860",63,"C","q15.1",1
"2861",67,"C","q15.1",1
"2862",71,"C","q15.1",1
"2887",35,"C","q16.1",0
"2888",39,"C","q16.1",1
"2889",43,"C","q16.1",1
"2890",51,"C","q16.1",1
"2891",55,"C","q16.1",1
"2892",59,"C","q16.1",1
"2893",63,"C","q16.1",1
"2894",67,"C","q16.1",1
"2895",71,"C","q16.1",1
"2920",35,"C","q17.1",1
"2921",39,"C","q17.1",1
"2922",43,"C","q17.1",1
"2923",51,"C","q17.1",1
"2924",55,"C","q17.1",1
"2925",59,"C","q17.1",1
"2926",63,"C","q17.1",1
"2927",67,"C","q17.1",1
"2928",71,"C","q17.1",1
"2953",35,"C","q18.1",0
"2954",39,"C","q18.1",0
"2955",43,"C","q18.1",0
"2956",51,"C","q18.1",1
"2957",55,"C","q18.1",0
"2958",59,"C","q18.1",1
"2959",63,"C","q18.1",0
"2960",67,"C","q18.1",0
"2961",71,"C","q18.1",0
"2986",35,"C","q19.1",1
"2987",39,"C","q19.1",1
"2988",43,"C","q19.1",1
"2989",51,"C","q19.1",1
"2990",55,"C","q19.1",1
"2991",59,"C","q19.1",1
"2992",63,"C","q19.1",1
"2993",67,"C","q19.1",0
"2994",71,"C","q19.1",1
"3019",35,"C","q2.1",1
"3020",39,"C","q2.1",1
"3021",43,"C","q2.1",1
"3022",51,"C","q2.1",1
"3023",55,"C","q2.1",1
"3024",59,"C","q2.1",1
"3025",63,"C","q2.1",1
"3026",67,"C","q2.1",1
"3027",71,"C","q2.1",1
"3052",35,"C","q20.1",0
"3053",39,"C","q20.1",0
"3054",43,"C","q20.1",1
"3055",51,"C","q20.1",1
"3056",55,"C","q20.1",1
"3057",59,"C","q20.1",1
"3058",63,"C","q20.1",1
"3059",67,"C","q20.1",1
"3060",71,"C","q20.1",1
"3085",35,"C","q21.1",0
"3086",39,"C","q21.1",1
"3087",43,"C","q21.1",0
"3088",51,"C","q21.1",0
"3089",55,"C","q21.1",0
"3090",59,"C","q21.1",0
"3091",63,"C","q21.1",1
"3092",67,"C","q21.1",0
"3093",71,"C","q21.1",1
"3118",35,"C","q22.1",0
"3119",39,"C","q22.1",0
"3120",43,"C","q22.1",0
"3121",51,"C","q22.1",0
"3122",55,"C","q22.1",0
"3123",59,"C","q22.1",0
"3124",63,"C","q22.1",0
"3125",67,"C","q22.1",0
"3126",71,"C","q22.1",0
"3151",35,"C","q23.1",0
"3152",39,"C","q23.1",0
"3153",43,"C","q23.1",1
"3154",51,"C","q23.1",1
"3155",55,"C","q23.1",0
"3156",59,"C","q23.1",0
"3157",63,"C","q23.1",0
"3158",67,"C","q23.1",0
"3159",71,"C","q23.1",0
"3184",35,"C","q24.1",1
"3185",39,"C","q24.1",1
"3186",43,"C","q24.1",0
"3187",51,"C","q24.1",0
"3188",55,"C","q24.1",0
"3189",59,"C","q24.1",1
"3190",63,"C","q24.1",1
"3191",67,"C","q24.1",0
"3192",71,"C","q24.1",0
"3217",35,"C","q25.1",0
"3218",39,"C","q25.1",0
"3219",43,"C","q25.1",0
"3220",51,"C","q25.1",0
"3221",55,"C","q25.1",0
"3222",59,"C","q25.1",0
"3223",63,"C","q25.1",0
"3224",67,"C","q25.1",0
"3225",71,"C","q25.1",0
"3250",35,"C","q26.1",0
"3251",39,"C","q26.1",0
"3252",43,"C","q26.1",0
"3253",51,"C","q26.1",0
"3254",55,"C","q26.1",0
"3255",59,"C","q26.1",0
"3256",63,"C","q26.1",1
"3257",67,"C","q26.1",1
"3258",71,"C","q26.1",1
"3283",35,"C","q27.1",1
"3284",39,"C","q27.1",0
"3285",43,"C","q27.1",0
"3286",51,"C","q27.1",0
"3287",55,"C","q27.1",0
"3288",59,"C","q27.1",0
"3289",63,"C","q27.1",0
"3290",67,"C","q27.1",1
"3291",71,"C","q27.1",0
"3316",35,"C","q28.1",0
"3317",39,"C","q28.1",1
"3318",43,"C","q28.1",0
"3319",51,"C","q28.1",1
"3320",55,"C","q28.1",0
"3321",59,"C","q28.1",0
"3322",63,"C","q28.1",1
"3323",67,"C","q28.1",0
"3324",71,"C","q28.1",0
"3349",35,"C","q29.1",0
"3350",39,"C","q29.1",1
"3351",43,"C","q29.1",0
"3352",51,"C","q29.1",1
"3353",55,"C","q29.1",0
"3354",59,"C","q29.1",1
"3355",63,"C","q29.1",1
"3356",67,"C","q29.1",0
"3357",71,"C","q29.1",1
"3382",35,"C","q3.1",1
"3383",39,"C","q3.1",1
"3384",43,"C","q3.1",1
"3385",51,"C","q3.1",1
"3386",55,"C","q3.1",1
"3387",59,"C","q3.1",1
"3388",63,"C","q3.1",1
"3389",67,"C","q3.1",1
"3390",71,"C","q3.1",1
"3415",35,"C","q30.1",0
"3416",39,"C","q30.1",1
"3417",43,"C","q30.1",0
"3418",51,"C","q30.1",0
"3419",55,"C","q30.1",0
"3420",59,"C","q30.1",0
"3421",63,"C","q30.1",1
"3422",67,"C","q30.1",0
"3423",71,"C","q30.1",0
"3448",35,"C","q31.1",0
"3449",39,"C","q31.1",0
"3450",43,"C","q31.1",0
"3451",51,"C","q31.1",0
"3452",55,"C","q31.1",0
"3453",59,"C","q31.1",0
"3454",63,"C","q31.1",0
"3455",67,"C","q31.1",0
"3456",71,"C","q31.1",0
"3481",35,"C","q32.1",0
"3482",39,"C","q32.1",1
"3483",43,"C","q32.1",1
"3484",51,"C","q32.1",1
"3485",55,"C","q32.1",0
"3486",59,"C","q32.1",1
"3487",63,"C","q32.1",1
"3488",67,"C","q32.1",1
"3489",71,"C","q32.1",1
"3514",35,"C","q33.1",0
"3515",39,"C","q33.1",1
"3516",43,"C","q33.1",1
"3517",51,"C","q33.1",0
"3518",55,"C","q33.1",0
"3519",59,"C","q33.1",0
"3520",63,"C","q33.1",0
"3521",67,"C","q33.1",0
"3522",71,"C","q33.1",0
"3547",35,"C","q34.1",1
"3548",39,"C","q34.1",0
"3549",43,"C","q34.1",0
"3550",51,"C","q34.1",0
"3551",55,"C","q34.1",0
"3552",59,"C","q34.1",0
"3553",63,"C","q34.1",0
"3554",67,"C","q34.1",0
"3555",71,"C","q34.1",0
"3580",35,"C","q35.1",0
"3581",39,"C","q35.1",1
"3582",43,"C","q35.1",0
"3583",51,"C","q35.1",0
"3584",55,"C","q35.1",0
"3585",59,"C","q35.1",0
"3586",63,"C","q35.1",0
