"","Subject","Condition","ListNum","Recall"
"8",38,"B","q1",0
"9",46,"B","q1",1
"10",50,"B","q1",0
"11",54,"B","q1",0
"12",58,"B","q1",1
"13",62,"B","q1",1
"14",66,"B","q1",0
"15",70,"B","q1",1
"41",38,"B","q10",0
"42",46,"B","q10",1
"43",50,"B","q10",1
"44",54,"B","q10",1
"45",58,"B","q10",1
"46",62,"B","q10",1
"47",66,"B","q10",1
"48",70,"B","q10",1
"74",38,"B","q11",1
"75",46,"B","q11",1
"76",50,"B","q11",0
"77",54,"B","q11",0
"78",58,"B","q11",1
"79",62,"B","q11",1
"80",66,"B","q11",1
"81",70,"B","q11",1
"107",38,"B","q12",1
"108",46,"B","q12",1
"109",50,"B","q12",0
"110",54,"B","q12",1
"111",58,"B","q12",1
"112",62,"B","q12",1
"113",66,"B","q12",1
"114",70,"B","q12",1
"140",38,"B","q13",1
"141",46,"B","q13",1
"142",50,"B","q13",1
"143",54,"B","q13",0
"144",58,"B","q13",1
"145",62,"B","q13",1
"146",66,"B","q13",0
"147",70,"B","q13",1
"173",38,"B","q14",1
"174",46,"B","q14",1
"175",50,"B","q14",1
"176",54,"B","q14",1
"177",58,"B","q14",1
"178",62,"B","q14",0
"179",66,"B","q14",1
"180",70,"B","q14",1
"206",38,"B","q15",0
"207",46,"B","q15",1
"208",50,"B","q15",0
"209",54,"B","q15",0
"210",58,"B","q15",1
"211",62,"B","q15",1
"212",66,"B","q15",1
"213",70,"B","q15",1
"239",38,"B","q16",1
"240",46,"B","q16",1
"241",50,"B","q16",0
"242",54,"B","q16",1
"243",58,"B","q16",0
"244",62,"B","q16",1
"245",66,"B","q16",0
"246",70,"B","q16",0
"272",38,"B","q17",0
"273",46,"B","q17",1
"274",50,"B","q17",1
"275",54,"B","q17",0
"276",58,"B","q17",1
"277",62,"B","q17",1
"278",66,"B","q17",0
"279",70,"B","q17",1
"305",38,"B","q18",0
"306",46,"B","q18",1
"307",50,"B","q18",1
"308",54,"B","q18",0
"309",58,"B","q18",0
"310",62,"B","q18",1
"311",66,"B","q18",0
"312",70,"B","q18",0
"338",38,"B","q19",1
"339",46,"B","q19",1
"340",50,"B","q19",1
"341",54,"B","q19",1
"342",58,"B","q19",1
"343",62,"B","q19",1
"344",66,"B","q19",1
"345",70,"B","q19",0
"371",38,"B","q2",0
"372",46,"B","q2",1
"373",50,"B","q2",1
"374",54,"B","q2",0
"375",58,"B","q2",1
"376",62,"B","q2",1
"377",66,"B","q2",1
"378",70,"B","q2",1
"404",38,"B","q20",0
"405",46,"B","q20",1
"406",50,"B","q20",0
"407",54,"B","q20",1
"408",58,"B","q20",1
"409",62,"B","q20",1
"410",66,"B","q20",1
"411",70,"B","q20",1
"437",38,"B","q21",0
"438",46,"B","q21",1
"439",50,"B","q21",0
"440",54,"B","q21",1
"441",58,"B","q21",0
"442",62,"B","q21",0
"443",66,"B","q21",0
"444",70,"B","q21",0
"470",38,"B","q22",1
"471",46,"B","q22",0
"472",50,"B","q22",1
"473",54,"B","q22",0
"474",58,"B","q22",0
"475",62,"B","q22",0
"476",66,"B","q22",0
"477",70,"B","q22",1
"503",38,"B","q23",0
"504",46,"B","q23",0
"505",50,"B","q23",0
"506",54,"B","q23",0
"507",58,"B","q23",1
"508",62,"B","q23",0
"509",66,"B","q23",0
"510",70,"B","q23",0
"536",38,"B","q24",0
"537",46,"B","q24",0
"538",50,"B","q24",0
"539",54,"B","q24",0
"540",58,"B","q24",0
"541",62,"B","q24",0
"542",66,"B","q24",1
"543",70,"B","q24",0
"569",38,"B","q25",1
"570",46,"B","q25",1
"571",50,"B","q25",0
"572",54,"B","q25",0
"573",58,"B","q25",1
"574",62,"B","q25",0
"575",66,"B","q25",0
"576",70,"B","q25",1
"602",38,"B","q26",0
"603",46,"B","q26",1
"604",50,"B","q26",0
"605",54,"B","q26",0
"606",58,"B","q26",1
"607",62,"B","q26",1
"608",66,"B","q26",0
"609",70,"B","q26",0
"635",38,"B","q27",0
"636",46,"B","q27",1
"637",50,"B","q27",0
"638",54,"B","q27",0
"639",58,"B","q27",0
"640",62,"B","q27",0
"641",66,"B","q27",0
"642",70,"B","q27",0
"668",38,"B","q28",0
"669",46,"B","q28",0
"670",50,"B","q28",0
"671",54,"B","q28",0
"672",58,"B","q28",1
"673",62,"B","q28",1
"674",66,"B","q28",0
"675",70,"B","q28",0
"701",38,"B","q29",0
"702",46,"B","q29",1
"703",50,"B","q29",0
"704",54,"B","q29",1
"705",58,"B","q29",1
"706",62,"B","q29",0
"707",66,"B","q29",0
"708",70,"B","q29",1
"734",38,"B","q3",1
"735",46,"B","q3",1
"736",50,"B","q3",1
"737",54,"B","q3",1
"738",58,"B","q3",1
"739",62,"B","q3",1
"740",66,"B","q3",0
"741",70,"B","q3",1
"767",38,"B","q30",1
"768",46,"B","q30",1
"769",50,"B","q30",0
"770",54,"B","q30",0
"771",58,"B","q30",1
"772",62,"B","q30",1
"773",66,"B","q30",0
"774",70,"B","q30",1
"800",38,"B","q31",0
"801",46,"B","q31",0
"802",50,"B","q31",0
"803",54,"B","q31",0
"804",58,"B","q31",1
"805",62,"B","q31",0
"806",66,"B","q31",0
"807",70,"B","q31",0
"833",38,"B","q32",0
"834",46,"B","q32",1
"835",50,"B","q32",0
"836",54,"B","q32",0
"837",58,"B","q32",1
"838",62,"B","q32",1
"839",66,"B","q32",1
"840",70,"B","q32",1
"866",38,"B","q33",0
"867",46,"B","q33",1
"868",50,"B","q33",1
"869",54,"B","q33",1
"870",58,"B","q33",1
"871",62,"B","q33",1
"872",66,"B","q33",1
"873",70,"B","q33",1
"899",38,"B","q34",0
"900",46,"B","q34",1
"901",50,"B","q34",1
"902",54,"B","q34",0
"903",58,"B","q34",1
"904",62,"B","q34",1
"905",66,"B","q34",0
"906",70,"B","q34",1
"932",38,"B","q35",1
"933",46,"B","q35",0
"934",50,"B","q35",0
"935",54,"B","q35",1
"936",58,"B","q35",0
"937",62,"B","q35",1
"938",66,"B","q35",1
"939",70,"B","q35",0
"965",38,"B","q36",0
"966",46,"B","q36",1
"967",50,"B","q36",1
"968",54,"B","q36",0
"969",58,"B","q36",1
"970",62,"B","q36",0
"971",66,"B","q36",1
"972",70,"B","q36",1
"998",38,"B","q37",0
"999",46,"B","q37",0
"1000",50,"B","q37",0
"1001",54,"B","q37",0
"1002",58,"B","q37",1
"1003",62,"B","q37",0
"1004",66,"B","q37",0
"1005",70,"B","q37",0
"1031",38,"B","q38",0
"1032",46,"B","q38",1
"1033",50,"B","q38",0
"1034",54,"B","q38",0
"1035",58,"B","q38",1
"1036",62,"B","q38",0
"1037",66,"B","q38",0
"1038",70,"B","q38",0
"1064",38,"B","q39",0
"1065",46,"B","q39",1
"1066",50,"B","q39",0
"1067",54,"B","q39",0
"1068",58,"B","q39",1
"1069",62,"B","q39",0
"1070",66,"B","q39",0
"1071",70,"B","q39",1
"1097",38,"B","q4",0
"1098",46,"B","q4",1
"1099",50,"B","q4",1
"1100",54,"B","q4",0
"1101",58,"B","q4",1
"1102",62,"B","q4",1
"1103",66,"B","q4",1
"1104",70,"B","q4",1
"1130",38,"B","q40",0
"1131",46,"B","q40",0
"1132",50,"B","q40",0
"1133",54,"B","q40",0
"1134",58,"B","q40",1
"1135",62,"B","q40",0
"1136",66,"B","q40",0
"1137",70,"B","q40",1
"1163",38,"B","q41",0
"1164",46,"B","q41",1
"1165",50,"B","q41",1
"1166",54,"B","q41",1
"1167",58,"B","q41",0
"1168",62,"B","q41",1
"1169",66,"B","q41",0
"1170",70,"B","q41",1
"1196",38,"B","q42",0
"1197",46,"B","q42",1
"1198",50,"B","q42",1
"1199",54,"B","q42",0
"1200",58,"B","q42",1
"1201",62,"B","q42",1
"1202",66,"B","q42",0
"1203",70,"B","q42",0
"1229",38,"B","q43",1
"1230",46,"B","q43",1
"1231",50,"B","q43",1
"1232",54,"B","q43",0
"1233",58,"B","q43",1
"1234",62,"B","q43",1
"1235",66,"B","q43",0
"1236",70,"B","q43",1
"1262",38,"B","q44",0
"1263",46,"B","q44",1
"1264",50,"B","q44",1
"1265",54,"B","q44",1
"1266",58,"B","q44",1
"1267",62,"B","q44",1
"1268",66,"B","q44",1
"1269",70,"B","q44",1
"1295",38,"B","q45",1
"1296",46,"B","q45",0
"1297",50,"B","q45",1
"1298",54,"B","q45",0
"1299",58,"B","q45",1
"1300",62,"B","q45",1
"1301",66,"B","q45",0
"1302",70,"B","q45",1
"1328",38,"B","q46",1
"1329",46,"B","q46",1
"1330",50,"B","q46",1
"1331",54,"B","q46",0
"1332",58,"B","q46",1
"1333",62,"B","q46",1
"1334",66,"B","q46",0
"1335",70,"B","q46",1
"1361",38,"B","q47",0
"1362",46,"B","q47",1
"1363",50,"B","q47",0
"1364",54,"B","q47",0
"1365",58,"B","q47",1
"1366",62,"B","q47",1
"1367",66,"B","q47",1
"1368",70,"B","q47",1
"1394",38,"B","q48",1
"1395",46,"B","q48",1
"1396",50,"B","q48",0
"1397",54,"B","q48",1
"1398",58,"B","q48",0
"1399",62,"B","q48",0
"1400",66,"B","q48",0
"1401",70,"B","q48",0
