Subject,Condition,ListNum,Block,Direction,Jol,Recall
49,A,73,1,U,0,1
49,A,74,1,U,90,1
49,A,75,1,U,30,0
49,A,76,1,U,10,1
49,A,77,1,U,0,0
49,A,78,1,U,0,1
49,A,79,1,U,0,1
49,A,80,1,U,75,1
53,A,1,1,F,20,0
53,A,2,1,F,75,0
53,A,3,1,F,40,0
53,A,4,1,F,50,0
53,A,5,1,F,80,0
53,A,6,1,F,30,0
53,A,7,1,F,60,0
53,A,8,1,F,80,1
53,A,10,1,F,50,1
53,A,11,1,F,100,0
53,A,12,1,F,54,0
53,A,13,1,F,50,1
53,A,14,1,F,45,1
53,A,16,1,F,25,0
53,A,17,1,F,67,1
53,A,18,1,F,90,1
53,A,19,1,F,45,0
53,A,20,1,F,90,0
53,A,21,1,F,20,0
53,A,22,1,B,45,0
53,A,23,1,B,55,0
53,A,24,1,B,20,0
53,A,25,1,B,65,0
53,A,26,1,B,60,0
53,A,27,1,B,40,0
53,A,28,1,B,70,0
53,A,29,1,B,60,1
53,A,30,1,B,50,0
53,A,32,1,B,75,0
53,A,33,1,B,100,0
53,A,35,1,B,60,1
53,A,36,1,B,45,1
53,A,37,1,B,40,1
53,A,38,1,B,50,0
53,A,39,1,B,80,0
53,A,40,1,B,30,0
53,A,41,1,B,55,0
53,A,42,1,S,30,0
53,A,43,1,S,6,0
53,A,44,1,S,100,0
53,A,45,1,S,90,0
53,A,46,1,S,75,0
53,A,48,1,S,80,0
53,A,49,1,S,100,0
53,A,50,1,S,80,0
53,A,51,1,S,65,0
53,A,52,1,S,80,0
53,A,53,1,S,80,1
53,A,54,1,S,4,0
53,A,55,1,S,60,0
53,A,57,1,S,80,1
53,A,58,1,S,80,0
53,A,59,1,S,30,1
53,A,62,1,U,75,0
53,A,63,1,U,40,0
53,A,64,1,U,65,1
53,A,65,1,U,50,0
53,A,66,1,U,35,0
53,A,68,1,U,60,1
53,A,69,1,U,40,1
53,A,70,1,U,40,1
53,A,71,1,U,65,1
53,A,72,1,U,45,1
53,A,73,1,U,54,0
53,A,74,1,U,20,0
53,A,75,1,U,35,0
53,A,77,1,U,70,1
53,A,78,1,U,20,0
53,A,79,1,U,56,0
53,A,80,1,U,45,0
57,A,1,1,U,40,0
57,A,2,1,F,79,0
57,A,3,1,F,40,1
57,A,4,1,F,23,1
57,A,5,1,F,32,1
57,A,6,1,F,97,0
57,A,7,1,F,45,0
57,A,8,1,F,1,1
57,A,9,1,F,1,0
57,A,10,1,F,60,1
57,A,11,1,F,40,1
57,A,12,1,F,92,1
57,A,13,1,F,30,0
57,A,14,1,F,23,0
57,A,15,1,F,12,0
57,A,16,1,F,45,0
57,A,17,1,F,70,0
57,A,18,1,F,99,0
57,A,19,1,F,50,0
57,A,20,1,F,99,0
57,A,21,1,F,23,0
57,A,22,1,B,78,1
57,A,23,1,B,23,0
57,A,24,1,B,1,1
57,A,25,1,B,70,0
57,A,26,1,B,43,0
57,A,27,1,B,31,0
57,A,28,1,B,30,0
57,A,29,1,B,51,0
57,A,30,1,B,89,0
57,A,31,1,B,12,0
57,A,32,1,B,90,0
57,A,33,1,B,34,1
57,A,34,1,B,40,1
57,A,35,1,B,67,1
57,A,36,1,B,80,1
57,A,37,1,B,21,0
57,A,38,1,B,26,1
57,A,39,1,B,90,0
57,A,40,1,B,30,0
57,A,41,1,B,99,0
57,A,42,1,S,2,1
57,A,43,1,S,40,0
57,A,44,1,S,10,0
57,A,45,1,S,80,1
57,A,46,1,S,96,0
57,A,47,1,S,90,0
57,A,48,1,S,40,0
57,A,49,1,S,96,1
57,A,50,1,S,60,0
57,A,51,1,S,99,0
57,A,52,1,S,100,1
57,A,53,1,S,37,1
57,A,54,1,S,24,1
57,A,55,1,S,6,1
57,A,56,1,S,95,0
57,A,57,1,S,46,1
57,A,58,1,S,99,1
57,A,59,1,S,54,1
57,A,60,1,S,90,1
57,A,61,1,S,12,0
57,A,62,1,U,12,1
57,A,63,1,U,1,0
57,A,64,1,U,12,1
57,A,65,1,U,9,0
57,A,66,1,U,2,1
57,A,67,1,U,1,1
57,A,68,1,U,3,1
57,A,69,1,U,1,1
57,A,70,1,U,1,0
57,A,71,1,U,12,0
57,A,72,1,U,2,0
57,A,73,1,U,1,1
57,A,74,1,U,1,1
57,A,75,1,U,10,1
57,A,76,1,U,1,1
57,A,77,1,U,1,1
57,A,78,1,U,1,1
57,A,79,1,U,23,0
57,A,80,1,U,1,1
61,A,1,1,U,100,0
61,A,2,1,F,100,0
61,A,3,1,F,50,0
61,A,4,1,F,1,1
61,A,5,1,F,100,1
61,A,6,1,F,100,0
61,A,7,1,F,50,1
61,A,8,1,F,10,1
61,A,9,1,F,100,1
61,A,10,1,F,100,0
61,A,11,1,F,100,1
61,A,12,1,F,100,1
61,A,13,1,F,50,1
61,A,14,1,F,100,1
61,A,15,1,F,100,1
61,A,16,1,F,100,1
61,A,17,1,F,100,0
61,A,18,1,F,100,0
61,A,19,1,F,100,1
61,A,20,1,F,100,0
61,A,21,1,F,35,1
61,A,22,1,B,38,1
61,A,23,1,B,100,1
61,A,24,1,B,20,0
61,A,25,1,B,100,0
61,A,26,1,B,18,0
61,A,27,1,B,15,0
61,A,28,1,B,100,0
61,A,29,1,B,100,1
61,A,30,1,B,20,0
61,A,31,1,B,100,1
61,A,32,1,B,65,1
61,A,33,1,B,25,0
61,A,34,1,B,100,0
61,A,35,1,B,59,1
61,A,36,1,B,100,0
61,A,37,1,B,50,1
61,A,38,1,B,100,0
61,A,39,1,B,80,0
61,A,40,1,B,100,0
61,A,41,1,B,100,0
61,A,42,1,S,100,0
61,A,43,1,S,100,0
61,A,44,1,S,100,0
61,A,45,1,S,60,0
61,A,46,1,S,100,1
61,A,47,1,S,100,0
61,A,48,1,S,19,0
61,A,49,1,S,100,1
61,A,50,1,S,100,1
61,A,51,1,S,100,1
61,A,52,1,S,50,0
61,A,53,1,S,100,1
61,A,54,1,S,100,1
61,A,55,1,S,60,1
61,A,56,1,S,100,1
61,A,57,1,S,100,1
61,A,58,1,S,100,1
61,A,59,1,S,100,1
61,A,60,1,S,100,1
61,A,61,1,S,15,0
61,A,62,1,U,15,0
61,A,63,1,U,25,1
61,A,64,1,U,19,1
61,A,65,1,U,45,1
61,A,66,1,U,25,1
61,A,67,1,U,40,1
61,A,68,1,U,39,1
61,A,69,1,U,15,0
61,A,70,1,U,60,1
61,A,71,1,U,50,1
61,A,72,1,U,25,0
61,A,73,1,U,15,0
61,A,74,1,U,49,1
61,A,75,1,U,10,0
61,A,76,1,U,49,0
61,A,77,1,U,26,1
61,A,78,1,U,45,1
61,A,79,1,U,19,1
61,A,80,1,U,1,1
65,A,1,1,U,2,0
65,A,2,1,F,45,0
65,A,3,1,F,25,0
65,A,4,1,F,0,0
65,A,5,1,F,25,1
65,A,6,1,F,25,0
65,A,7,1,F,60,0
65,A,8,1,F,50,0
65,A,9,1,F,50,0
65,A,10,1,F,25,0
65,A,11,1,F,25,0
65,A,12,1,F,75,0
65,A,13,1,F,25,0
65,A,14,1,F,5,0
65,A,15,1,F,25,1
65,A,16,1,F,25,0
65,A,17,1,F,25,0
65,A,18,1,F,75,0
65,A,19,1,F,25,0
65,A,20,1,F,50,1
65,A,21,1,F,50,0
65,A,22,1,B,45,0
65,A,23,1,B,5,0
65,A,24,1,B,0,0
65,A,25,1,B,50,1
65,A,26,1,B,57,0
65,A,27,1,B,3,1
65,A,28,1,B,50,0
65,A,29,1,B,25,0
65,A,30,1,B,60,0
65,A,31,1,B,0,0
65,A,32,1,B,50,0
65,A,33,1,B,100,0
65,A,34,1,B,100,0
65,A,35,1,B,0,0
65,A,36,1,B,50,0
65,A,37,1,B,50,1
65,A,38,1,B,50,0
65,A,39,1,B,50,0
65,A,40,1,B,50,0
65,A,41,1,B,50,0
65,A,42,1,S,50,0
65,A,43,1,S,1,0
65,A,44,1,S,27,0
65,A,45,1,S,25,0
65,A,46,1,S,75,0
65,A,47,1,S,100,1
65,A,48,1,S,25,0
65,A,49,1,S,75,0
65,A,50,1,S,65,0
65,A,51,1,S,50,0
65,A,52,1,S,75,0
65,A,53,1,S,25,0
65,A,54,1,S,25,0
65,A,55,1,S,75,0
65,A,56,1,S,60,0
65,A,57,1,S,75,0
65,A,58,1,S,75,0
65,A,59,1,S,100,0
65,A,60,1,S,75,1
65,A,61,1,S,0,0
65,A,62,1,U,0,0
65,A,63,1,U,25,0
65,A,64,1,U,0,1
65,A,65,1,U,0,0
65,A,66,1,U,0,0
65,A,67,1,U,25,0
65,A,68,1,U,0,1
65,A,69,1,U,0,0
65,A,70,1,U,10,0
65,A,71,1,U,20,0
65,A,72,1,U,0,0
65,A,73,1,U,0,0
65,A,74,1,U,5,0
65,A,75,1,U,0,0
65,A,76,1,U,60,0
65,A,77,1,U,0,0
65,A,78,1,U,0,0
65,A,79,1,U,0,0
65,A,80,1,U,0,0
69,A,1,1,U,0,0
69,A,2,1,F,90,0
69,A,3,1,F,90,0
69,A,4,1,F,0,0
69,A,5,1,F,80,0
69,A,6,1,F,40,0
69,A,7,1,F,60,0
69,A,8,1,F,80,0
69,A,9,1,F,50,1
69,A,10,1,F,80,0
69,A,11,1,F,100,0
69,A,12,1,F,90,0
69,A,13,1,F,80,0
69,A,14,1,F,40,0
69,A,15,1,F,50,0
69,A,16,1,F,80,0
69,A,17,1,F,60,0
69,A,18,1,F,100,0
69,A,19,1,F,80,1
69,A,20,1,F,100,0
69,A,21,1,F,100,0
69,A,22,1,B,100,0
69,A,23,1,B,70,0
69,A,24,1,B,70,1
69,A,25,1,B,90,0
69,A,26,1,B,90,0
69,A,27,1,B,40,0
69,A,28,1,B,60,0
69,A,29,1,B,30,0
69,A,30,1,B,80,0
69,A,31,1,B,50,0
69,A,32,1,B,100,0
69,A,33,1,B,50,0
69,A,34,1,B,90,0
69,A,35,1,B,40,0
69,A,36,1,B,50,0
69,A,37,1,B,10,0
69,A,38,1,B,40,0
69,A,39,1,B,80,0
69,A,40,1,B,5,0
69,A,41,1,B,50,0
69,A,42,1,S,100,0
69,A,43,1,S,60,0
69,A,44,1,S,100,0
69,A,45,1,S,50,0
69,A,46,1,S,0,0
69,A,47,1,S,100,0
69,A,48,1,S,100,0
69,A,49,1,S,100,0
69,A,50,1,S,90,0
69,A,51,1,S,100,0
69,A,52,1,S,70,0
69,A,53,1,S,90,0
69,A,54,1,S,90,0
69,A,55,1,S,100,0
69,A,56,1,S,90,0
69,A,57,1,S,80,0
69,A,58,1,S,100,0
69,A,59,1,S,90,0
69,A,60,1,S,100,0
69,A,61,1,S,50,1
69,A,62,1,U,0,1
69,A,63,1,U,50,1
69,A,64,1,U,88,0
69,A,65,1,U,50,0
69,A,66,1,U,100,1
69,A,67,1,U,100,1
69,A,68,1,U,50,1
69,A,69,1,U,50,0
69,A,70,1,U,80,0
69,A,71,1,U,50,1
69,A,72,1,U,90,0
69,A,73,1,U,40,1
69,A,74,1,U,50,0
69,A,75,1,U,100,1
69,A,76,1,U,40,1
69,A,77,1,U,60,1
69,A,78,1,U,70,0
69,A,79,1,U,60,1
69,A,80,1,U,0,1
37,A,1,2,U,67,1
37,A,2,2,F,67,1
37,A,3,2,F,34,1
37,A,4,2,F,23,0
37,A,5,2,F,23,0
37,A,6,2,F,45,0
37,A,7,2,F,56,1
37,A,8,2,F,45,1
37,A,9,2,F,67,1
37,A,10,2,F,36,1
37,A,11,2,F,78,1
37,A,12,2,F,34,1
37,A,13,2,F,67,1
37,A,14,2,F,56,1
37,A,15,2,F,43,1
37,A,16,2,F,67,1
37,A,17,2,F,46,0
37,A,18,2,F,56,0
37,A,19,2,F,46,1
37,A,20,2,F,35,1
37,A,21,2,F,65,1
37,A,22,2,B,34,1
37,A,23,2,B,24,0
37,A,24,2,B,24,0
37,A,25,2,B,65,1
37,A,26,2,B,54,1
37,A,27,2,B,34,1
37,A,28,2,B,90,1
37,A,29,2,B,56,1
37,A,30,2,B,56,1
37,A,31,2,B,67,1
37,A,32,2,B,89,0
37,A,33,2,B,46,1
37,A,34,2,B,64,1
37,A,35,2,B,24,1
37,A,36,2,B,56,0
37,A,37,2,B,43,1
37,A,38,2,B,67,0
37,A,39,2,B,34,0
37,A,40,2,B,34,0
37,A,41,2,B,34,0
37,A,42,2,S,34,1
37,A,43,2,S,90,1
37,A,44,2,S,67,0
37,A,45,2,S,78,1
37,A,46,2,S,45,0
37,A,47,2,S,67,0
37,A,48,2,S,68,1
37,A,49,2,S,23,1
37,A,50,2,S,87,1
37,A,51,2,S,89,0
37,A,52,2,S,31,1
37,A,53,2,S,76,0
37,A,54,2,S,68,0
37,A,55,2,S,45,1
37,A,56,2,S,78,0
37,A,57,2,S,67,1
37,A,58,2,S,45,0
37,A,59,2,S,12,0
37,A,60,2,S,87,0
37,A,61,2,S,2,1
37,A,62,2,U,46,1
37,A,63,2,U,23,1
37,A,64,2,U,12,0
37,A,65,2,U,23,1
37,A,66,2,U,12,1
37,A,67,2,U,32,1
37,A,68,2,U,34,1
37,A,69,2,U,12,0
37,A,70,2,U,1,1
37,A,71,2,U,23,0
37,A,72,2,U,54,0
37,A,73,2,U,2,1
37,A,74,2,U,1,1
37,A,75,2,U,23,1
37,A,76,2,U,12,1
37,A,77,2,U,45,1
37,A,78,2,U,34,1
37,A,79,2,U,1,1
37,A,80,2,U,12,0
49,A,1,2,U,100,0
49,A,2,2,F,100,1
49,A,3,2,F,100,1
49,A,4,2,F,100,1
49,A,5,2,F,90,0
49,A,6,2,F,100,1
49,A,7,2,F,70,1
49,A,8,2,F,100,0
49,A,9,2,F,100,1
49,A,10,2,F,90,1
49,A,11,2,F,100,1
49,A,12,2,F,80,1
49,A,13,2,F,100,1
49,A,14,2,F,70,0
49,A,15,2,F,100,0
49,A,16,2,F,100,0
49,A,17,2,F,90,1
49,A,18,2,F,100,0
49,A,19,2,F,100,1
49,A,20,2,F,100,0
49,A,21,2,F,20,0
49,A,22,2,B,100,0
49,A,23,2,B,100,0
49,A,24,2,B,100,0
49,A,25,2,B,100,0
49,A,26,2,B,70,0
49,A,27,2,B,80,0
49,A,28,2,B,100,0
49,A,29,2,B,100,0
49,A,30,2,B,100,0
49,A,31,2,B,100,0
49,A,32,2,B,100,0
49,A,33,2,B,50,0
49,A,34,2,B,100,0
49,A,35,2,B,100,0
49,A,36,2,B,100,0
49,A,37,2,B,100,0
49,A,38,2,B,100,1
49,A,39,2,B,100,1
49,A,40,2,B,100,1
49,A,41,2,B,100,1
49,A,42,2,S,90,0
49,A,43,2,S,50,0
49,A,44,2,S,100,1
49,A,45,2,S,100,0
49,A,46,2,S,0,1
49,A,47,2,S,10,0
49,A,48,2,S,100,0
49,A,49,2,S,100,0
49,A,50,2,S,100,1
49,A,51,2,S,100,0
49,A,52,2,S,100,0
49,A,53,2,S,100,1
49,A,54,2,S,0,0
49,A,55,2,S,100,1
49,A,56,2,S,100,0
49,A,57,2,S,100,0
49,A,58,2,S,85,0
49,A,59,2,S,100,0
49,A,60,2,S,80,0
49,A,61,2,S,0,0
49,A,62,2,U,50,0
49,A,63,2,U,80,0
49,A,64,2,U,70,0
49,A,65,2,U,0,0
49,A,66,2,U,0,0
49,A,67,2,U,0,0
49,A,68,2,U,0,0
49,A,69,2,U,0,1
49,A,70,2,U,0,1
49,A,71,2,U,0,0
49,A,72,2,U,50,0
49,A,73,2,U,0,1
49,A,74,2,U,0,1
49,A,75,2,U,100,1
49,A,76,2,U,100,1
49,A,77,2,U,100,0
49,A,78,2,U,90,0
49,A,79,2,U,0,1
49,A,80,2,U,70,1
53,A,1,2,U,37,1
53,A,2,2,F,93,1
53,A,3,2,F,6,0
53,A,4,2,F,12,0
53,A,5,2,F,65,0
53,A,6,2,F,99,1
53,A,7,2,F,82,0
53,A,8,2,F,60,1
53,A,9,2,F,40,1
53,A,9,2,F,7,1
53,A,10,2,F,4,0
53,A,11,2,F,10,0
53,A,12,2,F,50,0
53,A,13,2,F,32,0
53,A,14,2,F,76,0
53,A,15,2,F,70,0
53,A,16,2,F,98,1
53,A,17,2,F,69,0
53,A,18,2,F,20,0
53,A,19,2,F,1,1
53,A,20,2,F,78,0
53,A,21,2,B,5,1
53,A,22,2,B,67,1
53,A,23,2,B,9,1
53,A,24,2,B,40,0
53,A,25,2,B,90,0
53,A,26,2,B,70,1
53,A,27,2,B,90,1
53,A,28,2,B,89,0
53,A,29,2,B,41,0
53,A,30,2,B,61,0
53,A,31,2,B,10,0
53,A,32,2,B,60,0
53,A,33,2,B,40,1
53,A,34,2,B,89,0
53,A,35,2,B,47,1
53,A,36,2,B,89,1
53,A,37,2,B,100,1
53,A,38,2,B,43,0
53,A,39,2,B,19,0
53,A,40,2,B,22,1
53,A,41,2,S,21,1
53,A,42,2,S,88,0
53,A,43,2,S,40,0
53,A,44,2,S,54,0
53,A,45,2,S,50,1
53,A,46,2,S,50,0
53,A,47,2,S,1,0
53,A,48,2,S,62,1
53,A,49,2,S,10,1
53,A,50,2,S,12,0
53,A,51,2,S,72,1
53,A,52,2,S,53,1
53,A,53,2,S,98,0
53,A,54,2,S,76,0
53,A,55,2,S,5,0
53,A,56,2,S,34,0
53,A,57,2,S,91,1
53,A,58,2,S,67,1
53,A,59,2,S,3,0
53,A,60,2,S,3,0
53,A,61,2,U,90,0
53,A,62,2,U,80,1
53,A,63,2,U,3,1
53,A,64,2,U,100,0
53,A,65,2,U,54,0
53,A,66,2,U,20,1
53,A,67,2,U,30,0
53,A,68,2,U,81,1
53,A,69,2,U,65,1
53,A,70,2,U,80,1
53,A,71,2,U,69,1
53,A,72,2,U,9,1
53,A,73,2,U,34,1
53,A,74,2,U,50,1
53,A,75,2,U,80,0
53,A,76,2,U,66,1
53,A,77,2,U,33,1
53,A,78,2,U,100,0
53,A,79,2,U,23,0
53,A,80,2,U,23,0
57,A,1,2,F,60,0
57,A,2,2,F,40,1
57,A,3,2,F,21,1
57,A,4,2,F,30,0
57,A,5,2,F,40,0
57,A,6,2,F,40,0
57,A,7,2,F,55,1
57,A,8,2,F,43,1
57,A,9,2,F,12,1
57,A,10,2,F,98,0
57,A,11,2,F,50,0
57,A,12,2,F,40,0
57,A,13,2,F,30,1
57,A,14,2,F,70,1
57,A,15,2,F,60,0
57,A,16,2,F,70,1
57,A,17,2,F,20,1
57,A,18,2,F,30,0
57,A,19,2,F,60,1
57,A,20,2,F,50,1
57,A,21,2,B,21,0
57,A,22,2,B,53,1
57,A,23,2,B,50,1
57,A,24,2,B,40,1
57,A,25,2,B,21,1
57,A,26,2,B,40,0
57,A,27,2,B,12,1
57,A,28,2,B,100,1
57,A,29,2,B,30,0
57,A,30,2,B,40,1
57,A,31,2,B,20,1
57,A,32,2,B,70,1
57,A,33,2,B,85,0
57,A,34,2,B,30,1
57,A,35,2,B,20,0
57,A,36,2,B,21,0
57,A,37,2,B,21,1
57,A,38,2,B,30,1
57,A,39,2,B,34,1
57,A,40,2,B,50,1
57,A,41,2,S,30,1
57,A,42,2,S,12,1
57,A,43,2,S,80,1
57,A,44,2,S,78,1
57,A,45,2,S,40,1
57,A,46,2,S,40,1
57,A,47,2,S,20,1
57,A,48,2,S,75,0
57,A,49,2,S,40,0
57,A,50,2,S,78,0
57,A,51,2,S,45,0
57,A,52,2,S,12,1
57,A,53,2,S,67,1
57,A,54,2,S,30,1
57,A,55,2,S,21,1
57,A,56,2,S,78,0
57,A,57,2,S,76,0
57,A,58,2,S,12,1
57,A,59,2,S,59,1
57,A,60,2,S,45,1
57,A,61,2,U,12,0
57,A,62,2,U,32,1
57,A,63,2,U,12,1
57,A,64,2,U,12,0
57,A,65,2,U,12,1
57,A,66,2,U,10,1
57,A,67,2,U,12,1
57,A,68,2,U,40,0
57,A,69,2,U,21,0
57,A,70,2,U,50,0
57,A,71,2,U,12,0
57,A,72,2,U,12,0
57,A,73,2,U,9,0
57,A,74,2,U,20,0
57,A,75,2,U,12,0
57,A,76,2,U,13,1
57,A,77,2,U,12,1
57,A,78,2,U,12,0
57,A,79,2,U,21,1
57,A,80,2,U,20,1
61,A,1,2,F,34,1
61,A,2,2,F,80,1
61,A,3,2,F,56,1
61,A,4,2,F,90,1
61,A,5,2,F,56,0
61,A,6,2,F,1,1
61,A,7,2,F,89,1
61,A,8,2,F,34,1
61,A,9,2,F,90,1
61,A,10,2,F,90,0
61,A,11,2,F,35,1
61,A,12,2,F,47,0
61,A,13,2,F,70,0
61,A,14,2,F,24,1
61,A,15,2,F,1,1
61,A,16,2,F,1,1
61,A,17,2,F,70,0
61,A,18,2,F,1,1
61,A,19,2,F,0,1
61,A,20,2,F,80,1
61,A,21,2,B,60,0
61,A,22,2,B,34,1
61,A,23,2,B,34,1
61,A,24,2,B,90,0
61,A,25,2,B,23,0
61,A,26,2,B,1,0
61,A,27,2,B,32,0
61,A,28,2,B,67,0
61,A,29,2,B,60,0
61,A,30,2,B,46,0
61,A,31,2,B,80,0
61,A,32,2,B,78,1
61,A,33,2,B,56,0
61,A,34,2,B,34,0
61,A,35,2,B,56,1
61,A,36,2,B,90,1
61,A,37,2,B,34,0
61,A,38,2,B,47,1
61,A,39,2,B,34,1
61,A,40,2,B,50,0
61,A,41,2,S,90,1
61,A,42,2,S,30,1
61,A,43,2,S,99,1
61,A,44,2,S,99,1
61,A,45,2,S,90,1
61,A,46,2,S,70,1
61,A,47,2,S,30,0
61,A,48,2,S,70,1
61,A,49,2,S,2,1
61,A,50,2,S,90,1
61,A,51,2,S,99,0
61,A,52,2,S,40,0
61,A,53,2,S,99,1
61,A,54,2,S,80,0
61,A,55,2,S,1,0
61,A,56,2,S,50,1
61,A,57,2,S,60,0
61,A,58,2,S,1,1
61,A,59,2,S,99,0
61,A,60,2,S,99,1
61,A,61,2,U,1,1
61,A,62,2,U,1,1
61,A,63,2,U,12,0
61,A,64,2,U,50,1
61,A,65,2,U,1,0
61,A,66,2,U,1,1
61,A,67,2,U,1,0
61,A,68,2,U,64,1
61,A,69,2,U,1,0
61,A,70,2,U,1,0
61,A,71,2,U,1,0
61,A,72,2,U,46,0
61,A,73,2,U,23,1
61,A,74,2,U,1,1
61,A,75,2,U,34,0
61,A,76,2,U,56,1
61,A,77,2,U,1,0
61,A,78,2,U,1,1
61,A,79,2,U,1,0
61,A,80,2,U,1,0
65,A,1,2,F,10,0
65,A,2,2,F,20,0
65,A,3,2,F,4,0
65,A,4,2,F,12,0
65,A,5,2,F,15,1
65,A,6,2,F,11,0
65,A,7,2,F,100,0
65,A,8,2,F,100,0
65,A,9,2,F,100,0
65,A,10,2,F,100,0
65,A,11,2,F,100,1
65,A,12,2,F,100,0
65,A,13,2,F,19,0
65,A,14,2,F,100,0
65,A,15,2,F,23,0
65,A,16,2,F,100,0
65,A,17,2,F,10,0
65,A,18,2,F,12,0
65,A,19,2,F,100,0
65,A,20,2,F,100,0
65,A,21,2,B,10,0
65,A,22,2,B,12,0
65,A,23,2,B,100,0
65,A,24,2,B,96,0
65,A,25,2,B,12,0
65,A,26,2,B,12,1
65,A,27,2,B,100,0
65,A,28,2,B,100,0
65,A,29,2,B,100,0
65,A,30,2,B,10,0
65,A,31,2,B,12,0
65,A,32,2,B,12,0
65,A,33,2,B,100,0
65,A,34,2,B,100,0
65,A,35,2,B,10,0
65,A,36,2,B,100,0
65,A,37,2,B,12,0
65,A,38,2,B,100,0
65,A,39,2,B,100,0
65,A,40,2,B,10,0
65,A,41,2,S,10,1
65,A,42,2,S,100,1
65,A,43,2,S,50,1
65,A,44,2,S,100,0
