Subject,Condition,ListNum,Direction,Block,Jol
35,C,1,F,1,76
35,C,2,F,1,10
35,C,3,F,1,44
35,C,4,F,1,10
35,C,5,F,1,66
35,C,6,F,1,77
35,C,7,F,1,20
35,C,8,F,1,100
35,C,9,F,1,100
35,C,10,F,1,78
35,C,11,F,1,43
35,C,12,F,1,66
35,C,13,F,1,55
35,C,14,F,1,100
35,C,15,F,1,5
35,C,16,F,1,67
35,C,17,F,1,99
35,C,18,F,1,87
35,C,19,F,1,100
35,C,20,F,1,88
35,C,21,B,1,66
35,C,22,B,1,33
35,C,23,B,1,92
35,C,24,B,1,3
35,C,25,B,1,10
35,C,26,B,1,32
35,C,27,B,1,43
35,C,28,B,1,8
35,C,29,B,1,32
35,C,30,B,1,10
35,C,31,B,1,100
35,C,32,B,1,25
35,C,33,B,1,32
35,C,34,B,1,77
35,C,35,B,1,55
35,C,36,B,1,35
35,C,37,B,1,56
35,C,38,B,1,88
35,C,39,B,1,78
35,C,40,B,1,22
35,C,41,S,1,100
35,C,42,S,1,100
35,C,43,S,1,0
35,C,44,S,1,57
35,C,45,S,1,84
35,C,46,S,1,100
35,C,47,S,1,32
35,C,48,S,1,77
35,C,49,S,1,100
35,C,50,S,1,23
35,C,51,S,1,88
35,C,52,S,1,75
35,C,53,S,1,100
35,C,54,S,1,44
35,C,55,S,1,100
35,C,56,S,1,100
35,C,57,S,1,44
35,C,58,S,1,100
35,C,59,S,1,100
35,C,60,S,1,100
35,C,61,U,1,10
35,C,62,U,1,29
35,C,63,U,1,43
35,C,64,U,1,88
35,C,65,U,1,32
35,C,66,U,1,77
35,C,67,U,1,32
35,C,68,U,1,20
35,C,69,U,1,33
35,C,70,U,1,77
35,C,71,U,1,78
35,C,72,U,1,67
35,C,73,U,1,32
35,C,74,U,1,77
35,C,75,U,1,77
35,C,76,U,1,33
35,C,77,U,1,34
35,C,78,U,1,5
35,C,79,U,1,6
35,C,80,U,1,66
39,C,1,F,1,100
39,C,2,F,1,60
39,C,3,F,1,80
39,C,4,F,1,50
39,C,5,F,1,100
39,C,6,F,1,50
39,C,7,F,1,70
39,C,8,F,1,0
39,C,9,F,1,100
39,C,10,F,1,50
39,C,11,F,1,0
39,C,12,F,1,100
39,C,13,F,1,90
39,C,14,F,1,0
39,C,15,F,1,100
39,C,16,F,1,80
39,C,17,F,1,0
39,C,18,F,1,60
39,C,19,F,1,100
39,C,20,F,1,50
39,C,21,B,1,50
39,C,22,B,1,70
39,C,23,B,1,100
39,C,24,B,1,90
39,C,25,B,1,80
39,C,26,B,1,0
39,C,27,B,1,80
39,C,28,B,1,50
39,C,29,B,1,90
39,C,30,B,1,0
39,C,31,B,1,100
39,C,32,B,1,5
39,C,33,B,1,60
39,C,34,B,1,40
39,C,35,B,1,80
39,C,36,B,1,50
39,C,37,B,1,0
39,C,38,B,1,80
39,C,39,B,1,30
39,C,40,B,1,0
39,C,41,S,1,100
39,C,42,S,1,90
39,C,43,S,1,40
39,C,44,S,1,60
39,C,45,S,1,70
39,C,46,S,1,0
39,C,47,S,1,80
39,C,48,S,1,60
39,C,49,S,1,90
39,C,50,S,1,25
39,C,51,S,1,80
39,C,52,S,1,0
39,C,53,S,1,90
39,C,54,S,1,60
39,C,55,S,1,100
39,C,56,S,1,70
39,C,57,S,1,100
39,C,58,S,1,100
39,C,59,S,1,80
39,C,60,S,1,100
39,C,61,U,1,0
39,C,62,U,1,0
39,C,63,U,1,0
39,C,64,U,1,0
39,C,65,U,1,0
39,C,66,U,1,0
39,C,67,U,1,0
39,C,68,U,1,0
39,C,69,U,1,0
39,C,70,U,1,0
39,C,71,U,1,0
39,C,72,U,1,0
39,C,73,U,1,0
39,C,74,U,1,0
39,C,75,U,1,0
39,C,76,U,1,0
39,C,77,U,1,0
39,C,78,U,1,0
39,C,79,U,1,0
39,C,80,U,1,0
43,C,1,F,1,87
43,C,2,F,1,20
43,C,3,F,1,20
43,C,4,F,1,100
43,C,5,F,1,89
43,C,6,F,1,100
43,C,7,F,1,60
43,C,8,F,1,100
43,C,9,F,1,99
43,C,10,F,1,78
43,C,11,F,1,80
43,C,12,F,1,87
43,C,13,F,1,100
43,C,14,F,1,70
43,C,15,F,1,70
43,C,16,F,1,89
43,C,17,F,1,23
43,C,18,F,1,90
43,C,19,F,1,95
43,C,20,F,1,1
43,C,21,B,1,20
43,C,22,B,1,55
43,C,23,B,1,100
43,C,24,B,1,100
43,C,25,B,1,23
43,C,26,B,1,74
43,C,27,B,1,85
43,C,28,B,1,56
43,C,29,B,1,5
43,C,30,B,1,20
43,C,31,B,1,100
43,C,32,B,1,98
43,C,33,B,1,50
43,C,34,B,1,70
43,C,35,B,1,67
43,C,36,B,1,90
43,C,37,B,1,96
43,C,38,B,1,42
43,C,39,B,1,100
43,C,40,B,1,33
43,C,41,S,1,100
43,C,42,S,1,90
43,C,43,S,1,80
43,C,44,S,1,100
43,C,45,S,1,90
43,C,46,S,1,90
43,C,47,S,1,87
43,C,48,S,1,75
43,C,49,S,1,89
43,C,50,S,1,90
43,C,51,S,1,90
43,C,52,S,1,65
43,C,53,S,1,100
43,C,54,S,1,77
43,C,55,S,1,90
43,C,56,S,1,50
43,C,57,S,1,100
43,C,58,S,1,100
43,C,59,S,1,90
43,C,60,S,1,100
43,C,61,U,1,50
43,C,62,U,1,40
43,C,63,U,1,10
43,C,64,U,1,20
43,C,65,U,1,50
43,C,66,U,1,44
43,C,67,U,1,10
43,C,68,U,1,43
43,C,69,U,1,10
43,C,70,U,1,81
43,C,71,U,1,66
43,C,72,U,1,6
43,C,73,U,1,30
43,C,74,U,1,10
43,C,75,U,1,55
43,C,76,U,1,9
43,C,77,U,1,7
43,C,78,U,1,10
43,C,79,U,1,40
43,C,80,U,1,65
47,C,1,F,1,90
47,C,2,F,1,90
47,C,3,F,1,89
47,C,4,F,1,99
47,C,5,F,1,100
47,C,6,F,1,6
47,C,7,F,1,7
47,C,8,F,1,90
47,C,9,F,1,90
47,C,10,F,1,50
47,C,11,F,1,
47,C,12,F,1,
47,C,13,F,1,
47,C,14,F,1,
47,C,15,F,1,99
47,C,16,F,1,
47,C,17,F,1,100
47,C,18,F,1,100
47,C,19,F,1,90
47,C,20,F,1,75
47,C,21,B,1,80
47,C,22,B,1,80
47,C,23,B,1,
47,C,24,B,1,100
47,C,25,B,1,90
47,C,26,B,1,95
47,C,27,B,1,
47,C,28,B,1,30
47,C,29,B,1,76
47,C,30,B,1,0
47,C,31,B,1,100
47,C,32,B,1,60
47,C,33,B,1,100
47,C,34,B,1,76
47,C,35,B,1,1
47,C,36,B,1,100
47,C,37,B,1,9
47,C,38,B,1,30
47,C,39,B,1,80
47,C,40,B,1,40
47,C,41,S,1,90
47,C,42,S,1,50
47,C,43,S,1,100
47,C,44,S,1,79
47,C,45,S,1,100
47,C,46,S,1,
47,C,47,S,1,75
47,C,48,S,1,
47,C,49,S,1,50
47,C,50,S,1,0
47,C,51,S,1,100
47,C,52,S,1,8
47,C,53,S,1,80
47,C,54,S,1,100
47,C,55,S,1,9
47,C,56,S,1,40
47,C,57,S,1,100
47,C,58,S,1,100
47,C,59,S,1,50
47,C,60,S,1,100
47,C,61,U,1,0
47,C,62,U,1,20
47,C,63,U,1,20
47,C,64,U,1,0
47,C,65,U,1,0
47,C,66,U,1,0
47,C,67,U,1,3
47,C,68,U,1,76
