"subID","pure_cv_m","pure_oe_m","altrun_m","shuff_m","switch_altrun_m","switch_shuff_m","no_switch_altrun_m","no_switch_shuff_m"
"1",0.989583333333333,0.957894736842105,0.991071428571429,0.921052631578947,0.982142857142857,0.929824561403509,1,0.912280701754386
"2",0.979166666666667,0.978723404255319,0.966101694915254,0.974358974358974,0.966101694915254,0.95,0.966101694915254,1
"3",0.947368421052632,0.968421052631579,0.913793103448276,0.895652173913044,0.896551724137931,0.833333333333333,0.931034482758621,0.963636363636364
"4",1,0.989473684210526,1,0.983193277310924,1,0.967213114754098,1,1
"5",0.916666666666667,0.978947368421053,0.913793103448276,0.939655172413793,0.896551724137931,0.932203389830508,0.931034482758621,0.947368421052632
"6",0.989473684210526,0.989473684210526,0.973913043478261,0.991228070175439,1,1,0.95,0.982758620689655
"7",1,0.904255319148936,0.948717948717949,0.96551724137931,0.915254237288136,0.966101694915254,0.982758620689655,0.964912280701754
"8",1,1,0.964601769911504,0.991379310344828,0.943396226415094,1,0.983333333333333,0.982456140350877
"9",1,0.957894736842105,0.991228070175439,0.983193277310924,0.982456140350877,0.967213114754098,1,1
"10",0.989583333333333,0.98936170212766,0.991379310344828,0.991304347826087,0.982758620689655,0.982758620689655,1,1
"11",0.979166666666667,0.956521739130435,0.982608695652174,0.991596638655462,0.982142857142857,1,0.983050847457627,0.982758620689655
"12",0.979166666666667,0.968421052631579,0.957983193277311,0.973684210526316,0.949152542372881,0.948275862068966,0.966666666666667,1
"13",0.989583333333333,0.989473684210526,0.974576271186441,0.991452991452991,0.982758620689655,0.983606557377049,0.966666666666667,1
"14",0.989583333333333,0.978947368421053,0.973913043478261,0.965811965811966,0.948275862068966,0.950819672131147,1,0.982142857142857
"15",0.894736842105263,0.789473684210526,0.728070175438597,0.721739130434783,0.732142857142857,0.754385964912281,0.724137931034483,0.689655172413793
"16",0.989583333333333,0.989473684210526,1,1,1,1,1,1
"17",0.96875,0.968421052631579,0.966666666666667,0.946902654867257,0.949152542372881,0.896551724137931,0.983606557377049,1
"18",0.247311827956989,0.978947368421053,0.966386554621849,0.991228070175439,0.949152542372881,0.983333333333333,0.983333333333333,1
"19",0.989473684210526,0.968421052631579,0.946902654867257,0.889830508474576,0.928571428571429,0.852459016393443,0.964912280701754,0.929824561403509
"20",1,0.978723404255319,0.966101694915254,0.957264957264957,0.949152542372881,0.966666666666667,0.983050847457627,0.947368421052632
"21",0.958333333333333,0.989473684210526,0.974137931034483,0.973913043478261,0.96551724137931,0.96551724137931,0.982758620689655,0.982456140350877
"22",1,1,0.974789915966387,0.973913043478261,0.949152542372881,0.948275862068966,1,1
"23",0.989583333333333,0.852631578947368,0.919642857142857,0.915966386554622,0.857142857142857,0.967213114754098,0.982142857142857,0.862068965517241
