"ExperimentName","Subject","Group","Block","Trial","STIM","TASK","Switch","Congruent","CVOE","Response","RT","block_type","letter","number","key2","response2","match2","score2","zRT"
"CVOE updated",5,1,1,11,"A 71","","",FALSE,"CV","p",2144,"cv","A",1,"v","v",TRUE,1,1.80319412035787
"CVOE updated",5,1,1,12,"I 66","","",TRUE,"CV","q",783,"cv","I",6,"v","c",FALSE,0,-0.416656107559973
"CVOE updated",5,1,1,13,"S 30","","",FALSE,"CV","q",636,"cv","S",0,"c","c",TRUE,1,-0.656419504697316
"CVOE updated",5,1,1,14,"D 20","","",FALSE,"CV","q",1261,"cv","D",0,"c","c",TRUE,1,0.362982694015875
"CVOE updated",5,1,1,15,"I 31","","",FALSE,"CV","p",611,"cv","I",1,"v","v",TRUE,1,-0.697195592645843
"CVOE updated",5,1,1,16,"P 16","","",FALSE,"CV","q",574,"cv","P",6,"c","c",TRUE,1,-0.757544202809664
"CVOE updated",5,1,1,17,"A 49","","",FALSE,"CV","p",777,"cv","A",9,"v","v",TRUE,1,-0.42644236866762
"CVOE updated",5,1,1,18,"O 64","","",TRUE,"CV","p",420,"cv","O",4,"v","v",TRUE,1,-1.00872490457259
"CVOE updated",5,1,1,19,"D 02","","",FALSE,"CV","q",466,"cv","D",2,"c","c",TRUE,1,-0.933696902747304
"CVOE updated",5,1,1,20,"P 81","","",TRUE,"CV","q",904,"cv","P",1,"c","c",TRUE,1,-0.2192998418891
"CVOE updated",5,1,1,21,"J 58","","",FALSE,"CV","q",693,"cv","J",8,"c","c",TRUE,1,-0.563450024174673
"CVOE updated",5,1,1,22,"A 22","","",TRUE,"CV","p",633,"cv","A",2,"v","v",TRUE,1,-0.661312635251139
"CVOE updated",5,1,1,23,"J 72","","",FALSE,"CV","q",582,"cv","J",2,"c","c",TRUE,1,-0.744495854666135
"CVOE updated",5,1,1,24,"P 91","","",TRUE,"CV","q",868,"cv","P",1,"c","c",TRUE,1,-0.27801740853498
