"subject","condition","bin","mean"
2001,"non-switch",1,1289.66666666667
2001,"non-switch",2,1755.38888888889
2001,"non-switch",3,2342
2001,"non-switch",4,3380.72222222222
2001,"non-switch",5,4289
2001,"non-switch",6,5508.27777777778
2001,"pure",1,814.875
2001,"pure",2,965.8125
2001,"pure",3,1037.5625
2001,"pure",4,1138.625
2001,"pure",5,1254.5625
2001,"pure",6,2204.5625
2001,"switch",1,1400.36842105263
2001,"switch",2,2068.16666666667
2001,"switch",3,2772.16666666667
2001,"switch",4,3499.66666666667
2001,"switch",5,4619.66666666667
2001,"switch",6,6385.94444444444
2002,"non-switch",1,805.736842105263
2002,"non-switch",2,1040.57894736842
2002,"non-switch",3,1309.57894736842
2002,"non-switch",4,1817.47368421053
2002,"non-switch",5,2805.21052631579
2002,"non-switch",6,4970.5
2002,"pure",1,496.4375
2002,"pure",2,573.5625
2002,"pure",3,623.9375
2002,"pure",4,705.6875
2002,"pure",5,879.6875
2002,"pure",6,1730
2002,"switch",1,817.157894736842
2002,"switch",2,1026
2002,"switch",3,1313.72222222222
2002,"switch",4,2116.15789473684
2002,"switch",5,3355.42105263158
2002,"switch",6,6068.22222222222
2003,"non-switch",1,826.9
2003,"non-switch",2,1001.95
2003,"non-switch",3,1161.89473684211
2003,"non-switch",4,1362.95
2003,"non-switch",5,1757.65
2003,"non-switch",6,3078.10526315789
2003,"pure",1,1363.86666666667
2003,"pure",2,1768.42857142857
2003,"pure",3,2107.13333333333
2003,"pure",4,2604.14285714286
2003,"pure",5,3623.53333333333
2003,"pure",6,5783.5
2003,"switch",1,819.15
2003,"switch",2,1005.95
2003,"switch",3,1189.4
2003,"switch",4,1433.35
2003,"switch",5,1787.5
2003,"switch",6,3245.2
2004,"non-switch",1,1032.2
2004,"non-switch",2,1343.42105263158
2004,"non-switch",3,1802.36842105263
2004,"non-switch",4,2302.3
2004,"non-switch",5,2916.73684210526
2004,"non-switch",6,4661.21052631579
2004,"pure",1,569.3125
2004,"pure",2,648.25
2004,"pure",3,712.0625
2004,"pure",4,841.625
2004,"pure",5,1041
2004,"pure",6,1896.26666666667
2004,"switch",1,1090.1
2004,"switch",2,1470.5
2004,"switch",3,1975.1
2004,"switch",4,2341.7
2004,"switch",5,3023.7
2004,"switch",6,4948.21052631579
2005,"non-switch",1,1013.6
2005,"non-switch",2,1151.95
2005,"non-switch",3,1305.36842105263
2005,"non-switch",4,1506.3
2005,"non-switch",5,1872.25
2005,"non-switch",6,2637.31578947368
2005,"pure",1,688.25
2005,"pure",2,797.75
2005,"pure",3,861.25
2005,"pure",4,963
2005,"pure",5,1184.875
