"ya_non_switch","healthy_non_switch","mci_non_switch","bin"
723.703855456656,1092.6444894287,962.615253411306,1
876.303535626042,1413.75184435448,1206.71577322937,2
1015.7131773066,1678.08529014845,1446.35218923377,3
1205.31082166968,1968.26700967161,1756.71478232619,4
1511.7406752145,2493.53033063428,2200.43596491228,5
2274.4704523109,3895.61132103764,3384.69959889039,6
