"subject","condition","bin","mean"
1001,"non-switch",1,1063.25
1001,"non-switch",2,1298.4
1001,"non-switch",3,1506.55
1001,"non-switch",4,1743.15
1001,"non-switch",5,2257.5
1001,"non-switch",6,3652.05
1001,"pure",1,557.875
1001,"pure",2,626.5
1001,"pure",3,676.9375
1001,"pure",4,743.5
1001,"pure",5,841.375
1001,"pure",6,1405.4375
1001,"switch",1,1364.9
1001,"switch",2,1663.95
1001,"switch",3,1840
1001,"switch",4,1980.2
1001,"switch",5,2289.35
1001,"switch",6,3434.55
1002,"non-switch",1,1025.8
1002,"non-switch",2,1255.7
1002,"non-switch",3,1478.3
1002,"non-switch",4,1733.55
1002,"non-switch",5,2084.6
1002,"non-switch",6,3062.45
1002,"pure",1,625.4375
1002,"pure",2,686.5625
1002,"pure",3,737.4375
1002,"pure",4,799.5
1002,"pure",5,921.625
1002,"pure",6,1522.375
1002,"switch",1,1125.55
1002,"switch",2,1347.75
1002,"switch",3,1557
1002,"switch",4,1811
1002,"switch",5,2056.65
1002,"switch",6,2575.05
1003,"non-switch",1,999.65
1003,"non-switch",2,1236.25
1003,"non-switch",3,1526.3
1003,"non-switch",4,1906.35
1003,"non-switch",5,2731.55
1003,"non-switch",6,4918.52631578947
1003,"pure",1,594.4375
1003,"pure",2,673.3125
1003,"pure",3,775.4375
1003,"pure",4,907.1875
1003,"pure",5,1153.0625
1003,"pure",6,2389.375
1003,"switch",1,1388.55
1003,"switch",2,1756.65
1003,"switch",3,2185.3
1003,"switch",4,2675
1003,"switch",5,3341.75
1003,"switch",6,5103.8947368421
1006,"non-switch",1,794.8
1006,"non-switch",2,946.45
1006,"non-switch",3,1082.35
1006,"non-switch",4,1292.15
1006,"non-switch",5,1665.25
1006,"non-switch",6,2994
1006,"pure",1,505.125
1006,"pure",2,560
1006,"pure",3,605.5
1006,"pure",4,655
1006,"pure",5,777.9375
1006,"pure",6,1460.1875
1006,"switch",1,1071.8
1006,"switch",2,1354.9
1006,"switch",3,1683.5
1006,"switch",4,2030.55
1006,"switch",5,2483.05
1006,"switch",6,3098.2
1007,"non-switch",1,1190.3
1007,"non-switch",2,1346.2
1007,"non-switch",3,1515.5
1007,"non-switch",4,1763.4
1007,"non-switch",5,2096.85
1007,"non-switch",6,2811.35
1007,"pure",1,835.25
1007,"pure",2,951.875
1007,"pure",3,1006.375
1007,"pure",4,1060
1007,"pure",5,1149.5625
1007,"pure",6,1453.0625
1007,"switch",1,1378.2
1007,"switch",2,1620.7
1007,"switch",3,1761.2
1007,"switch",4,1930.5
1007,"switch",5,2212.15
1007,"switch",6,2915.25
1008,"non-switch",1,762.25
1008,"non-switch",2,856.1
1008,"non-switch",3,957.05
1008,"non-switch",4,1103.1
1008,"non-switch",5,1392.75
1008,"non-switch",6,2667.3
1008,"pure",1,500.25
1008,"pure",2,543.25
1008,"pure",3,587.25
1008,"pure",4,667
1008,"pure",5,780.25
1008,"pure",6,1370.75
1008,"switch",1,902.7
1008,"switch",2,1110.35
1008,"switch",3,1287.5
1008,"switch",4,1486.45
1008,"switch",5,1803.6
1008,"switch",6,2862.35
1009,"non-switch",1,1754.8
1009,"non-switch",2,2019.55
1009,"non-switch",3,2180.25
1009,"non-switch",4,2336.55
1009,"non-switch",5,2668.05
1009,"non-switch",6,3554.52631578947
1009,"pure",1,1172.125
1009,"pure",2,1436.9375
1009,"pure",3,1590.5625
1009,"pure",4,1733.5
1009,"pure",5,1890.625
1009,"pure",6,2798.125
1009,"switch",1,1971.65
1009,"switch",2,2241.65
1009,"switch",3,2430.85
1009,"switch",4,2603.85
1009,"switch",5,2879.1
1009,"switch",6,3877.3
1010,"non-switch",1,2458.76923076923
1010,"non-switch",2,4130.53846153846
1010,"non-switch",3,5217.76923076923
1010,"non-switch",4,5896.61538461538
1010,"non-switch",5,6878.15384615385
1010,"non-switch",6,7521.33333333333
1010,"pure",1,763.4375
1010,"pure",2,942.4375
1010,"pure",3,1254.3125
1010,"pure",4,1581.3125
1010,"pure",5,1988
1010,"pure",6,3340.06666666667
1010,"switch",1,2954.25
1010,"switch",2,4305.36363636364
1010,"switch",3,4784.08333333333
1010,"switch",4,5302.45454545455
1010,"switch",5,6226.58333333333
1010,"switch",6,7097.36363636364
1011,"non-switch",1,861
1011,"non-switch",2,1095.75
1011,"non-switch",3,1294.69230769231
1011,"non-switch",4,1574.375
1011,"non-switch",5,1952.6
1011,"non-switch",6,2946.92307692308
1011,"pure",1,407.0625
1011,"pure",2,451.875
1011,"pure",3,500.875
1011,"pure",4,541.3125
1011,"pure",5,616.8125
1011,"pure",6,1400.375
1011,"switch",1,949.8
1011,"switch",2,1271.95
1011,"switch",3,1498.2
1011,"switch",4,1622.15
1011,"switch",5,1885.1
1011,"switch",6,2731.5
1013,"non-switch",1,812.631578947368
1013,"non-switch",2,1035.26315789474
1013,"non-switch",3,1282.94736842105
1013,"non-switch",4,1577.05263157895
1013,"non-switch",5,2819.84210526316
1013,"non-switch",6,5380.78947368421
1013,"pure",1,580.5
1013,"pure",2,660.125
1013,"pure",3,714.5
1013,"pure",4,798.5
1013,"pure",5,998.25
1013,"pure",6,1859
1013,"switch",1,760.6
1013,"switch",2,1189
1013,"switch",3,1519.21052631579
1013,"switch",4,2155.3
1013,"switch",5,3122.15
1013,"switch",6,4910.31578947368
1014,"non-switch",1,990.2
1014,"non-switch",2,1370.63157894737
1014,"non-switch",3,1696.5
1014,"non-switch",4,2075.26315789474
1014,"non-switch",5,2705.1
1014,"non-switch",6,4189.26315789474
1014,"pure",1,599.9375
1014,"pure",2,680.375
1014,"pure",3,756.625
