"subject","condition","bin","mean"
1,"non-switch",1,699.444444444444
1,"non-switch",2,888.611111111111
1,"non-switch",3,1069.22222222222
1,"non-switch",4,1293.72222222222
1,"non-switch",5,1613.27777777778
1,"non-switch",6,2662.05882352941
1,"pure",1,443.625
1,"pure",2,514.9375
1,"pure",3,563.3125
1,"pure",4,620.6875
1,"pure",5,736.125
1,"pure",6,1464.75
1,"switch",1,781.736842105263
1,"switch",2,1037.55555555556
1,"switch",3,1204.68421052632
1,"switch",4,1469.94444444444
1,"switch",5,1795.63157894737
1,"switch",6,2740.94444444444
2,"non-switch",1,685.65
2,"non-switch",2,758.4
2,"non-switch",3,836.95
2,"non-switch",4,916.3
2,"non-switch",5,1031.35
2,"non-switch",6,1502.94736842105
2,"pure",1,437.1875
2,"pure",2,483.875
2,"pure",3,521.25
2,"pure",4,556
2,"pure",5,589.25
2,"pure",6,873.0625
2,"switch",1,726.9
2,"switch",2,830.15
2,"switch",3,890.85
2,"switch",4,990.95
2,"switch",5,1129.45
2,"switch",6,1470.35
3,"non-switch",1,729.947368421053
3,"non-switch",2,882.263157894737
3,"non-switch",3,1037.52631578947
3,"non-switch",4,1253.84210526316
3,"non-switch",5,1715.36842105263
3,"non-switch",6,2467.84210526316
3,"pure",1,396.875
3,"pure",2,473.125
3,"pure",3,517.3125
3,"pure",4,581.125
3,"pure",5,684.75
3,"pure",6,911.733333333333
3,"switch",1,765.3
3,"switch",2,985.45
3,"switch",3,1176.68421052632
3,"switch",4,1411.05
3,"switch",5,1694
3,"switch",6,2387.21052631579
4,"non-switch",1,1076.4
4,"non-switch",2,1220.42105263158
4,"non-switch",3,1323.35
4,"non-switch",4,1463.31578947368
4,"non-switch",5,1770.15
4,"non-switch",6,2606.15789473684
4,"pure",1,598.625
4,"pure",2,671.4375
4,"pure",3,715.625
4,"pure",4,774.0625
4,"pure",5,892.4375
4,"pure",6,1308.73333333333
4,"switch",1,1149.9
4,"switch",2,1356.3
4,"switch",3,1474.2
4,"switch",4,1625.4
4,"switch",5,1901.7
4,"switch",6,2617.6
5,"non-switch",1,607.9
5,"non-switch",2,798
5,"non-switch",3,933.1
5,"non-switch",4,1088.2
5,"non-switch",5,1492.1
5,"non-switch",6,2565.10526315789
5,"pure",1,466.3125
5,"pure",2,546.9375
5,"pure",3,613.375
5,"pure",4,699.125
5,"pure",5,861.25
5,"pure",6,1204.3125
5,"switch",1,710.8
5,"switch",2,918.85
5,"switch",3,1082.95
5,"switch",4,1251.4
5,"switch",5,1552.4
5,"switch",6,2289.84210526316
6,"non-switch",1,824.8
6,"non-switch",2,928.736842105263
6,"non-switch",3,1002.05263157895
6,"non-switch",4,1127.4
6,"non-switch",5,1289.05263157895
6,"non-switch",6,2141.68421052632
6,"pure",1,617.6875
6,"pure",2,696.75
6,"pure",3,763.6875
6,"pure",4,849.125
6,"pure",5,945.5625
6,"pure",6,1807.46666666667
6,"switch",1,1035.88888888889
6,"switch",2,1226.33333333333
6,"switch",3,1371.11111111111
6,"switch",4,1607.11111111111
6,"switch",5,1933.61111111111
6,"switch",6,2603.94444444444
7,"non-switch",1,872
7,"non-switch",2,1019.21052631579
7,"non-switch",3,1194.36842105263
7,"non-switch",4,1451.94736842105
7,"non-switch",5,1893.26315789474
7,"non-switch",6,2841
7,"pure",1,498.25
7,"pure",2,571.25
7,"pure",3,615.8125
7,"pure",4,707.125
7,"pure",5,860.125
7,"pure",6,1219.5
7,"switch",1,951.8
7,"switch",2,1169.5
7,"switch",3,1459.78947368421
7,"switch",4,1664.85
7,"switch",5,2041.85
7,"switch",6,2752.10526315789
8,"non-switch",1,937.1
8,"non-switch",2,1127.75
8,"non-switch",3,1242.4
8,"non-switch",4,1390.75
8,"non-switch",5,1798.15
8,"non-switch",6,2820.1
8,"pure",1,606.8125
8,"pure",2,709.6875
8,"pure",3,768.3125
8,"pure",4,845.75
8,"pure",5,930.5625
8,"pure",6,1183.375
8,"switch",1,1049.8
8,"switch",2,1246.85
8,"switch",3,1413.65
8,"switch",4,1605.9
8,"switch",5,2027.8
8,"switch",6,2980.84210526316
9,"non-switch",1,719.6
9,"non-switch",2,800.5
9,"non-switch",3,893.9
9,"non-switch",4,1044.05
9,"non-switch",5,1219.45
9,"non-switch",6,1829.9
9,"pure",1,399.125
9,"pure",2,447.0625
9,"pure",3,469.5
9,"pure",4,498.5625
9,"pure",5,533
9,"pure",6,757.1875
9,"switch",1,757.35
9,"switch",2,855.5
9,"switch",3,936.65
9,"switch",4,1054.05
9,"switch",5,1248.45
9,"switch",6,1794.85
10,"non-switch",1,892.647058823529
10,"non-switch",2,1213.75
10,"non-switch",3,1617.41176470588
10,"non-switch",4,2064.5
10,"non-switch",5,2668.88235294118
10,"non-switch",6,3364.75
10,"pure",1,428.375
10,"pure",2,559.125
10,"pure",3,617.75
10,"pure",4,685.125
10,"pure",5,897.3125
10,"pure",6,1671.9375
10,"switch",1,1136.5
10,"switch",2,1489.9375
10,"switch",3,1676.66666666667
10,"switch",4,2011.125
10,"switch",5,2485.6875
10,"switch",6,3285
11,"non-switch",1,677.35
11,"non-switch",2,788.15
11,"non-switch",3,893.842105263158
11,"non-switch",4,1025.75
11,"non-switch",5,1216.1
11,"non-switch",6,1674.47368421053
11,"pure",1,393.5625
11,"pure",2,451.1875
11,"pure",3,497.25
11,"pure",4,553.1875
11,"pure",5,676.625
11,"pure",6,1111.25
11,"switch",1,748.5
11,"switch",2,879.55
11,"switch",3,992.55
11,"switch",4,1118.35
11,"switch",5,1300.05
11,"switch",6,1867.2
12,"non-switch",1,716.3
12,"non-switch",2,814.105263157895
12,"non-switch",3,918.3
12,"non-switch",4,1061
12,"non-switch",5,1217.1
12,"non-switch",6,1936.36842105263
12,"pure",1,452.4375
12,"pure",2,489.375
12,"pure",3,516.125
12,"pure",4,560.9375
12,"pure",5,666.625
12,"pure",6,959.1875
12,"switch",1,781.05
12,"switch",2,900.05
12,"switch",3,1002.05
12,"switch",4,1189.95
12,"switch",5,1456.25
12,"switch",6,2070.05263157895
13,"non-switch",1,919.1
13,"non-switch",2,1087.8
13,"non-switch",3,1244
13,"non-switch",4,1413.4
13,"non-switch",5,1833.8
13,"non-switch",6,2807.89473684211
13,"pure",1,500.25
13,"pure",2,548.5
13,"pure",3,584.8125
13,"pure",4,630.875
13,"pure",5,705.8125
13,"pure",6,1115.8125
13,"switch",1,955.3
13,"switch",2,1168.7
13,"switch",3,1422.55
13,"switch",4,1734.95
13,"switch",5,2016.85
13,"switch",6,2730.3
14,"non-switch",1,769.473684210526
14,"non-switch",2,906.222222222222
14,"non-switch",3,1049
14,"non-switch",4,1323.88888888889
14,"non-switch",5,1678.68421052632
14,"non-switch",6,2533.66666666667
14,"pure",1,424.6875
14,"pure",2,482.8125
14,"pure",3,543.75
14,"pure",4,610.9375
14,"pure",5,741.6875
14,"pure",6,1457.625
14,"switch",1,763.55
14,"switch",2,984.8
14,"switch",3,1219.57894736842
14,"switch",4,1464.7
