"subject","condition","bin","mean"
14,"switch",5,1864.5
14,"switch",6,2769.10526315789
15,"non-switch",1,349.5
15,"non-switch",2,408.95
15,"non-switch",3,473.5
15,"non-switch",4,532.6
15,"non-switch",5,602.4
15,"non-switch",6,1076.4
15,"pure",1,322.6875
15,"pure",2,359.375
15,"pure",3,390.1875
15,"pure",4,426.375
15,"pure",5,480.4375
15,"pure",6,799.875
15,"switch",1,391.5
15,"switch",2,469.25
15,"switch",3,533.7
15,"switch",4,625.8
15,"switch",5,735.85
15,"switch",6,1353.95
16,"non-switch",1,1099
16,"non-switch",2,1600.64705882353
16,"non-switch",3,1910.52941176471
16,"non-switch",4,2419.35294117647
16,"non-switch",5,2917.52941176471
16,"non-switch",6,3468.29411764706
16,"pure",1,544.375
16,"pure",2,636.1875
16,"pure",3,704.6
16,"pure",4,812.875
16,"pure",5,1084.25
16,"pure",6,1893.06666666667
16,"switch",1,1459
16,"switch",2,1814.8125
16,"switch",3,2110.1875
16,"switch",4,2531.3125
16,"switch",5,2952.125
16,"switch",6,3355.66666666667
17,"non-switch",1,786.578947368421
17,"non-switch",2,949.473684210526
17,"non-switch",3,1159.84210526316
17,"non-switch",4,1438.52631578947
17,"non-switch",5,1827.21052631579
17,"non-switch",6,2632
17,"pure",1,376.9375
17,"pure",2,434
17,"pure",3,484.3125
17,"pure",4,544
17,"pure",5,599.125
17,"pure",6,871.625
17,"switch",1,1084.57894736842
17,"switch",2,1381.68421052632
17,"switch",3,1593.72222222222
17,"switch",4,1800.47368421053
17,"switch",5,2161.21052631579
17,"switch",6,2710.11111111111
18,"non-switch",1,755.631578947368
18,"non-switch",2,890.684210526316
18,"non-switch",3,1031.16666666667
18,"non-switch",4,1249.21052631579
18,"non-switch",5,1574.68421052632
18,"non-switch",6,2688.5
18,"pure",1,497.875
18,"pure",2,586.6
18,"pure",3,693.666666666667
18,"pure",4,857.933333333333
18,"pure",5,1119.66666666667
18,"pure",6,1973.33333333333
18,"switch",1,800.6
18,"switch",2,972.736842105263
18,"switch",3,1116.1
18,"switch",4,1371
18,"switch",5,1676.25
18,"switch",6,2403.89473684211
19,"non-switch",1,743.55
19,"non-switch",2,857.3
19,"non-switch",3,991.9
19,"non-switch",4,1223.05
19,"non-switch",5,1538.25
19,"non-switch",6,2213.21052631579
19,"pure",1,505.875
19,"pure",2,579.75
19,"pure",3,616.75
19,"pure",4,653.8125
19,"pure",5,750.125
19,"pure",6,1247.0625
19,"switch",1,785.25
19,"switch",2,931.4
19,"switch",3,1070.9
19,"switch",4,1229.8
19,"switch",5,1426.35
19,"switch",6,1959.94736842105
20,"non-switch",1,888.15
20,"non-switch",2,1041.55
20,"non-switch",3,1190.8
20,"non-switch",4,1384.9
20,"non-switch",5,1691.1
20,"non-switch",6,2428.15789473684
20,"pure",1,545.9375
20,"pure",2,616.125
20,"pure",3,682.3125
20,"pure",4,747.6875
20,"pure",5,862
20,"pure",6,1129.6875
20,"switch",1,1019.65
20,"switch",2,1269.95
20,"switch",3,1407.75
20,"switch",4,1570.65
20,"switch",5,1784.65
20,"switch",6,2256.21052631579
21,"non-switch",1,564.7
21,"non-switch",2,709.6
21,"non-switch",3,814
21,"non-switch",4,909.7
21,"non-switch",5,1145.15
21,"non-switch",6,1790.05
21,"pure",1,379.8125
21,"pure",2,424.6875
21,"pure",3,455.1875
21,"pure",4,481.8125
21,"pure",5,510
21,"pure",6,608.5625
21,"switch",1,617.65
21,"switch",2,796.8
21,"switch",3,894.25
21,"switch",4,1020.1
21,"switch",5,1306.35
21,"switch",6,1933.25
22,"non-switch",1,904.25
22,"non-switch",2,1047.52631578947
22,"non-switch",3,1206.65
22,"non-switch",4,1372.05263157895
22,"non-switch",5,1779.05
22,"non-switch",6,2873.94736842105
22,"pure",1,490.3125
22,"pure",2,539.3125
22,"pure",3,593.25
22,"pure",4,649.1875
22,"pure",5,706.6875
22,"pure",6,853.733333333333
22,"switch",1,1079.15789473684
22,"switch",2,1371.89473684211
22,"switch",3,1604.42105263158
22,"switch",4,1765.31578947368
22,"switch",5,2013.94736842105
22,"switch",6,2613.27777777778
23,"non-switch",1,526.8
23,"non-switch",2,633.5
23,"non-switch",3,720.842105263158
23,"non-switch",4,842.3
23,"non-switch",5,1098.9
23,"non-switch",6,1964.05263157895
23,"pure",1,418.25
23,"pure",2,446.875
23,"pure",3,467.875
23,"pure",4,480.5
23,"pure",5,507.8125
23,"pure",6,673.75
23,"switch",1,691.15
23,"switch",2,853
23,"switch",3,993.4
23,"switch",4,1142.3
23,"switch",5,1373.1
23,"switch",6,2120.63157894737
24,"non-switch",1,844.055555555556
24,"non-switch",2,1099.77777777778
24,"non-switch",3,1342.17647058824
24,"non-switch",4,1617
24,"non-switch",5,2027.05555555556
24,"non-switch",6,2914.82352941176
24,"pure",1,504.625
24,"pure",2,558.125
24,"pure",3,603.5625
24,"pure",4,667.0625
24,"pure",5,729.5
24,"pure",6,896.0625
24,"switch",1,1137.78947368421
24,"switch",2,1378.16666666667
24,"switch",3,1569.66666666667
24,"switch",4,1711.73684210526
24,"switch",5,1956.27777777778
24,"switch",6,2835.5
25,"non-switch",1,845.55
25,"non-switch",2,932.45
25,"non-switch",3,996.95
25,"non-switch",4,1071.15
25,"non-switch",5,1241.85
25,"non-switch",6,1950.1
25,"pure",1,413.3125
25,"pure",2,453.875
25,"pure",3,479.3125
25,"pure",4,503.8125
25,"pure",5,551.8125
25,"pure",6,850.5
25,"switch",1,891
25,"switch",2,992.05
25,"switch",3,1079.15
25,"switch",4,1178.9
25,"switch",5,1311.75
25,"switch",6,1843.05263157895
26,"non-switch",1,628.7
26,"non-switch",2,717.9
26,"non-switch",3,792.25
26,"non-switch",4,904.1
26,"non-switch",5,1105.6
26,"non-switch",6,1885.57894736842
26,"pure",1,408.5625
26,"pure",2,467.125
26,"pure",3,511.1875
26,"pure",4,566.0625
26,"pure",5,608.375
26,"pure",6,989.4375
26,"switch",1,720.95
26,"switch",2,923.4
26,"switch",3,1079.25
26,"switch",4,1241.4
26,"switch",5,1510.55
26,"switch",6,2014.15
27,"non-switch",1,718.277777777778
27,"non-switch",2,822.722222222222
27,"non-switch",3,940.588235294118
27,"non-switch",4,1199.88888888889
27,"non-switch",5,1577.83333333333
27,"non-switch",6,2448.94117647059
27,"pure",1,406.25
27,"pure",2,532.4
27,"pure",3,611.6
27,"pure",4,708.375
27,"pure",5,821.933333333333
27,"pure",6,1204.2
27,"switch",1,778
27,"switch",2,919.947368421053
27,"switch",3,1055.4
27,"switch",4,1293.78947368421
27,"switch",5,1577.25
27,"switch",6,2447.05263157895
28,"non-switch",1,763.95
28,"non-switch",2,1016.4
28,"non-switch",3,1166.1
28,"non-switch",4,1282.7
28,"non-switch",5,1569.8
28,"non-switch",6,2125.68421052632
28,"pure",1,522.375
28,"pure",2,575.3125
28,"pure",3,620.1875
28,"pure",4,652.5
28,"pure",5,731.25
28,"pure",6,951.125
28,"switch",1,885.9
28,"switch",2,1187.8
28,"switch",3,1372.35
28,"switch",4,1577.3
28,"switch",5,1795.6
28,"switch",6,2336.47368421053
29,"non-switch",1,671.8
29,"non-switch",2,806.05
29,"non-switch",3,884.894736842105
29,"non-switch",4,1006.55
29,"non-switch",5,1354.7
29,"non-switch",6,2467.52631578947
29,"pure",1,391.5
29,"pure",2,437.1875
29,"pure",3,471.6875
29,"pure",4,529.5625
29,"pure",5,590.9375
29,"pure",6,890.875
29,"switch",1,740.2
29,"switch",2,850.7
29,"switch",3,995.75
29,"switch",4,1223.95
29,"switch",5,1499.85
29,"switch",6,2300.36842105263
30,"non-switch",1,919.315789473684
30,"non-switch",2,1214.11111111111
30,"non-switch",3,1510.15789473684
30,"non-switch",4,1783.27777777778
30,"non-switch",5,2146.47368421053
30,"non-switch",6,2986.61111111111
30,"pure",1,369.6875
30,"pure",2,430.4375
30,"pure",3,469.9375
30,"pure",4,517.875
30,"pure",5,644.9375
30,"pure",6,1367.75
30,"switch",1,990
30,"switch",2,1305.10526315789
30,"switch",3,1503.94444444444
30,"switch",4,1753.57894736842
30,"switch",5,2178.15789473684
30,"switch",6,2946.5
31,"non-switch",1,822.4
31,"non-switch",2,955.473684210526
31,"non-switch",3,1166.7
31,"non-switch",4,1309.42105263158
31,"non-switch",5,1490.1
31,"non-switch",6,2252.57894736842
31,"pure",1,492.5625
31,"pure",2,518.8125
31,"pure",3,537.0625
31,"pure",4,573.6875
31,"pure",5,628.4375
31,"pure",6,1010.8125
31,"switch",1,932.35
31,"switch",2,1155.65
31,"switch",3,1272
31,"switch",4,1386.6
31,"switch",5,1587.65
31,"switch",6,2409.55
33,"non-switch",1,83.55
33,"non-switch",2,204.5
33,"non-switch",3,270.5
33,"non-switch",4,388.65
33,"non-switch",5,538.8
33,"non-switch",6,916.15
33,"pure",1,48.3125
33,"pure",2,146.4
33,"pure",3,322.133333333333
33,"pure",4,612.266666666667
33,"pure",5,1047.73333333333
33,"pure",6,2147.86666666667
33,"switch",1,100.25
33,"switch",2,222.25
33,"switch",3,292.1
33,"switch",4,437.4
33,"switch",5,567
33,"switch",6,988.95
34,"non-switch",1,776.6
34,"non-switch",2,958
34,"non-switch",3,1112.05263157895
34,"non-switch",4,1312.35
34,"non-switch",5,1606.4
34,"non-switch",6,2263.31578947368
34,"pure",1,456.625
34,"pure",2,501.9375
34,"pure",3,532.8125
34,"pure",4,573.4375
34,"pure",5,619.6875
34,"pure",6,932.125
34,"switch",1,896.4
34,"switch",2,1081.8
34,"switch",3,1232.4
34,"switch",4,1406.65
34,"switch",5,1706.8
34,"switch",6,2266.68421052632
35,"non-switch",1,720.45
35,"non-switch",2,866.65
35,"non-switch",3,973.3
35,"non-switch",4,1125.55
35,"non-switch",5,1306.55
35,"non-switch",6,2132.5
35,"pure",1,327.0625
35,"pure",2,371
35,"pure",3,401.4375
35,"pure",4,435.5
35,"pure",5,460.0625
35,"pure",6,603.9375
35,"switch",1,815.3
35,"switch",2,946
35,"switch",3,1072.2
35,"switch",4,1199.2
35,"switch",5,1384.3
35,"switch",6,2051.89473684211
36,"non-switch",1,799.1
36,"non-switch",2,981.230769230769
36,"non-switch",3,1148.30769230769
36,"non-switch",4,1353
36,"non-switch",5,1749.12820512821
36,"non-switch",6,2659.97435897436
36,"pure",1,462.75
36,"pure",2,546.875
36,"pure",3,594.838709677419
36,"pure",4,653.03125
36,"pure",5,817.8125
36,"pure",6,1591
36,"switch",1,896.923076923077
36,"switch",2,1132.05128205128
36,"switch",3,1326.17948717949
36,"switch",4,1513.33333333333
36,"switch",5,1875.84615384615
36,"switch",6,2730.18421052632
37,"non-switch",1,926.647058823529
37,"non-switch",2,1180
37,"non-switch",3,1393.70588235294
37,"non-switch",4,1688.88235294118
37,"non-switch",5,2212.76470588235
37,"non-switch",6,2966.58823529412
37,"pure",1,567.9375
37,"pure",2,623.5625
37,"pure",3,721.9375
37,"pure",4,836.875
37,"pure",5,1041.875
37,"pure",6,1434.5
37,"switch",1,984.842105263158
37,"switch",2,1241.11111111111
37,"switch",3,1433.27777777778
37,"switch",4,1734.61111111111
37,"switch",5,2183.38888888889
37,"switch",6,2914.44444444444
38,"non-switch",1,757.9
38,"non-switch",2,889.2
38,"non-switch",3,1014.25
38,"non-switch",4,1185.75
38,"non-switch",5,1584.05
38,"non-switch",6,2358.8
38,"pure",1,421.4375
38,"pure",2,477.9375
38,"pure",3,505.5625
38,"pure",4,532
38,"pure",5,582.875
38,"pure",6,804.3125
38,"switch",1,863.8
38,"switch",2,1002.65
38,"switch",3,1161.15
38,"switch",4,1374.7
38,"switch",5,1704.15
38,"switch",6,2279.7
39,"non-switch",1,600
39,"non-switch",2,749.75
39,"non-switch",3,883.65
39,"non-switch",4,1028.5
39,"non-switch",5,1245.7
39,"non-switch",6,1876.78947368421
39,"pure",1,309.5625
39,"pure",2,348.4375
39,"pure",3,393.3125
39,"pure",4,429
39,"pure",5,473.125
39,"pure",6,692.0625
39,"switch",1,670.75
39,"switch",2,815.45
39,"switch",3,958.95
39,"switch",4,1124.25
39,"switch",5,1320.45
39,"switch",6,1806.65
40,"non-switch",1,792.95
40,"non-switch",2,890.8
40,"non-switch",3,995.55
40,"non-switch",4,1134.8
40,"non-switch",5,1429.3
40,"non-switch",6,2231.9
40,"pure",1,415.8125
40,"pure",2,472.875
40,"pure",3,509.1875
40,"pure",4,544.6875
40,"pure",5,600.125
40,"pure",6,981.875
40,"switch",1,828.35
40,"switch",2,945.8
40,"switch",3,1027.3
40,"switch",4,1171.35
40,"switch",5,1366.15
40,"switch",6,1901.65
41,"non-switch",1,516.6
41,"non-switch",2,708
41,"non-switch",3,907.45
41,"non-switch",4,1094.3
41,"non-switch",5,1321.6
41,"non-switch",6,1986.21052631579
41,"pure",1,335.375
41,"pure",2,418.125
41,"pure",3,451.4375
41,"pure",4,484.125
41,"pure",5,534.75
41,"pure",6,764.0625
41,"switch",1,613.55
41,"switch",2,788.65
41,"switch",3,938.65
41,"switch",4,1119.1
41,"switch",5,1328.65
41,"switch",6,1877.65
42,"non-switch",1,724.2
42,"non-switch",2,847.8
42,"non-switch",3,991.55
42,"non-switch",4,1127.95
42,"non-switch",5,1273.5
42,"non-switch",6,1981.75
42,"pure",1,384.125
42,"pure",2,444.8125
42,"pure",3,481.0625
42,"pure",4,529.9375
42,"pure",5,575.125
42,"pure",6,832.6875
42,"switch",1,813.45
42,"switch",2,964.1
42,"switch",3,1123.6
42,"switch",4,1285.45
42,"switch",5,1576.2
42,"switch",6,2224.55
43,"non-switch",1,704.85
43,"non-switch",2,843.65
43,"non-switch",3,960.95
43,"non-switch",4,1173.45
43,"non-switch",5,1473.55
43,"non-switch",6,2115.2
43,"pure",1,402.5625
43,"pure",2,447
43,"pure",3,486
43,"pure",4,521.25
43,"pure",5,575.9375
43,"pure",6,837.0625
43,"switch",1,799.6
43,"switch",2,927.25
43,"switch",3,1064.55
43,"switch",4,1235.05
43,"switch",5,1410.4
43,"switch",6,2001.35
44,"non-switch",1,354
44,"non-switch",2,832.235294117647
44,"non-switch",3,1023.44444444444
44,"non-switch",4,1254.64705882353
44,"non-switch",5,1550.05555555556
44,"non-switch",6,2438.82352941176
44,"pure",1,362.875
44,"pure",2,432.666666666667
44,"pure",3,507.25
44,"pure",4,576.733333333333
44,"pure",5,710
44,"pure",6,1294.26666666667
44,"switch",1,377.222222222222
44,"switch",2,909.5
44,"switch",3,1214.44444444444
44,"switch",4,1497.44444444444
44,"switch",5,1835.66666666667
44,"switch",6,2525.33333333333
45,"non-switch",1,633.7
45,"non-switch",2,744.2
45,"non-switch",3,834.15
45,"non-switch",4,970.2
45,"non-switch",5,1131.25
45,"non-switch",6,1558.47368421053
45,"pure",1,388.625
45,"pure",2,436.25
45,"pure",3,475.5
45,"pure",4,520.8125
45,"pure",5,586.625
45,"pure",6,857.5625
45,"switch",1,683.45
45,"switch",2,781.65
45,"switch",3,860.7
45,"switch",4,937.45
45,"switch",5,1050.35
45,"switch",6,1440.75
46,"non-switch",1,708.6
46,"non-switch",2,872.25
46,"non-switch",3,1018.05
46,"non-switch",4,1280.6
46,"non-switch",5,1817.7
46,"non-switch",6,2539.68421052632
46,"pure",1,381.375
46,"pure",2,447.5
46,"pure",3,502.9375
46,"pure",4,561.875
46,"pure",5,649
46,"pure",6,1364.3125
46,"switch",1,814.9
46,"switch",2,1027.5
46,"switch",3,1241.73684210526
46,"switch",4,1467.6
46,"switch",5,1725.85
46,"switch",6,2267.94736842105
47,"non-switch",1,773.5
47,"non-switch",2,893.75
47,"non-switch",3,1078.25
47,"non-switch",4,1354
47,"non-switch",5,1646.85
47,"non-switch",6,2497.7
47,"pure",1,398.625
47,"pure",2,479.625
47,"pure",3,531.1875
47,"pure",4,585.25
47,"pure",5,732.25
47,"pure",6,1285.8125
47,"switch",1,889.55
47,"switch",2,975.45
47,"switch",3,1097.57894736842
47,"switch",4,1273.55
47,"switch",5,1472.9
47,"switch",6,2383.21052631579
48,"non-switch",1,759.3
48,"non-switch",2,916.947368421053
48,"non-switch",3,1069.15789473684
48,"non-switch",4,1300
48,"non-switch",5,1700.52631578947
48,"non-switch",6,2701.42105263158
48,"pure",1,425.6875
48,"pure",2,462.1875
48,"pure",3,489.8125
48,"pure",4,510.5
48,"pure",5,546.5625
48,"pure",6,853.5625
48,"switch",1,933.368421052632
48,"switch",2,1092.57894736842
48,"switch",3,1324.57894736842
48,"switch",4,1558.10526315789
48,"switch",5,1902.52631578947
48,"switch",6,2684.11111111111
49,"non-switch",1,369.25
49,"non-switch",2,472.3
49,"non-switch",3,551.2
49,"non-switch",4,623.55
49,"non-switch",5,776.55
49,"non-switch",6,1675.3
49,"pure",1,349.625
49,"pure",2,458.5
49,"pure",3,525.625
49,"pure",4,582.8125
49,"pure",5,659.5
49,"pure",6,1456.13333333333
49,"switch",1,387.6
49,"switch",2,473.1
49,"switch",3,538.25
49,"switch",4,635.15
49,"switch",5,785.85
49,"switch",6,1593.57894736842
50,"non-switch",1,603.2
50,"non-switch",2,710
50,"non-switch",3,825.9
50,"non-switch",4,988.55
50,"non-switch",5,1274.05
50,"non-switch",6,2087.36842105263
50,"pure",1,319.9375
50,"pure",2,369.8125
50,"pure",3,400.875
50,"pure",4,438.1875
50,"pure",5,516.4375
50,"pure",6,751.25
50,"switch",1,643.6
50,"switch",2,748.3
50,"switch",3,847.15
50,"switch",4,943.6
50,"switch",5,1139.3
50,"switch",6,1639.8
51,"non-switch",1,743.45
51,"non-switch",2,834.8
51,"non-switch",3,922.55
51,"non-switch",4,1079.35
51,"non-switch",5,1368.8
51,"non-switch",6,1950.95
51,"pure",1,414
51,"pure",2,465.3125
51,"pure",3,511.125
51,"pure",4,537.8125
51,"pure",5,579.3125
51,"pure",6,822.8125
51,"switch",1,912.4
51,"switch",2,1057.75
51,"switch",3,1241.1
51,"switch",4,1516.65
51,"switch",5,1773.05
51,"switch",6,2247.35
52,"non-switch",1,445
52,"non-switch",2,524.526315789474
52,"non-switch",3,615.7
52,"non-switch",4,828.789473684211
52,"non-switch",5,1241.85
52,"non-switch",6,1927.57894736842
52,"pure",1,389.8125
52,"pure",2,449.9375
52,"pure",3,477.375
52,"pure",4,503.625
52,"pure",5,541.125
52,"pure",6,737.5
52,"switch",1,441.1
52,"switch",2,518.789473684211
52,"switch",3,609.95
52,"switch",4,819
52,"switch",5,1248.8
52,"switch",6,2004.84210526316
53,"non-switch",1,714.15
53,"non-switch",2,823.3
53,"non-switch",3,900.631578947368
53,"non-switch",4,1093.25
53,"non-switch",5,1489.15
53,"non-switch",6,2093.94736842105
53,"pure",1,370.25
53,"pure",2,424.375
53,"pure",3,456
53,"pure",4,490.75
53,"pure",5,542.4375
53,"pure",6,663.0625
53,"switch",1,769.7
53,"switch",2,928.55
53,"switch",3,1074.15
53,"switch",4,1272.1
53,"switch",5,1518.9
53,"switch",6,2074.84210526316
54,"non-switch",1,741.2
54,"non-switch",2,912.05
54,"non-switch",3,1053.84210526316
54,"non-switch",4,1278.55
54,"non-switch",5,1502.45
54,"non-switch",6,2161.94736842105
54,"pure",1,381.9375
54,"pure",2,448.3125
54,"pure",3,479.9375
54,"pure",4,522.6875
54,"pure",5,617.625
54,"pure",6,948.4375
54,"switch",1,767.2
54,"switch",2,946.6
54,"switch",3,1070.8
54,"switch",4,1202.25
54,"switch",5,1455.45
54,"switch",6,2074.42105263158
55,"non-switch",1,943.222222222222
55,"non-switch",2,1140.94444444444
55,"non-switch",3,1343.23529411765
55,"non-switch",4,1570.33333333333
55,"non-switch",5,1950.5
55,"non-switch",6,2934.23529411765
55,"pure",1,484.8125
55,"pure",2,578.375
55,"pure",3,653.3125
55,"pure",4,748.8125
55,"pure",5,936
55,"pure",6,1590.46666666667
55,"switch",1,1256.5
55,"switch",2,1484.72222222222
55,"switch",3,1687.05555555556
55,"switch",4,1884.33333333333
55,"switch",5,2232.33333333333
55,"switch",6,3024.05555555556
56,"non-switch",1,737.65
56,"non-switch",2,874.35
56,"non-switch",3,1119.31578947368
56,"non-switch",4,1413.8
56,"non-switch",5,1954.6
56,"non-switch",6,2746.10526315789
56,"pure",1,409.4375
56,"pure",2,478.5625
56,"pure",3,517.75
56,"pure",4,575.5625
56,"pure",5,746.0625
56,"pure",6,1116.1875
56,"switch",1,820.7
56,"switch",2,1017.35
56,"switch",3,1217.47368421053
56,"switch",4,1452.25
56,"switch",5,1834.95
56,"switch",6,2533.52631578947
57,"non-switch",1,616.25
57,"non-switch",2,696.6
57,"non-switch",3,756.2
57,"non-switch",4,852.35
57,"non-switch",5,1022
57,"non-switch",6,1428.63157894737
57,"pure",1,330.1875
57,"pure",2,358.6875
57,"pure",3,381.875
57,"pure",4,409.625
57,"pure",5,449.125
57,"pure",6,546.3125
57,"switch",1,644.2
57,"switch",2,740.65
