"ya_switch","healthy_switch","mci_switch","bin"
818.044859845929,1294.14166666667,1054.48201754386,1
1002.73881754667,1651.50572833599,1325.44800194932,2
1156.41222174778,1917.96033138402,1564.78461663418,3
1345.84455066703,2195.55975544923,1856.49156920078,4
1616.79659903214,2639.00462962963,2332.47431773879,5
2267.44380939327,3735.55835991494,3508.18016569201,6
