SubID,Condition,Block_Type,Errors,Rts
1,Younger,Global_alt,-0.031804078,749.5968711
2,Younger,Global_alt,0.007127193,267.7656943
3,Younger,Global_alt,0.021816394,872.5941224
4,Younger,Global_alt,-0.010416667,886.2860706
5,Younger,Global_alt,0.009375,502.2615469
6,Younger,Global_alt,0.035934664,268.0057954
7,Younger,Global_alt,-0.0353902,966.5278154
8,Younger,Global_alt,0.011185109,645.1048246
9,Younger,Global_alt,-0.026041667,607.3367777
10,Younger,Global_alt,-0.01657197,950.1214966
11,Younger,Global_alt,-0.020065789,433.2524081
12,Younger,Global_alt,0.002083333,444.8164455
13,Younger,Global_alt,0.017708333,864.7311329
14,Younger,Global_alt,-0.020833333,524.926928
16,Younger,Global_alt,-0.015845465,1099.905457
17,Younger,Global_alt,-0.019509181,1112.337079
19,Younger,Global_alt,0.006745219,686.6093492
20,Younger,Global_alt,0.000768443,560.6090054
21,Younger,Global_alt,-0.009648224,394.6048055
22,Younger,Global_alt,-0.005208333,703.7157895
23,Younger,Global_alt,-0.049435028,347.1148798
24,Younger,Global_alt,-0.020833333,966.6636839
25,Younger,Global_alt,0.011953552,650.2213212
26,Younger,Global_alt,0.017161885,435.2660628
27,Younger,Global_alt,-0.054279302,522.8766095
28,Younger,Global_alt,0.026041667,655.6053826
29,Younger,Global_alt,-0.020833333,632.2925297
30,Younger,Global_alt,-0.026801257,1108.203578
31,Younger,Global_alt,-0.010416667,792.0114035
34,Younger,Global_alt,-0.010416667,575.8919715
35,Younger,Global_alt,-0.051314891,799.4534965
36,Younger,Global_alt,-0.025328373,747.0283445
37,Younger,Global_alt,-0.083333333,911.0613866
38,Younger,Global_alt,-0.026041667,879.7488673
39,Younger,Global_alt,-0.097916667,622.8177309
40,Younger,Global_alt,0.01869877,547.1462163
41,Younger,Global_alt,0.114924863,645.9171703
43,Younger,Global_alt,0.029115437,747.1169495
44,Younger,Global_alt,0.11666449,519.6361971
45,Younger,Global_alt,0.06113388,445.78588
46,Younger,Global_alt,-0.024504781,855.2258876
47,Younger,Global_alt,0.023138661,704.9793604
49,Younger,Global_alt,0.269644269,162.0700948
50,Younger,Global_alt,0.046875,637.6240313
51,Younger,Global_alt,-0.015625,535.8752758
52,Younger,Global_alt,0.054956897,738.8199955
53,Younger,Global_alt,-0.0625,620.5006845
54,Younger,Global_alt,-0.009004237,813.973568
55,Younger,Global_alt,-0.052631579,971.974273
56,Younger,Global_alt,0.003972458,940.852957
57,Younger,Global_alt,-0.036458333,355.1013373
58,Younger,Global_alt,0.020309664,409.6027487
59,Younger,Global_alt,0.001536885,575.2187476
60,Younger,Global_alt,0.036629098,603.2950043
61,Younger,Global_alt,-0.015625,464.4890444
