Sub ID,mean_cv_errors,mean_oe_errors,pure_block_errors,alt_switch_errors,alt_non_switch_errors,rand_switch_errors,rand_non_switch_errors,global_cost_alt,global_cost_rand,local_switch_cost_alt,local_switch_cost_rand
1001,0,0.010416667,0.005208333,0,0,0,0.032786885,-0.005208333,0.027578552,0,-0.032786885
1002,0.010416667,0.020833333,0.015625,0.008333333,0.016393443,0,0,0.000768443,-0.015625,-0.008060109,0
1003,0.052083333,0.020833333,0.036458333,0.008333333,0.016393443,0.06779661,0.016393443,-0.020064891,-0.020064891,-0.008060109,0.051403168
1007,0,0.125,0.0625,0.083333333,0.06557377,0.101694915,0.098360656,0.00307377,0.035860656,0.017759563,0.00333426
1008,0.010416667,0.010416667,0.010416667,0,0,0.033898305,0.016393443,-0.010416667,0.005976776,0,0.017504862
1009,0,0.010416667,0.005208333,0.033333333,0.049180328,0.033898305,0,0.043971995,-0.005208333,-0.015846995,0.033898305
1010,0.010416667,0.03125,0.020833333,0.033333333,0.06557377,0.305084746,0.262295082,0.044740437,0.241461749,-0.032240437,0.042789664
1011,0.020833333,0.03125,0.026041667,0.025,0.049180328,0.016949153,0.049180328,0.023138661,0.023138661,-0.024180328,-0.032231175
1014,0,0.166666667,0.083333333,0.066666667,0.06557377,0.101694915,0.114754098,-0.017759563,0.031420765,0.001092896,-0.013059183
2001,0.0625,0.416666667,0.239583333,0.483333333,0.524590164,0.525423729,0.409836066,0.285006831,0.170252732,-0.041256831,0.115587663
2002,0.072916667,0.239583333,0.15625,0.383333333,0.360655738,0.271186441,0.163934426,0.204405738,0.007684426,0.022677596,0.107252014
2003,0.052083333,0.083333333,0.067708333,0.275,0.262295082,0.288135593,0.196721311,0.194586749,0.129012978,0.012704918,0.091414282
2004,0.020833333,0.010416667,0.015625,0.066666667,0.098360656,0.13559322,0.081967213,0.082735656,0.066342213,-0.031693989,0.053626007
2006,0,0.010416667,0.005208333,0.025,0,0.050847458,0.016393443,-0.005208333,0.011185109,0.025,0.034454015
2007,0.010416667,0.010416667,0.010416667,0,0,0.050847458,0.032786885,-0.010416667,0.022370219,0,0.018060572
2009,0.052083333,0.28125,0.166666667,0.366666667,0.409836066,0.338983051,0.196721311,0.243169399,0.030054645,-0.043169399,0.142261739
2010,0,0.010416667,0.005208333,0.266666667,0.262295082,0.254237288,0.278688525,0.257086749,0.273480191,0.004371585,-0.024451236
2011,0.125,0.0625,0.09375,0.05,0.081967213,0.237288136,0.213114754,-0.011782787,0.119364754,-0.031967213,0.024173381
,,,,,,,,,,,
mean,0.027777778,0.086226852,0.057002315,0.120833333,0.129326047,0.156308851,0.121129326,0.072323733,0.064127011,-0.008492714,0.035179525
sd,0.034640427,0.117352107,0.067989899,0.157343397,0.161690417,0.148165359,0.117562936,0.109651996,0.087184902,0.021605352,0.05143652
se,0.008164827,0.027660157,0.016025373,0.037086194,0.038110797,0.03492291,0.02770985,0.025845223,0.020549679,0.00509243,0.012123704
CI,0.016003061,0.054213907,0.031409731,0.072688941,0.074697162,0.068448903,0.054311306,0.050656638,0.04027737,0.009981163,0.02376246
,,,,,,,,,,,
,,,,,,,,,,,
"Note: Removed 1006, 2005, & 1013",,,,,,,,,,,
