SUBID,mean_cv_rt,mean_oe_rt,pure_RT,switch_altrun_rt,non_altrun_rt,switch_rand_rt,non_rand_rt,global_cost_alt_RT,global_cost_rand_RT,local_switch_cost_alt_RT,local_switch_cost_rand_RT
1001,808.6041667,746.6526316,777.6283991,2074.559322,2159.932203,2115.737705,1699.169492,1382.303804,921.5410924,-85.37288136,416.5682134
1002,883.3052632,927.0967742,905.2010187,1640.966102,1716.754098,1855.483333,1831.966102,811.5530797,926.765083,-75.78799667,23.51723164
1003,1019.450549,855.4255319,937.4380407,2723.185185,2651.983333,2738.1,1745.672414,1714.545293,808.2343731,71.20185185,992.4275862
1006,760.625,780.3333333,770.4791667,1907.818182,1586.186441,1971.627119,1336.169492,815.707274,565.6903249,321.6317411,635.4576271
1007,1076.020833,1911.535714,1493.778274,2050.792453,1915.563636,1837.070175,1563.698113,421.7853626,69.9198394,135.2288165,273.3720622
1008,743.6736842,610.2631579,676.9684211,1474.912281,1327.3,1690.622951,1260.084746,650.3315789,583.1163247,147.6122807,430.5382051
1009,1770.3125,1241.810526,1506.061513,2601.192982,2403.47541,2755.258621,2511.37931,897.4138967,1005.317797,197.7175726,243.8793103
1010,1628.170213,1540.817204,1584.493709,5839.181818,6265.875,5172.139535,4872.607843,4681.381291,3288.114135,-426.6931818,299.5316917
1011,656.106383,730.5268817,693.3166323,1819.637931,1776.614035,1545.586207,1427.847458,1083.297403,734.5308253,43.02389595,117.7387493
1013,667,1143.848837,905.4244186,1920.285714,2401.113636,2576.171429,2277.264706,1495.689218,1371.840287,-480.8279221,298.9067227
1014,1003.020833,1477.435897,1240.228365,2400.384615,1885.528302,2339.321429,2335.092593,645.2999365,1094.864227,514.8563135,4.228835979
1015,731.3645833,771.9148936,751.6397385,1981.655172,1921.666667,1543.736842,1503.189655,1170.026928,751.5499167,59.98850575,40.54718693
1016,992.8842105,986.7804878,989.8323492,1776.3,1998.777778,2127.45614,1756.36,1008.945429,766.5276508,-222.4777778,371.0961404
1017,552.9247312,673.0212766,612.9730039,1712.631579,1650.5,1708.793103,1861.62069,1037.526996,1248.647686,62.13157895,-152.8275862
1018,900.0860215,1598.235955,1249.160988,2340.482759,2109.8,2683.614035,2157.20339,860.6390117,908.0424015,230.6827586,526.4106453
1019,769.4148936,962.5913978,866.0031457,1676.215686,1870.859649,1996.210526,1742.701754,1004.856503,876.6986087,-194.6439628,253.5087719
1020,989.344086,1022.351648,1005.847867,2110.6,1812.017241,2591.226415,2170.051724,806.1693742,1164.203857,298.5827586,421.174691
2001,1210.922222,3983.849057,2597.385639,4489.521739,3296.933333,3366.448276,2829.125,699.5476939,231.7393606,1192.588406,537.3232759
2002,840.5280899,1123.861111,982.1946005,4119.512821,3115.458333,1253.589744,1205.742857,2133.263733,223.5482566,1004.054487,47.84688645
2003,2951.690476,2363.813953,2657.752215,1590.047619,1726.583333,1298.288889,1347.268293,-931.1688815,-1310.483922,-136.5357143,-48.97940379
2004,943.0215054,743.3789474,843.2002264,2442.039216,2373.907407,2640.145455,2271.890909,1530.707181,1428.690683,68.13180828,368.2545455
2005,1430,963.6736842,1196.836842,1857.915254,1823.372881,1517.916667,1324.22807,626.5360393,127.3912281,34.54237288,193.6885965
2006,1225.71875,1327.768421,1276.743586,2041.589286,2099.85,2523.786885,1759.909091,823.1064145,483.1655054,-58.26071429,763.8777943
2007,1348.51087,1582.734043,1465.622456,3206.537037,3147.527273,2883.655738,2740.4,1681.904817,1274.777544,59.00976431,143.2557377
2009,1515.933333,1406.529412,1461.231373,820.8205128,963.1428571,1338.833333,1427.342105,-498.0885154,-33.88926729,-142.3223443,-88.50877193
2010,805.5212766,731.4148936,768.4680851,682.6818182,750.7045455,703.4666667,785.7619048,-17.76353965,17.29381966,-68.02272727,-82.2952381
2011,1082.75,1606.94382,1344.84691,3428.477273,2962.318182,2752.563636,2562.482759,1617.471272,1217.635849,466.1590909,190.0808777
2012,798.9784946,757.8369565,778.4077256,1833.949153,1695.52459,2072.583333,1666.54386,917.1168646,888.1361341,138.4245624,406.0394737
2014,2158.5,1888.591398,2023.545699,1882.210526,2038.525424,2577.311475,2295.310345,14.9797248,271.7646459,-156.3148974,282.0011306
2015,1083.483871,1129.244681,1106.364276,1690.142857,1870.070175,1766.114754,1777.931034,763.7058995,671.5667586,-179.9273183,-11.81628038
