Conditon,VAR,TYPE,Average,Upper,Lower
Younger,CV,ERROR,0.03064042,0.037908122,0.023372719
Healthy,CV,ERROR,0.014343476,0.021534003,0.007152949
MCI,CV,ERROR,0.034892278,0.050389017,0.019395539
Younger,OE,ERROR,0.049999776,0.060010557,0.039988994
Healthy,OE,ERROR,0.048528923,0.073353266,0.02370458
MCI,OE,ERROR,0.096907839,0.15711413,0.036701547
Younger,PURE,ERROR,0.040320098,0.047919664,0.032720532
Healthy,PURE,ERROR,0.031436199,0.043442646,0.019429752
MCI,PURE,ERROR,0.065900058,0.100298134,0.031501983
Younger,ALT_SWITCH,ERROR,0.07414004,0.09416513,0.05411495
Healthy,ALT_SWITCH,ERROR,0.068661153,0.10422104,0.033101266
MCI,ALT_SWITCH,ERROR,0.212055502,0.301795442,0.122315562
Younger,ALT_NS,ERROR,0.041350871,0.055523467,0.027178274
Healthy,ALT_NS,ERROR,0.053695719,0.082238934,0.025152504
MCI,ALT_NS,ERROR,0.152416698,0.218837249,0.085996147
Younger,RAND_SWITCH,ERROR,0.063579573,0.079090152,0.048068994
Healthy,RAND_SWITCH,ERROR,0.046011466,0.062138586,0.029884346
MCI,RAND_SWITCH,ERROR,0.194364754,0.285439695,0.103289813
Younger,RAND_NS,ERROR,0.03997002,0.054865934,0.025074106
Healthy,RAND_NS,ERROR,0.02568135,0.045582997,0.005779702
MCI,RAND_NS,ERROR,0.179164488,0.267147264,0.091181711
Younger,ALT_GLOBAL,ERROR,0.001030773,0.014358834,-0.012297289
Healthy,ALT_GLOBAL,ERROR,0.02225952,0.048224422,-0.003705383
MCI,ALT_GLOBAL,ERROR,0.086516639,0.143245154,0.029788124
Younger,RAND_GLOBAL,ERROR,-0.000350078,0.013716559,-0.014416715
Healthy,RAND_GLOBAL,ERROR,-0.00575485,0.008198992,-0.019708691
MCI,RAND_GLOBAL,ERROR,0.113264429,0.186791881,0.039736977
Younger,ALT_LOCAL,ERROR,0.032789169,0.046329711,0.019248627
Healthy,ALT_LOCAL,ERROR,0.014965434,0.031138604,-0.001207736
MCI,ALT_LOCAL,ERROR,0.059638804,0.097481556,0.021796052
Younger,RAND_LOCAL,ERROR,0.023609553,0.032554863,0.014664243
Healthy,RAND_LOCAL,ERROR,0.020330116,0.041128418,-0.000468186
MCI,RAND_LOCAL,ERROR,0.015200266,0.039592044,-0.009191511
Younger,CV,RT,634.9483788,667.3301013,602.5666564
Healthy,CV,RT,950.7426845,1111.909382,789.5759872
MCI,CV,RT,1146.146187,1396.263775,896.0285985
Younger,OE,RT,699.7818047,742.7982686,656.7653408
Healthy,OE,RT,1071.588561,1257.939909,885.2372122
MCI,OE,RT,1306.896794,1682.033179,931.7604084
Younger,PURE,RT,667.3650918,702.9887959,631.7413876
Healthy,PURE,RT,1011.165623,1164.151867,858.1793776
MCI,PURE,RT,1226.52149,1498.831247,954.2117335
Younger,ALT_SWITCH,RT,1393.264557,1461.551937,1324.977176
Healthy,ALT_SWITCH,RT,2230.877141,2673.091618,1788.662663
MCI,ALT_SWITCH,RT,2054.892936,2612.835761,1496.950111
Younger,ALT_NS,RT,1329.469892,1401.300007,1257.639777
Healthy,ALT_NS,RT,2194.005491,2725.255646,1662.755335
MCI,ALT_NS,RT,1926.91664,2340.654755,1513.178525
Younger,RAND_SWITCH,RT,1402.798643,1496.18082,1309.416467
Healthy,RAND_SWITCH,RT,2306.17773,2725.014832,1887.340627
MCI,RAND_SWITCH,RT,1864.351072,2254.898672,1473.803472
Younger,RAND_NS,RT,1245.115731,1319.203326,1171.028136
Healthy,RAND_NS,RT,2040.483006,2434.192945,1646.773067
MCI,RAND_NS,RT,1678.743956,1993.113361,1364.374551
Younger,ALT_GLOBAL,RT,662.1048001,717.5769468,606.6326534
Healthy,ALT_GLOBAL,RT,1182.839868,1644.027063,721.6526732
MCI,ALT_GLOBAL,RT,700.3951496,1105.253811,295.5364879
Younger,RAND_GLOBAL,RT,577.7506391,636.5699416,518.9313365
Healthy,RAND_GLOBAL,RT,1029.317383,1345.522171,713.1125957
MCI,RAND_GLOBAL,RT,452.2224654,776.130263,128.3146679
Younger,ALT_LOCAL,RT,63.79466505,102.828885,24.76044506
Healthy,ALT_LOCAL,RT,36.87164981,175.8460061,-102.1027065
