Conditon,VAR,TYPE,Average,Upper,Lower
MCI,ALT_LOCAL,RT,127.9762962,314.7751647,-58.82257225
Younger,RAND_LOCAL,RT,157.6829124,193.8172662,121.5485587
Healthy,RAND_LOCAL,RT,265.6947237,403.3884398,128.0010075
MCI,RAND_LOCAL,RT,185.6071162,317.9440579,53.27017445
Younger,CV,ZRT,-0.522077974,-0.485389897,-0.558766051
Healthy,CV,ZRT,-0.392595476,-0.312533736,-0.472657216
MCI,CV,ZRT,-0.29552614,-0.17127684,-0.41977544
Younger,OE,ZRT,-0.448622532,-0.399885428,-0.497359635
Healthy,OE,ZRT,-0.332563651,-0.239991094,-0.425136207
MCI,OE,ZRT,-0.215671098,-0.029317018,-0.402025179
Younger,PURE,ZRT,-0.485350253,-0.444989052,-0.525711454
Healthy,PURE,ZRT,-0.362579563,-0.286581574,-0.438577553
MCI,PURE,ZRT,-0.255598619,-0.120325059,-0.390872179
Younger,ALT_SWITCH,ZRT,0.337084555,0.414453283,0.259715826
Healthy,ALT_SWITCH,ZRT,0.243328654,0.463004686,0.023652623
MCI,ALT_SWITCH,ZRT,0.155906117,0.433071772,-0.121259539
Younger,ALT_NS,ZRT,0.264806015,0.346188616,0.183423414
Healthy,ALT_NS,ZRT,0.225012163,0.488917873,-0.038893548
MCI,ALT_NS,ZRT,0.092332158,0.297862171,-0.113197854
Younger,RAND_SWITCH,ZRT,0.347886553,0.453687364,0.242085741
Healthy,RAND_SWITCH,ZRT,0.280735242,0.488798245,0.072672238
MCI,RAND_SWITCH,ZRT,0.061251865,0.255261675,-0.132757945
Younger,RAND_NS,ZRT,0.16923383,0.253174128,0.085293533
Healthy,RAND_NS,ZRT,0.148747789,0.344328534,-0.046832956
MCI,RAND_NS,ZRT,-0.030950984,0.125216276,-0.187118244
Younger,ALT_GLOBAL,ZRT,0.750156268,0.813005501,0.687307036
Healthy,ALT_GLOBAL,ZRT,0.587591726,0.816692712,0.35849074
MCI,ALT_GLOBAL,ZRT,0.347930777,0.549049801,0.146811753
Younger,RAND_GLOBAL,ZRT,0.654584083,0.7212256,0.587942566
Healthy,RAND_GLOBAL,ZRT,0.511327352,0.668406363,0.354248341
MCI,RAND_GLOBAL,ZRT,0.224647635,0.385553221,0.063742049
Younger,ALT_LOCAL,ZRT,0.072278539,0.116503811,0.028053267
Healthy,ALT_LOCAL,ZRT,0.018316491,0.087353885,-0.050720902
MCI,ALT_LOCAL,ZRT,0.063573959,0.156368827,-0.02922091
Younger,RAND_LOCAL,ZRT,0.178652723,0.219592483,0.137712962
Healthy,RAND_LOCAL,ZRT,0.131987453,0.336096294,0.063586234
MCI,RAND_LOCAL,ZRT,0.092202849,0.157943017,0.026462681
