"mc_subID","altswitch_errors"
2001,0.557692308
2002,0.264150943
2003,0.288135593
2004,0.13559322
2006,0.050847458
2007,0.052631579
2009,0.338983051
2010,0.254237288
2011,0.24137931
2012,0
2015,0.034482759
