"mc_subID","randnonswitch_RTs"
2001,2829.125
2002,1205.742857
2003,1347.268293
2004,2271.890909
2006,1759.909091
2007,2740.4
2009,1427.342105
2010,785.7619048
2011,2562.482759
2012,1666.54386
2015,1777.931034
