"mc_subID","global_rand_RTs"
2001,231.7393606
2002,223.5482566
2003,-1310.483922
2004,1428.690683
2006,483.1655054
2007,1274.777544
2009,-33.88926729
2010,17.29381966
2011,1217.635849
2012,888.1361341
2015,671.5667586
