"mc_subID","randnonswitch_errors"
2001,0.438596491
2002,0.396551724
2003,0.293103448
2004,0.035087719
2006,0.051724138
2007,0
2009,0.333333333
2010,0.275862069
2011,0.016949153
2012,0.033898305
2015,0
