"mc_subID","randswitch_RTs"
2001,3366.448276
2002,1253.589744
2003,1298.288889
2004,2640.145455
2006,2523.786885
2007,2883.655738
2009,1338.833333
2010,703.4666667
2011,2752.563636
2012,2072.583333
2015,1766.114754
