"mc_subID","local_alt_errors"
2001,0.145927602
2002,0.121293801
2003,0.088135593
2004,0.050847458
2006,0.034454015
2007,0.01754386
2009,0.142261739
2010,-0.024451236
2011,0.027093596
2012,0
2015,0.000584454
