"mc_subID","local_alt_RTs"
2001,1192.588406
2002,1004.054487
2003,-136.5357143
2004,68.13180828
2006,-58.26071429
2007,59.00976431
2009,-142.3223443
2010,-68.02272727
2011,466.1590909
2012,138.4245624
2015,-179.9273183
