"mc_subID","local_rand_errors"
2001,0.078070175
2002,-0.035895986
2003,-0.030808366
2004,0.063272936
2006,-0.051724138
2007,0
2009,0.076502732
2010,-0.013566987
2011,0.066384181
2012,-0.017504862
2015,0
