"mc_subID","local_rand_RTs"
2001,537.3232759
2002,47.84688645
2003,-48.97940379
2004,368.2545455
2006,763.8777943
2007,143.2557377
2009,-88.50877193
2010,-82.2952381
2011,190.0808777
2012,406.0394737
2015,-11.81628038
