"mc_subID","global_rand_errors"
2001,0.201790936
2002,0.239040759
2003,0.227822984
2004,0.01935307
2006,0.046515805
2007,-0.010639502
2009,0.164912281
2010,0.270598911
2011,-0.077129795
2012,-0.002560028
2015,-0.020942982
