"mc_subID","altnonswitch_RTs"
2001,3296.933333
2002,3115.458333
2003,1726.583333
2004,2373.907407
2006,2099.85
2007,3147.527273
2009,963.1428571
2010,750.7045455
2011,2962.318182
2012,1695.52459
2015,1870.070175
