"mc_subID","altnonswitch_errors"
2001,0.411764706
2002,0.142857143
2003,0.2
2004,0.084745763
2006,0.016393443
2007,0.035087719
2009,0.196721311
2010,0.278688525
2011,0.214285714
2012,0
2015,0.033898305
