"mc_subID","global_alt_RTs"
2001,699.5476939
2002,2133.263733
2003,-931.1688815
2004,1530.707181
2006,823.1064145
2007,1681.904817
2009,-498.0885154
2010,-17.76353965
2011,1617.471272
2012,917.1168646
2015,763.7058995
