"ya_subID","randswitch_errors"
1,0.070175439
2,0.049180328
3,0.166666667
4,0.032786885
5,0.083333333
6,0
7,0.033333333
8,0
9,0.032786885
10,0.020833333
11,0
12,0.05
13,0.016393443
14,0.049180328
16,0
17,0.107142857
18,0.016666667
19,0.147540984
20,0.033333333
21,0.032786885
22,0.053571429
23,0.032786885
24,0.050847458
25,0.049180328
26,0.032786885
28,0.116666667
29,0.083333333
30,0.033898305
31,0
34,0.081967213
36,0.008403361
37,0.075471698
38,0.06557377
39,0.06557377
40,0.049180328
41,0.245901639
43,0.06557377
44,0.072727273
