"ya_subID","global_alt_errors"
1,-0.031524123
2,0.006580745
3,0.021816394
4,-0.010416667
5,0.009375
6,0.034210526
7,-0.035964912
8,0.011185109
9,-0.026041667
10,-0.016444288
11,-0.019791667
12,0.002083333
13,0.017708333
14,-0.020833333
16,-0.015735816
17,-0.020064891
18,-0.373675847
19,0.006745219
20,0.000768443
21,-0.009648224
22,-0.005208333
23,-0.05
24,-0.020833333
25,0.011953552
26,0.017161885
28,0.024675546
29,-0.020833333
30,-0.027450608
31,-0.010416667
34,-0.010416667
36,-0.02521815
37,-0.083333333
38,-0.026041667
39,-0.098189891
40,0.01869877
41,0.114924863
43,0.029115437
44,0.114101291
