"ya_subID","altswitch_RTs"
1,1510.773585
2,928.9473684
3,1520.660377
4,1768.881356
5,1239.037736
6,1588.381818
7,1664.981481
8,1665.981818
9,1187.793103
10,1839.32
11,1250.155172
12,1127.696429
13,1700.793103
14,1475.145455
16,2014.846154
17,1898.309091
18,1292
19,1415.018182
20,1501.571429
21,974.7368421
22,1752.017857
23,1253.04
24,1786.980769
25,1256.350877
26,1199.018519
28,1435.942308
29,1187.053571
30,1646
31,1441.896552
34,1438.403509
36,1534.788991
37,1664.846154
38,1423.767857
39,1191
40,1139.535714
41,1359.085714
43,1356.172414
44,1286.673469
