"ya_subID","local_rand_errors"
1,-0.00529626
2,0.049180328
3,0.130952381
4,0.032786885
5,0.032485876
6,-0.017241379
7,-0.001149425
8,-0.016949153
9,0.032786885
10,0.020833333
11,-0.017241379
12,0.05
13,0.016393443
14,0.031323185
16,0
17,0.107142857
18,0.016666667
19,0.079744373
20,-0.018390805
21,0.015837733
22,0.053571429
23,-0.102806335
24,0.014483821
25,0.049180328
26,0.015837733
28,0.048870056
29,0.066384181
30,0.033898305
31,-0.01754386
34,0.081967213
36,-0.017458708
37,0.035471698
38,0.031675465
39,0.014726313
40,0.032231175
41,0.021763708
43,0.031675465
44,-0.001346801
