"ya_subID","global_rand_RTs"
1,352.5292398
2,356.3653436
3,561.6311594
4,669.844369
5,557.5651183
6,339.1305163
7,670.9573267
8,785.3433303
9,491.0566999
10,728.3835678
11,273.6750274
12,518.7831727
13,751.2656157
14,605.3451098
16,1587.458331
17,746.412628
18,466.8376909
19,373.088548
20,639.484763
21,606.9823917
22,954.7140351
23,356.2531667
24,880.3880642
25,567.6111517
26,332.4355543
28,609.8599281
29,616.4787366
30,1127.800613
31,563.5233083
34,816.8241748
36,577.445863
37,640.7661822
38,575.5156203
39,631.0250554
40,786.9568636
41,303.0453027
43,496.9415109
44,728.3913091
