"ya_subID","randswitch_RTs"
1,1449.09434
2,1096.310345
3,1394.72
4,1618.474576
5,1311.381818
6,1714.166667
7,1742.689655
8,1749.704918
9,1043.152542
10,2354.617021
11,1057.442623
12,1335.157895
13,1639.483333
14,1586.37931
16,2885.1875
17,1790.98
18,1547.59322
19,1109.288462
20,1617.448276
21,1208.610169
22,1813.716981
23,1102.101695
24,1873.339286
25,1155.37931
26,1308.101695
28,1676.188679
29,1335.327273
30,2010.385965
31,1478.42623
34,1461.035714
36,1634.711864
37,1877.836735
38,1373.684211
39,1085.666667
40,1272.706897
41,1049.26087
43,1131.22807
44,1598.019608
