"ya_subID","randnonswitch_errors"
1,0.075471698
2,0
3,0.035714286
4,0
5,0.050847458
6,0.017241379
7,0.034482759
8,0.016949153
9,0
10,0
11,0.017241379
12,0
13,0
14,0.017857143
16,0
17,0
18,0
19,0.06779661
20,0.051724138
21,0.016949153
22,0
23,0.13559322
24,0.036363636
25,0
26,0.016949153
28,0.06779661
29,0.016949153
30,0
31,0.01754386
34,0
36,0.025862069
37,0.04
38,0.033898305
39,0.050847458
40,0.016949153
41,0.224137931
43,0.033898305
44,0.074074074
