"ya_subID","local_alt_errors"
1,0.018518519
2,0.00111142
3,0.032729398
4,0
5,0.035028249
6,-0.05
7,0.068079096
8,0.035330695
9,0.016949153
10,0.019607843
11,0.000282486
12,0.017514124
13,-0.016384181
14,0.051724138
16,0
17,0.035330695
18,0.034774985
19,0.035009725
20,0.034454015
21,0.017504862
22,0.050847458
23,0.104597701
24,0.037037037
25,-0.015545506
26,0.051958877
28,0.036676855
29,0.050847458
30,0.018831169
31,0.016949153
34,0.033898305
36,0.027192982
37,0.071428571
38,0.050847458
39,0.085301473
40,-0.014726313
41,0.177271464
43,-0.048624618
44,-0.058350804
