"ya_subID","local_rand_RTs"
1,273.0943396
2,106.0900058
3,198.0533333
4,147.9573349
5,35.20324675
6,463.0964912
7,323.2075123
8,121.0497456
9,17.69491525
10,498.9295213
11,84.02157032
12,193.0877193
13,160.2074713
14,173.9065831
16,362.2629717
17,498.8527273
18,231.1026543
19,-21.52972028
20,137.339185
21,106.2825833
22,160.4187355
23,168.1213028
24,302.8109838
25,20.48100526
26,336.1016949
28,387.915952
29,121.2410658
30,241.6002506
31,267.4976581
34,8.374697337
36,258.260537
37,267.5659014
38,237.4912281
39,19.25595238
40,-89.0862069
41,192.7497585
43,43.80701754
44,156.1996078
