"ya_subID","randnonswitch_RTs"
1,1176
2,990.220339
3,1196.666667
4,1470.517241
5,1276.178571
6,1251.070175
7,1419.482143
8,1628.655172
9,1025.457627
10,1855.6875
11,973.4210526
12,1142.070175
13,1479.275862
14,1412.472727
16,2522.924528
17,1292.127273
18,1316.490566
19,1130.818182
20,1480.109091
21,1102.327586
22,1653.298246
23,933.9803922
24,1570.528302
25,1134.898305
26,972
28,1288.272727
29,1214.086207
30,1768.785714
31,1210.928571
34,1452.661017
36,1376.451327
37,1610.270833
38,1136.192982
39,1066.410714
40,1361.793103
41,856.5111111
43,1087.421053
44,1441.82
