"ya_subID","altnonswitch_errors"
1,0
2,0.032786885
3,0.068965517
4,0
5,0.066666667
6,0.05
7,0.016666667
8,0.016393443
9,0
10,0
11,0.016666667
12,0.033333333
13,0.033333333
14,0
16,0
17,0.016393443
18,0.016949153
19,0.032786885
20,0.016393443
21,0.016393443
22,0
23,0.033333333
24,0
25,0.032786885
26,0.032786885
28,0.081967213
29,0
30,0.035714286
31,0
34,0
36,0.016666667
37,0
38,0
39,0.016393443
40,0.06557377
41,0.229508197
43,0.06557377
44,0.150943396
