"ya_subID","altnonswitch_RTs"
1,1556.763636
2,951.8983051
3,1507.62963
4,1709.633333
5,1220.875
6,1274.140351
7,1788.118644
8,1488.416667
9,1141.737705
10,2100.096154
11,1115.711864
12,1068.103448
13,1592.741379
14,1422.719298
16,2019.830189
17,1732.033333
18,1384.241379
19,1444.338983
20,1401.233333
21,889.95
22,1402.3
23,974.7068966
24,1656.803922
25,1217.508475
26,1074.830508
28,1379.321429
29,1271.852459
30,1788.240741
31,1477.245902
34,1211.728814
36,1537.584746
37,1952.981818
38,1440.42623
39,1103.716667
40,1121.982456
41,1199.382979
43,1337.596491
44,1258.311111
