"","V1","V2","V3","V4","V5","V6"
"1",823.4707602,823.4707602,823.4707602,823.4707602,823.4707602,823.4707602
"2",633.8549954,633.8549954,633.8549954,633.8549954,633.8549954,633.8549954
"3",635.0355072,635.0355072,635.0355072,635.0355072,635.0355072,635.0355072
"4",800.6728723,800.6728723,800.6728723,800.6728723,800.6728723,800.6728723
"5",718.6134531,718.6134531,718.6134531,718.6134531,718.6134531,718.6134531
"6",911.9396591,911.9396591,911.9396591,911.9396591,911.9396591,911.9396591
"7",748.5248162,748.5248162,748.5248162,748.5248162,748.5248162,748.5248162
"8",843.3118421,843.3118421,843.3118421,843.3118421,843.3118421,843.3118421
"9",534.4009272,534.4009272,534.4009272,534.4009272,534.4009272,534.4009272
"10",1127.303932,1127.303932,1127.303932,1127.303932,1127.303932,1127.303932
"11",699.7460253,699.7460253,699.7460253,699.7460253,699.7460253,699.7460253
"12",623.2870028,623.2870028,623.2870028,623.2870028,623.2870028,623.2870028
"13",728.0102464,728.0102464,728.0102464,728.0102464,728.0102464,728.0102464
"14",807.1276174,807.1276174,807.1276174,807.1276174,807.1276174,807.1276174
"15",935.4661977,935.4661977,935.4661977,935.4661977,935.4661977,935.4661977
"16",545.7146447,545.7146447,545.7146447,545.7146447,545.7146447,545.7146447
"17",849.6528752,849.6528752,849.6528752,849.6528752,849.6528752,849.6528752
"18",757.7296339,757.7296339,757.7296339,757.7296339,757.7296339,757.7296339
"19",840.624328,840.624328,840.624328,840.624328,840.624328,840.624328
"20",495.3451945,495.3451945,495.3451945,495.3451945,495.3451945,495.3451945
"21",698.5842105,698.5842105,698.5842105,698.5842105,698.5842105,698.5842105
"22",577.7272255,577.7272255,577.7272255,577.7272255,577.7272255,577.7272255
"23",690.1402377,690.1402377,690.1402377,690.1402377,690.1402377,690.1402377
"24",567.2871534,567.2871534,567.2871534,567.2871534,567.2871534,567.2871534
"25",639.5644457,639.5644457,639.5644457,639.5644457,639.5644457,639.5644457
"26",678.4127992,678.4127992,678.4127992,678.4127992,678.4127992,678.4127992
"27",597.6074703,597.6074703,597.6074703,597.6074703,597.6074703,597.6074703
"28",640.985101,640.985101,640.985101,640.985101,640.985101,640.985101
"29",647.4052632,647.4052632,647.4052632,647.4052632,647.4052632,647.4052632
"30",635.8368421,635.8368421,635.8368421,635.8368421,635.8368421,635.8368421
"31",799.0054645,799.0054645,799.0054645,799.0054645,799.0054645,799.0054645
"32",969.5046512,969.5046512,969.5046512,969.5046512,969.5046512,969.5046512
"33",560.6773622,560.6773622,560.6773622,560.6773622,560.6773622,560.6773622
"34",435.3856589,435.3856589,435.3856589,435.3856589,435.3856589,435.3856589
"35",574.8362398,574.8362398,574.8362398,574.8362398,574.8362398,574.8362398
"36",553.4658084,553.4658084,553.4658084,553.4658084,553.4658084,553.4658084
"37",590.4795417,590.4795417,590.4795417,590.4795417,590.4795417,590.4795417
"38",713.4286909,713.4286909,713.4286909,713.4286909,713.4286909,713.4286909
