"ya_subID","local_alt_RTs"
1,-45.99005146
2,-22.95093666
3,13.03074773
4,59.2480226
5,18.16273585
6,314.2414673
7,-123.1371626
8,177.5651515
9,46.05539853
10,-260.7761538
11,134.443308
12,59.5929803
13,108.0517241
14,52.4261563
16,-4.984034833
17,166.2757576
18,-92.24137931
19,-29.32080123
20,100.3380952
21,84.78684211
22,349.7178571
23,278.3331034
24,130.1768477
25,38.84240262
26,124.18801
28,56.62087912
29,-84.79888759
30,-142.2407407
31,-35.34934992
34,226.6746952
36,-2.795754937
37,-288.1356643
38,-16.65837237
39,87.28333333
40,17.55325815
41,159.7027356
43,18.57592257
44,28.36235828
