"ya_subID","pure_RTs"
1,823.4707602
2,633.8549954
3,635.0355072
4,800.6728723
5,718.6134531
6,911.9396591
7,748.5248162
8,843.3118421
9,534.4009272
10,1127.303932
11,699.7460253
12,623.2870028
13,728.0102464
14,807.1276174
16,935.4661977
17,545.7146447
18,849.6528752
19,757.7296339
20,840.624328
21,495.3451945
22,698.5842105
23,577.7272255
24,690.1402377
25,567.2871534
26,639.5644457
28,678.4127992
29,597.6074703
30,640.985101
31,647.4052632
34,635.8368421
36,799.0054645
37,969.5046512
38,560.6773622
39,435.3856589
40,574.8362398
41,553.4658084
43,590.4795417
44,713.4286909
