"ya_subID","altswitch_errors"
1,0.018518519
2,0.033898305
3,0.101694915
4,0
5,0.101694915
6,0
7,0.084745763
8,0.051724138
9,0.016949153
10,0.019607843
11,0.016949153
12,0.050847458
13,0.016949153
14,0.051724138
16,0
17,0.051724138
18,0.051724138
19,0.06779661
20,0.050847458
21,0.033898305
22,0.050847458
23,0.137931034
24,0.037037037
25,0.017241379
26,0.084745763
28,0.118644068
29,0.050847458
30,0.054545455
31,0.016949153
34,0.033898305
36,0.043859649
37,0.071428571
38,0.050847458
39,0.101694915
40,0.050847458
41,0.406779661
43,0.016949153
44,0.092592593
