JOL_Bin,Direction,SDEV,n,lower,Average,upper
0,F,47.09290749,32,14.93314002,31.25,47.56685998
10,F,50,25,20.4,40,59.6
20,F,50.23561221,39,27.82323736,43.5897436,59.35624984
30,F,50,25,20.4,40,59.6
40,F,48.30458915,21,46.00645263,66.6666667,87.32688077
50,F,47.45789979,75,55.92593286,66.6666667,77.40740054
60,F,49.38039738,29,44.09633469,62.0689655,80.04159631
70,F,50.66228051,25,36.14038604,56,75.85961396
80,F,42.29020618,40,64.39412932,77.5,90.60587068
90,F,40.51038409,69,70.15146572,79.71014493,89.26882414
100,F,38.76585432,175,75.97065636,81.71428571,87.45791507
0,B,41.04256301,34,6.792301979,20.58823529,34.38416861
10,B,49.61976634,33,22.46406187,39.39393939,56.32381692
20,B,36.65288997,45,4.846330691,15.55555556,26.26478042
30,B,35.9490628,34,2.622064076,14.70588235,26.78970063
40,B,46.14143754,31,12.78925429,29.03225806,45.27526184
50,B,43.41941849,61,13.69396167,24.59016393,35.4863662
60,B,43.99413451,32,9.756810087,25,40.24318991
70,B,43.54941704,29,8.287560536,24.13793103,39.98830153
80,B,47.48580799,34,16.39119336,32.35294118,48.31468899
90,B,50.43486642,54,34.69604879,48.14814815,61.60024751
100,B,50.01060918,154,45.99736322,53.8961039,61.79484457
0,S,50.74162634,30,28.50900888,46.66666667,64.82432446
10,S,43.58898944,25,6.913116141,24,41.08688386
20,S,51.13099926,18,20.82312793,44.44444444,68.06576096
30,S,49.61389384,26,19.39057165,38.46153846,57.53250527
40,S,50.83911274,26,34.30422805,53.84615385,73.38807964
50,S,48.77218358,59,50.26665337,62.71186441,75.15707544
60,S,49.61389384,26,19.39057165,38.46153846,57.53250527
70,S,50.36101552,24,38.18473081,58.33333333,78.48193585
80,S,50.55250296,46,35.39102255,50,64.60897745
90,S,44.58618133,71,62.86828043,73.23943662,83.61059281
100,S,43.13061308,216,69.7110166,75.46296296,81.21490932
0,U,28.81353863,220,5.28339667,9.090909091,909.0909091
10,U,35.35092488,90,7.140867696,14.44444444,1444.444444
20,U,31.2817573,83,4.113480369,10.84337349,1084.337349
30,U,32.33808334,18,-3.828321195,11.11111111,1111.111111
40,U,30.07926038,21,-3.341302645,9.523809524,952.3809524
50,U,31.49703942,28,-0.952380952,10.71428571,1071.428571
60,U,24.2535625,17,-5.647058824,5.882352941,588.2352941
70,U,32.33808334,18,-3.828321195,11.11111111,1111.111111
80,U,37.46343246,19,-1.056139985,15.78947368,1578.947368
90,U,38.92494721,12,-5.357195507,16.66666667,1666.666667
100,U,48.50712501,18,10.92418487,33.33333333,3333.333333
