"subID","mean_cv_errors","mean_oe_errors","pure_block_errors","alt_switch_errors","alt_non_switch_errors","rand_switch_errors","rand_non_switch_errors","global_cost_alt","global_cost_rand","local_switch_cost_alt","local_switch_cost_rand"
"1",0.0104166666666666,0.0421052631578948,0.0262609649122807,0.0178571428571429,0,0.0701754385964912,0.0877192982456141,-0.0262609649122807,0.0614583333333334,0.0178571428571429,-0.0175438596491229
"2",0.0208333333333334,0.0212765957446809,0.0210549645390071,0.0338983050847458,0.0338983050847458,0.05,0,0.0128433405457387,-0.0210549645390071,0,0.05
"3",0.0526315789473685,0.031578947368421,0.0421052631578948,0.103448275862069,0.0689655172413793,0.166666666666667,0.0363636363636364,0.0268602540834846,-0.00574162679425838,0.0344827586206896,0.13030303030303
"4",0,0.0105263157894737,0.00526315789473686,0,0,0.0327868852459017,0,-0.00526315789473686,-0.00526315789473686,0,0.0327868852459017
"5",0.0833333333333334,0.0210526315789473,0.0521929824561403,0.103448275862069,0.0689655172413793,0.0677966101694916,0.0526315789473685,0.016772534785239,0.000438596491228127,0.0344827586206896,0.0151650312221231
"6",0.0105263157894737,0.0105263157894737,0.0105263157894737,0,0.05,0,0.0172413793103449,0.0394736842105263,0.00671506352087115,-0.05,-0.0172413793103449
"7",0,0.0957446808510638,0.0478723404255319,0.0847457627118644,0.0172413793103449,0.0338983050847458,0.0350877192982456,-0.030630961115187,-0.0127846211272863,0.0675043834015195,-0.00118941421349983
"8",0,0,0,0.0566037735849056,0.0166666666666667,0,0.0175438596491229,0.0166666666666667,0.0175438596491229,0.0399371069182389,-0.0175438596491229
"9",0,0.0421052631578948,0.0210526315789474,0.0175438596491229,0,0.0327868852459017,0,-0.0210526315789474,-0.0210526315789474,0.0175438596491229,0.0327868852459017
"10",0.0104166666666666,0.0106382978723404,0.0105274822695035,0.0172413793103449,0,0.0172413793103449,0,-0.0105274822695035,-0.0105274822695035,0.0172413793103449,0.0172413793103449
"11",0.0208333333333334,0.0434782608695652,0.0321557971014493,0.0178571428571429,0.0169491525423728,0,0.0172413793103449,-0.0152066445590764,-0.0149144177911044,0.000907990314770069,-0.0172413793103449
"12",0.0208333333333334,0.031578947368421,0.0262061403508772,0.0508474576271186,0.0333333333333333,0.0517241379310345,0,0.00712719298245612,-0.0262061403508772,0.0175141242937853,0.0517241379310345
"13",0.0104166666666666,0.0105263157894737,0.0104714912280702,0.0172413793103449,0.0333333333333333,0.0163934426229508,0,0.0228618421052632,-0.0104714912280702,-0.0160919540229885,0.0163934426229508
"14",0.0104166666666666,0.0210526315789473,0.015734649122807,0.0517241379310345,0,0.0491803278688525,0.0178571428571429,-0.015734649122807,0.00212249373433593,0.0517241379310345,0.0313231850117096
"15",0.105263157894737,0.210526315789474,0.157894736842105,0.267857142857143,0.275862068965517,0.245614035087719,0.310344827586207,0.117967332123412,0.152450090744102,-0.00800492610837433,-0.0647307924984876
