"subID","mean_cv_errors","mean_oe_errors","pure_block_errors","alt_switch_errors","alt_non_switch_errors","rand_switch_errors","rand_non_switch_errors","global_cost_alt","global_cost_rand","local_switch_cost_alt","local_switch_cost_rand","z_cv","z_oe","z_alt_switch","z_alt_ns","z_rand_switch","z_rand_ns"
"1",0.0104166666666666,0.0421052631578948,0.0262609649122807,0.0178571428571429,0,0.0701754385964912,0.0877192982456141,-0.0262609649122807,0.0614583333333334,0.0178571428571429,-0.0175438596491229,-0.32395956384427,-0.129832486661061,-0.665388147708673,-0.625802477731552,0.059390660432594,0.540544243860893
"2",0.0208333333333334,0.0212765957446809,0.0210549645390071,0.0338983050847458,0.0338983050847458,0.05,0,0.0128433405457387,-0.0210549645390071,0,0.05,-0.241379226928755,-0.302100407793529,-0.490603865143659,-0.194026869889948,-0.238965131344552,-0.608230162987777
"3",0.0526315789473685,0.031578947368421,0.0421052631578948,0.103448275862069,0.0689655172413793,0.166666666666667,0.0363636363636364,0.0268602540834846,-0.00574162679425838,0.0344827586206896,0.13030303030303,0.0107081173396549,-0.216892618846287,0.267211657961904,0.25263755201516,1.48630966458417,-0.13201095433051
"4",0,0.0105263157894737,0.00526315789473686,0,0,0.0327868852459017,0,-0.00526315789473686,-0.00526315789473686,0,0.0327868852459017,-0.406539900759783,-0.391012883216739,-0.859959330186708,-0.625802477731552,-0.493513871727478,-0.608230162987777
"5",0.0833333333333334,0.0210526315789473,0.0521929824561403,0.103448275862069,0.0689655172413793,0.0677966101694916,0.0526315789473685,0.016772534785239,0.000438596491228127,0.0344827586206896,0.0151650312221231,0.254102794564327,-0.303952751031513,0.267211657961904,0.25263755201516,0.0242123798988117,0.0810344811214256
"6",0.0105263157894737,0.0105263157894737,0.0105263157894737,0,0.05,0,0.0172413793103449,0.0394736842105263,0.00671506352087115,-0.05,-0.0172413793103449,-0.323090297139895,-0.391012883216739,-0.859959330186708,0.0110665438348145,-0.978368615314005,-0.382436572676141
"7",0,0.0957446808510638,0.0478723404255319,0.0847457627118644,0.0172413793103449,0.0338983050847458,0.0350877192982456,-0.030630961115187,-0.0127846211272863,0.0675043834015195,-0.00118941421349983,-0.406539900759783,0.313803718835993,0.0634293324209123,-0.406192470294874,-0.477078117707597,-0.148720400248309
"8",0,0,0,0.0566037735849056,0.0166666666666667,0,0.0175438596491229,0.0166666666666667,0.0175438596491229,0.0399371069182389,-0.0175438596491229,-0.406539900759783,-0.478073015401965,-0.243205393275203,-0.413512803876096,-0.978368615314005,-0.378475281618042
"9",0,0.0421052631578948,0.0210526315789474,0.0175438596491229,0,0.0327868852459017,0,-0.0210526315789474,-0.0210526315789474,0.0175438596491229,0.0327868852459017,-0.406539900759783,-0.129832486661061,-0.668801677225831,-0.625802477731552,-0.493513871727478,-0.608230162987777
"10",0.0104166666666666,0.0106382978723404,0.0105274822695035,0.0172413793103449,0,0.0172413793103449,0,-0.0105274822695035,-0.0105274822695035,0.0172413793103449,0.0172413793103449,-0.32395956384427,-0.390086711597747,-0.672097498828605,-0.625802477731552,-0.723401896703848,-0.608230162987777
