Subject,cue_target,ListNum,combined,Direction
36,Drink - Water,48,2976,S
36,Liver - Kidney,48,3491,S
36,End - Begin,49,3288,S
36,Ground - Earth,49,4371,S
36,Lonely - Alone,50,2149,S
36,Wind - Blow,50,3024,S
36,Seatbelt - Safety,51,2539,S
36,Soda - Pop,51,4681,S
36,Cheese - Wine,52,2655,S
36,Lie - Truth,52,3587,S
36,Communication - Phone,53,3306,S
36,Toilet - Bathroom,53,3621,S
36,Decision - Choice,54,3209,S
36,Reel - Rod,54,4066,S
36,Foot - Shoe,55,3305,S
36,Tick - Flea,55,4104,S
36,Future - Past,56,2470,S
36,Noise - Loud,56,4442,S
36,Salad - Lettuce,57,4429,S
36,Have - Own,57,4835,S
36,Temper - Tantrum,58,3086,S
36,Bee - Honey,58,3985,S
36,Child - Baby,59,4123,S
36,Tan - Sun,59,4233,S
36,Round - Circle,60,3335,S
36,Maroon - Justice,60,4763,S
36,Clutter - Pusher,61,2917,S
36,Cloth - Stretch,61,4795,U
36,Sacking - Dietary,62,3184,U
36,Election - Maze,62,3598,U
36,Hungry - Park,63,3747,U
36,Charm - Vehicle,63,4215,U
36,Woman - Lift,64,0,U
36,Obtain - Meat,64,3457,U
36,Belt - Soon,65,3380,U
36,Able - Crackle,65,3555,U
36,Floor - Discover,66,3163,U
36,Shake - Shell,66,4542,U
36,Business - Death,67,2565,U
36,Fiction - Listen,67,3221,U
36,Sight - Debate,68,3017,U
36,Joke - Keys,68,4181,U
36,Hate - Name,69,2875,U
36,Bronze - Artery,69,3042,U
36,Bang - Fuzzy,70,3155,U
36,Hand - Fix,70,3220,U
36,Clear - Moat,71,3549,U
36,Position - Machine,71,4097,U
36,Car - Happy,72,3589,U
36,Wet - Dry,72,4511,U
36,Tuck - Allow,73,3181,U
36,Steak - Give,73,3493,U
36,Lion - Art,74,2376,U
36,Clothes - Cake,74,4147,U
36,Toil - Lease,75,2648,U
36,Accident - Strong,75,4536,U
36,Sign - Loan,76,3459,U
36,Riddle - Sugar,76,3525,U
36,Ounce - Both,77,3708,U
36,Add - Valley,77,4728,U
36,Would - Cash,78,2202,U
36,Morning - Temperature,78,4079,U
36,Sick - Hide,79,3796,U
36,Children - Mirror,79,4261,U
36,Vase - King,80,3844,U
36,Main - Scar,80,4615,U
37,Extension - Long,1,3313,F
37,Delinquent - Bad,1,4090,F
37,Digestion - Stomach,2,2796,F
37,Clue - Game,2,3395,F
37,Cactus - Plant,3,2667,F
37,Wage - Money,3,3274,F
37,Shoelace - Tie,4,2631,F
37,Chisel - Hammer,4,2636,F
37,Detective - Mystery,5,1838,F
37,Editor - News,5,2897,F
37,Hornet - Sting,6,2873,F
37,Adjourn - End,6,3280,F
37,Furry - Dog,7,3445,F
37,Bitter - Cold,7,3922,F
37,Litter - Trash,8,1634,F
37,Root - Plant,8,2759,F
37,Cherry - Red,9,1969,F
37,Swan - Bird,9,2758,F
37,Paw - Dog,10,1781,F
37,Scalp - Head,10,3030,F
37,Driver - Car,11,2285,F
37,Way - Out,11,2461,F
37,Chop - Cut,12,1946,F
37,Hygiene - Clean,12,2901,F
37,Mule - Donkey,13,2504,F
37,Bridge - Water,13,2654,F
37,Document - Paper,14,2731,F
37,Geology - Rock,14,4519,F
37,Revolution - War,15,2583,F
37,Incense - Smell,15,3454,F
37,Dine - Eat,16,2119,F
37,Discussion - Talk,16,3295,F
37,Herd - Cow,17,2656,F
37,Shears - Scissors,17,2926,F
37,Feud - Fight,18,1818,F
37,Credit - Card,18,3598,F
37,Chill - Cold,19,2980,F
37,Orchid - Flower,19,3818,F
37,Tuna -  Fish,20,1608,F
37,Affection - Love,20,2427,F
37,Turn - Flip,21,1941,B
37,Full - Enough,21,3285,B
37,Car - Windshield,22,2387,B
37,Drink - Sip,22,3397,B
37,Bad - Villain,23,2336,B
37,Dark - Cave,23,2528,B
37,Take - Seize,24,1740,B
37,Bird - Penguin,24,2207,B
37,Height - Growth,25,2521,B
37,Star - Actress,25,2792,B
37,Thread - Thimble,26,2493,B
37,Sentence - Word,26,3582,B
37,Even - Revenge,27,2171,B
37,Bug - Wasp,27,2714,B
37,Pop - Balloon,28,1996,B
37,Math - Division,28,2434,B
37,Fruit - Strawberry,29,2452,B
37,Law - Attorney,29,4151,B
37,Great - Fantastic,30,2707,B
37,Best - Favorite,30,2732,B
37,Key - Latch,31,2066,B
37,Cat - Panther,31,2172,B
37,Hot - Chili,32,2044,B
37,Glass - Breakable,32,2051,B
37,Dead - Coffin,33,2991,B
37,Ball - Racket,33,3097,B
37,Plane - Aircraft,34,2752,B
37,Work - Chore,34,3185,B
37,Fish - Sardine,35,2608,B
37,Hunger - Famine,35,2637,B
37,Sleep - Drowsy,36,2563,B
37,Baseball - League,36,2635,B
37,Money - Banker,37,2055,B
37,Smell - Stench,37,2677,B
37,Honest - Truthful,38,2712,B
37,Clothes - Attire,38,3576,B
37,Plane - Pilot,39,2638,B
37,Sleep - Nap,39,2781,B
37,Fight - Brawl,40,2556,B
37,Fire - Blaze,40,2971,B
37,Razor - Shave,41,2617,S
37,Due - Assignment,41,2622,S
37,Rights - Equal,42,2358,S
37,Number - Amount,42,2428,S
37,Mason - Jar,43,2986,S
37,Location - Site,43,3307,S
37,Candle - Wax,44,2138,S
37,Dump - Waste,44,3451,S
37,Wrist - Bracelet,45,2057,S
37,Trial - Jury,45,3604,S
37,Element - Carbon,46,2597,S
37,Architecture - Design,46,4425,S
37,Grill -Bar,47,1813,S
37,Gone - Away,47,2127,S
37,Water - Drink,48,1653,S
37,Kidney - Liver,48,2972,S
37,Earth - Ground,49,2237,S
37,Begin - End,49,2738,S
37,Alone - Lonely,50,2047,S
37,Blow - Wind,50,3030,S
37,Pop - Soda,51,2051,S
37,Dry - Wet,51,2667,S
37,Wine - Cheese,52,2284,S
37,Safety - Seatbelt,52,4417,S
37,Truth - Lie,53,2143,S
37,Bathroom - Toilet,53,3482,S
37,Phone - Communication,54,2165,S
37,Choice - Decision,54,3232,S
37,Shoe - Foot,55,2296,S
37,Rod - Reel,55,2707,S
37,Past - Future,56,1618,S
37,Flea - Tick,56,2120,S
37,Lettuce - Salad,57,1963,S
37,Loud - Noise,57,2945,S
37,Honey - Bee,58,1783,S
37,Own - Have,58,2539,S
37,Tantrum - Temper,59,2450,S
37,Baby - Child,59,2627,S
37,Sun - Tan,60,1630,S
37,Circle - Round,60,2615,S
37,Justice - Maroon,61,2074,S
37,Pusher - Clutter,61,2912,U
37,Dietary - Sacking,62,2627,U
37,Stretch - Cloth,62,3881,U
37,Park - Hungry,63,2598,U
37,Give - Steak,63,3183,U
37,Maze - Election,64,2244,U
37,Lift - Woman,64,2863,U
37,Meat - Obtain,65,2168,U
37,Soon - Belt,65,4065,U
37,Crackle - Able,66,2579,U
37,Discover - Floor,66,2863,U
37,Shell - Snake,67,2241,U
37,Death - Business,67,3477,U
37,Listen - Fiction,68,2338,U
37,Debate - Sight,68,2764,U
37,Keys - Joke,69,2049,U
37,Artery - Bronze,69,2455,U
37,Cake - Clothes,70,1808,U
37,Fix - Hand,70,3412,U
37,Name - Hate,71,2880,U
37,Machine - Position,71,3443,U
37,Fuzzy - Bang,72,2470,U
37,Happy - Car,72,2685,U
37,Moat - Clear,73,2621,U
37,Allow - Tuck,73,3074,U
37,Lease - Toil,74,1935,U
37,Art - Lion,74,3177,U
37,Loan - Sign,75,2627,U
37,Strong - Accident,75,2752,U
37,Sugar - Riddle,76,2861,U
37,Both - Ounce,76,3503,U
37,Valley - Add,77,2457,U
37,Temperature - Morning,77,2798,U
37,Cash - Would,78,2324,U
37,Mirror - Children,78,3889,U
37,Hide - Sick,79,2793,U
37,Main - Scar,79,3582,U
37,Charm - Vehicle,80,2338,U
37,King - Vase,80,2711,U
38,Delinquent - Bad,1,2208,F
38,Extension - Long,1,2269,F
38,Clue - Game,2,1612,F
38,Digestion - Stomach,2,2319,F
38,Wage - Money,3,2155,F
38,Cactus - Plant,3,3496,F
38,Shoelace - Tie,4,3293,F
38,Chisel - Hammer,4,3568,F
38,Detective - Mystery,5,2870,F
38,Editor - News,5,3928,F
38,Hornet - Sting,6,1765,F
38,Adjourn - End,6,2790,F
38,Furry - Dog,7,1752,F
38,Bitter - Cold,7,2351,F
38,Litter - Trash,8,1469,F
38,Root - Plant,8,2082,F
38,Cherry - Red,9,2759,F
38,Swan - Bird,9,3131,F
38,Paw - Dog,10,2580,F
38,Scalp - Head,10,2802,F
38,Way - Out,11,1966,F
38,Driver - Car,11,2082,F
38,Chop - Cut,12,2100,F
38,Hygiene - Clean,12,2159,F
38,Bridge - Water,13,1899,F
38,Mule - Donkey,13,2720,F
38,Document - Paper,14,1783,F
38,Geology - Rock,14,2389,F
38,Revolution - War,15,1466,F
38,Incense - Smell,15,3302,F
38,Dine - Eat,16,2018,F
38,Discussion - Talk,16,2765,F
38,Shears - Scissors,17,2080,F
38,Herd - Cow,17,2875,F
38,Feud - Fight,18,2160,F
38,Credit - Card,18,2401,F
38,Chill - Cold,19,2437,F
38,Orchid - Flower,19,2957,F
38,Tuna -  Fish,20,2010,F
38,Affection - Love,20,3725,F
38,Turn - Flip,21,2258,B
38,Full - Enough,21,2297,B
38,Drink - Sip,22,1818,B
38,Car - Windshield,22,2424,B
38,Dark - Cave,23,2970,B
38,Bad - Villain,23,3209,B
38,Bird - Penguin,24,2291,B
38,Take - Seize,24,2745,B
38,Star - Actress,25,2018,B
38,Height - Growth,25,2220,B
38,Sentence - Word,26,2251,B
38,Thread - Thimble,26,2933,B
38,Bug - Wasp,27,1452,B
38,Even - Revenge,27,3143,B
38,Pop - Balloon,28,2292,B
38,Math - Division,28,2593,B
38,Fruit - Strawberry,29,3024,B
38,Law - Attorney,29,3878,B
38,Best - Favorite,30,3210,B
38,Great - Fantastic,30,3364,B
38,Cat - Panther,31,1679,B
38,Key - Latch,31,2721,B
38,Hot - Chili,32,2408,B
38,Glass - Breakable,32,2939,B
38,Dead - Coffin,33,1637,B
38,Ball - Racket,33,2438,B
38,Work - Chore,34,1128,B
38,Plane - Aircraft,34,2263,B
38,Fish - Sardine,35,2406,B
38,Hunger - Famine,35,2520,B
38,Sleep - Drowsy,36,2261,B
38,Baseball - League,36,3868,B
38,Money - Banker,37,2028,B
38,Smell - Stench,37,2722,B
38,Honest - Truthful,38,2005,B
38,Clothes - Attire,38,2511,B
38,Sleep - Nap,39,1814,B
38,Plane - Pilot,39,2430,B
38,Fight - Brawl,40,2106,B
38,Fire - Blaze,40,2681,B
38,Razor - Shave,41,1740,S
38,Due - Assignment,41,2855,S
38,Number - Amount,42,1661,S
38,Rights - Equal,42,3245,S
38,Location - Site,43,1830,S
38,Mason - Jar,43,2149,S
38,Dump - Waste,44,2207,S
38,Candle - Wax,44,2209,S
38,Wrist - Bracelet,45,2327,S
38,Trial - Jury,45,2507,S
38,Element - Carbon,46,2437,S
38,Architecture - Design,46,2606,S
38,Grill -Bar,47,2338,S
38,Gone - Away,47,2521,S
38,Kidney - Liver,48,1786,S
38,Water - Drink,48,1973,S
38,Begin - End,49,1689,S
38,Earth - Ground,49,2117,S
38,Blow - Wind,50,1360,S
38,Alone - Lonely,50,2774,S
38,Pop - Soda,51,2599,S
38,Dry - Wet,51,2801,S
38,Safety - Seatbelt,52,2884,S
38,Wine - Cheese,52,3344,S
38,Truth - Lie,53,2056,S
38,Bathroom - Toilet,53,2898,S
38,Choice - Decision,54,2305,S
38,Phone - Communication,54,2515,S
38,Rod - Reel,55,2365,S
38,Shoe - Foot,55,2382,S
38,Past - Future,56,2758,S
38,Flea - Tick,56,3027,S
38,Lettuce - Salad,57,1599,S
38,Loud - Noise,57,3073,S
38,Own - Have,58,1914,S
38,Honey - Bee,58,2048,S
38,Tantrum - Temper,59,1193,S
38,Baby - Child,59,2784,S
38,Sun - Tan,60,2035,S
38,Circle - Round,60,2663,S
38,Justice - Maroon,61,2183,S
38,Pusher - Clutter,61,2380,U
38,Stretch - Cloth,62,1716,U
38,Dietary - Sacking,62,1980,U
38,Park - Hungry,63,1682,U
38,Give - Steak,63,3012,U
38,Lift - Woman,64,1829,U
38,Maze - Election,64,1986,U
38,Soon - Belt,65,1424,U
38,Meat - Obtain,65,3051,U
38,Discover - Floor,66,1610,U
38,Crackle - Able,66,2689,U
38,Shell - Snake,67,0,U
38,Death - Business,67,2681,U
38,Debate - Sight,68,1164,U
38,Listen - Fiction,68,4215,U
38,Keys - Joke,69,2371,U
38,Artery - Bronze,69,3033,U
38,Fix - Hand,70,2460,U
38,Cake - Clothes,70,2866,U
38,Name - Hate,71,1680,U
38,Machine - Position,71,2122,U
38,Fuzzy - Bang,72,1839,U
38,Happy - Car,72,2529,U
38,Allow - Tuck,73,1568,U
38,Moat - Clear,73,2323,U
38,Art - Lion,74,1017,U
38,Lease - Toil,74,2020,U
38,Strong - Accident,75,1617,U
38,Loan - Sign,75,1849,U
38,Sugar - Riddle,76,2005,U
38,Both - Ounce,76,3768,U
38,Valley - Add,77,1870,U
38,Temperature - Morning,77,2367,U
38,Cash - Would,78,1477,U
38,Mirror - Children,78,2616,U
38,Hide - Sick,79,1101,U
38,Main - Scar,79,3231,U
38,Charm - Vehicle,80,1877,U
38,King - Vase,80,2019,U
39,Flip - Turn,1,1407,F
39,Enough - Full,1,2125,F
39,Sip - Drink,2,2268,F
39,Windshield - Car,2,2504,F
39,Villain - Bad,3,2448,F
39,Cave - Dark,3,2486,F
39,Penguin - Bird,4,1803,F
39,Seize - Take,4,2335,F
39,Actress - Star,5,2239,F
39,Growth - Height,5,2618,F
39,Thimble - Thread,6,1438,F
39,Word - Sentence,6,2743,F
39,Revenge - Even,7,2090,F
39,Wasp - Bug,7,3283,F
39,Division - Math,8,1342,F
39,Balloon - Pop,8,2590,F
39,Attorney - Law,9,2475,F
39,Strawberry - Fruit,9,2799,F
39,Fantastic - Great,10,2694,F
39,Favorite - Best,10,4627,F
39,Latch - Key,11,1775,F
39,Panther - Cat,11,2441,F
39,Chili - Hot,12,2214,F
39,Breakable - Glass,12,4885,F
39,Coffin - Dead,13,3003,F
39,Racket - Ball,13,3436,F
39,Aircraft - Plane,14,118,F
39,Chore - Work,14,1882,F
39,Sardine - Fish,15,1597,F
39,Famine - Hunger,15,2984,F
39,League - Baseball,16,1894,F
39,Drowsy - Sleep,16,2336,F
39,Stench - Smell,17,1616,F
39,Banker - Money,17,2131,F
39,Attire - Clothes,18,3121,F
39,Truthful - Honest,18,3356,F
39,Pilot - Plane,19,2497,F
39,Nap - Sleep,19,3037,F
39,Brawl - Fight,20,1558,F
39,Blaze - Fire,20,2575,F
39,Long - Extension,21,1823,B
39,Bad - Delinquent,21,4288,B
39,Game - Clue,22,2997,B
39,Stomach - Digestion,22,3592,B
39,Money - Wage,23,2450,B
39,Tie - Shoelace,23,4500,B
39,Mystery - Detective,24,2654,B
39,News - Editor,24,3045,B
39,End - Adjourn,25,1392,B
39,Sting - Hornet,25,2580,B
39,Cold - Bitter,26,1622,B
39,Dog - Furry,26,1823,B
39,Trash - Litter,27,2760,B
39,Plant - Root,27,3184,B
39,Red - Cherry,28,2812,B
39,Bird - Swan,28,3628,B
39,Dog - Paw,29,2001,B
39,Head - Scalp,29,3151,B
39,Out - Way,30,1527,B
39,Car - Driver,30,2128,B
39,Cut - Chop,31,2367,B
39,Clean - Hygiene,31,2422,B
39,Donkey - Mule,32,2250,B
39,Water - Bridge,32,4812,B
39,Paper - Document,33,2671,B
39,Rock - Geology,33,3341,B
39,Smell - Incense,34,1860,B
39,War - Revolution,34,3049,B
39,Eat - Dine,35,2319,B
39,Talk - Discussion,35,3008,B
39,Scissors - Shears,36,1770,B
39,Cow - Herd,36,2161,B
39,Card - Credit,37,1661,B
39,Fight - Feud,37,2035,B
39,Flower - Orchid,38,2587,B
39,Plant - Cactus,38,2913,B
39,Fish - Tuna,39,2218,B
39,Cold - Chill,39,3105,B
39,Hammer - Chisel,40,1970,B
39,Love - Affection,40,2558,B
39,Shave - Razor,41,2626,S
39,Assignment - Due,41,2806,S
39,Amount - Number,42,1784,S
39,Equal - Rights,42,2976,S
39,Site - Location,43,2558,S
39,Jar - Mason,43,4143,S
39,Wax - Candle,44,2552,S
39,Waste - Dump,44,3758,S
39,Bracelet - Wrist,45,2612,S
39,Jury - Trial,45,3417,S
39,Design - Architecture,46,2326,S
39,Carbon - Element,46,2468,S
39,Away - Gone,47,2704,S
39,Bar - Grill,47,2990,S
39,Drink - Water,48,2487,S
39,Liver - Kidney,48,4130,S
39,End - Begin,49,2470,S
39,Ground - Earth,49,3085,S
39,Lonely - Alone,50,2789,S
39,Wind - Blow,50,4488,S
39,Soda - Pop,51,2538,S
39,Seatbelt - Safety,51,3480,S
39,Cheese - Wine,52,2225,S
39,Lie - Truth,52,4054,S
39,Communication - Phone,53,2254,S
39,Toilet - Bathroom,53,2476,S
39,Reel - Rod,54,1547,S
39,Decision - Choice,54,3380,S
39,Tick - Flea,55,2628,S
39,Foot - Shoe,55,2724,S
39,Noise - Loud,56,2202,S
39,Future - Past,56,2778,S
39,Salad - Lettuce,57,2666,S
39,Have - Own,57,2949,S
39,Temper - Tantrum,58,1616,S
39,Bee - Honey,58,2309,S
39,Tan - Sun,59,2449,S
39,Child - Baby,59,2491,S
39,Maroon - Justice,60,1870,S
39,Round - Circle,60,2117,S
39,Cloth - Stretch,61,2533,S
39,Clutter - Pusher,61,2853,U
39,Election - Maze,62,1693,U
39,Sacking - Dietary,62,2119,U
39,Charm - Vehicle,63,2143,U
39,Hungry - Park,63,3292,U
39,Woman - Lift,64,1929,U
39,Obtain - Meat,64,3419,U
39,Able - Crackle,65,1920,U
39,Belt - Soon,65,2095,U
39,Floor - Discover,66,2075,U
39,Shake - Shell,66,2397,U
39,Business - Death,67,2131,U
39,Fiction - Listen,67,4606,U
39,Joke - Keys,68,2090,U
39,Sight - Debate,68,3212,U
39,Hate - Name,69,1759,U
39,Bronze - Artery,69,2447,U
39,Bang - Fuzzy,70,1648,U
39,Hand - Fix,70,1767,U
39,Clear - Moat,71,1318,U
39,Position - Machine,71,2253,U
39,Car - Happy,72,1436,U
39,Wet - Dry,72,2136,U
39,Tuck - Allow,73,1746,U
39,Steak - Give,73,2867,U
39,Clothes - Cake,74,2260,U
39,Lion - Art,74,2314,U
39,Accident - Strong,75,1247,U
39,Toil - Lease,75,1862,U
39,Sign - Loan,76,1872,U
39,Riddle - Sugar,76,1899,U
39,Add - Valley,77,1732,U
39,Ounce - Both,77,2292,U
39,Would - Cash,78,1257,U
39,Morning - Temperature,78,1977,U
39,Sick - Hide,79,1917,U
39,Children - Mirror,79,2635,U
39,Main - Scar,80,1684,U
39,Vase - King,80,1800,U
40,Enough - Full,1,3206,F
40,Flip - Turn,1,4386,F
40,Sip - Drink,2,3646,F
40,Windshield - Car,2,3797,F
40,Villain - Bad,3,0,F
40,Cave - Dark,3,1939,F
40,Penguin - Bird,4,2874,F
40,Seize - Take,4,3048,F
40,Growth - Height,5,3441,F
40,Actress - Star,5,3981,F
40,Word - Sentence,6,3860,F
40,Thimble - Thread,6,4596,F
40,Wasp - Bug,7,3196,F
