Subject,cue_target,ListNum,combined,Direction
35,Flip - Turn,1,3995,F
35,Enough - Full,1,4035,F
35,Windshield - Car,2,4367,F
35,Sip - Drink,2,4903,F
35,Villain - Bad,3,3007,F
35,Cave - Dark,3,4065,F
35,Seize - Take,4,2896,F
35,Penguin - Bird,4,3713,F
35,Growth - Height,5,2681,F
35,Actress - Star,5,3410,F
35,Word - Sentence,6,3450,F
35,Thimble - Thread,6,4714,F
35,Revenge - Even,7,2616,F
35,Wasp - Bug,7,3671,F
35,Balloon - Pop,8,0,F
35,Division - Math,8,4446,F
35,Attorney - Law,9,1626,F
35,Strawberry - Fruit,9,2232,F
35,Fantastic - Great,10,2803,F
35,Favorite - Best,10,4041,F
35,Panther - Cat,11,1632,F
35,Latch - Key,11,1976,F
35,Chili - Hot,12,4524,F
35,Breakable - Glass,12,77,F
35,Coffin - Dead,13,0,F
35,Racket - Ball,13,3043,F
35,Chore - Work,14,2328,F
35,Aircraft - Plane,14,3367,F
35,Sardine - Fish,15,2280,F
35,Famine - Hunger,15,4803,F
35,Drowsy - Sleep,16,4316,F
35,League - Baseball,16,4338,F
35,Banker - Money,17,3087,F
35,Stench - Smell,17,3100,F
35,Truthful - Honest,18,2626,F
35,Attire - Clothes,18,3038,F
35,Pilot - Plane,19,1437,F
35,Nap - Sleep,19,3358,F
35,Brawl - Fight,20,1366,F
35,Blaze - Fire,20,3151,F
35,Long - Extension,21,2079,B
35,Bad - Delinquent,21,2204,B
35,Game - Clue,22,3258,B
35,Stomach - Digestion,22,3967,B
35,Tie - Shoelace,23,1981,B
35,Money - Wage,23,4341,B
35,Mystery - Detective,24,3790,B
35,News - Editor,24,4892,B
35,End - Adjourn,25,2568,B
35,Sting - Hornet,25,2919,B
35,Dog - Furry,26,0,B
35,Cold - Bitter,26,4018,B
35,Trash - Litter,27,2595,B
35,Plant - Root,27,3598,B
35,Red - Cherry,28,2868,B
35,Bird - Swan,28,4806,B
35,Dog - Paw,29,2720,B
35,Head - Scalp,29,2939,B
35,Car - Driver,30,2392,B
35,Out - Way,30,4413,B
35,Clean - Hygiene,31,1491,B
35,Cut - Chop,31,1983,B
35,Water - Bridge,32,0,B
35,Donkey - Mule,32,3321,B
35,Rock - Geology,33,2033,B
35,Paper - Document,33,2522,B
35,Smell - Incense,34,1860,B
35,War - Revolution,34,3279,B
35,Eat - Dine,35,2118,B
35,Talk - Discussion,35,4354,B
35,Scissors - Shears,36,3995,B
35,Cow - Herd,36,4445,B
35,Card - Credit,37,2641,B
35,Fight - Feud,37,3558,B
35,Plant - Cactus,38,1660,B
35,Flower - Orchid,38,2947,B
35,Fish - Tuna,39,3378,B
35,Cold - Chill,39,3610,B
35,Love - Affection,40,2987,B
35,Hammer - Chisel,40,4071,B
35,Shave - Razor,41,2715,S
35,Assignment - Due,41,2818,S
35,Amount - Number,42,2282,S
35,Equal - Rights,42,3877,S
35,Jar - Mason,43,1982,S
35,Site - Location,43,3496,S
35,Waste - Dump,44,2344,S
35,Wax - Candle,44,3812,S
35,Bracelet - Wrist,45,2759,S
35,Jury - Trial,45,4913,S
35,Design - Architecture,46,4204,S
35,Carbon - Element,46,4268,S
35,Bar - Grill,47,2285,S
35,Away - Gone,47,4817,S
35,Liver - Kidney,48,2681,S
35,Drink - Water,48,3534,S
35,End - Begin,49,2089,S
35,Ground - Earth,49,4544,S
35,Wind - Blow,50,2427,S
35,Lonely - Alone,50,3479,S
35,Soda - Pop,51,2368,S
35,Seatbelt - Safety,51,4492,S
35,Cheese - Wine,52,2649,S
35,Lie - Truth,52,4059,S
35,Toilet - Bathroom,53,2168,S
35,Communication - Phone,53,4607,S
35,Decision - Choice,54,2725,S
35,Reel - Rod,54,4619,S
35,Foot - Shoe,55,3327,S
35,Tick - Flea,55,4926,S
35,Future - Past,56,2159,S
35,Noise - Loud,56,2263,S
35,Have - Own,57,1285,S
35,Salad - Lettuce,57,2534,S
35,Bee - Honey,58,2009,S
35,Temper - Tantrum,58,2552,S
35,Child - Baby,59,2319,S
35,Tan - Sun,59,4000,S
35,Maroon - Justice,60,2297,S
35,Round - Circle,60,3336,S
35,Cloth - Stretch,61,3428,S
35,Clutter - Pusher,61,3732,U
35,Election - Maze,62,3703,U
35,Sacking - Dietary,62,4580,U
35,Hungry - Park,63,3130,U
35,Charm - Vehicle,63,4649,U
35,Woman - Lift,64,2379,U
35,Obtain - Meat,64,2635,U
35,Belt - Soon,65,3075,U
35,Able - Crackle,65,3613,U
35,Floor - Discover,66,3582,U
35,Shake - Shell,66,3979,U
35,Fiction - Listen,67,3623,U
35,Business - Death,67,4861,U
35,Joke - Keys,68,3116,U
35,Sight - Debate,68,4059,U
35,Hate - Name,69,1542,U
35,Bronze - Artery,69,1759,U
35,Bang - Fuzzy,70,2178,U
35,Hand - Fix,70,3845,U
35,Clear - Moat,71,1653,U
35,Position - Machine,71,2654,U
35,Car - Happy,72,2285,U
35,Wet - Dry,72,2818,U
35,Steak - Give,73,1175,U
35,Tuck - Allow,73,2965,U
35,Clothes - Cake,74,1573,U
35,Lion - Art,74,2045,U
35,Accident - Strong,75,3082,U
35,Toil - Lease,75,3573,U
35,Sign - Loan,76,1957,U
35,Riddle - Sugar,76,4612,U
35,Add - Valley,77,4151,U
35,Ounce - Both,77,4988,U
35,Morning - Temperature,78,3356,U
35,Would - Cash,78,4505,U
35,Children - Mirror,79,2237,U
35,Sick - Hide,79,4466,U
35,Main - Scar,80,162,U
35,Vase - King,80,4144,U
36,Enough - Full,1,3339,F
36,Flip - Turn,1,4475,F
36,Sip - Drink,2,2199,F
36,Windshield - Car,2,3080,F
36,Villain - Bad,3,4192,F
36,Cave - Dark,3,4603,F
36,Seize - Take,4,2866,F
36,Penguin - Bird,4,4295,F
36,Actress - Star,5,3541,F
36,Growth - Height,5,4480,F
36,Word - Sentence,6,3433,F
36,Thimble - Thread,6,3629,F
36,Revenge - Even,7,4242,F
36,Wasp - Bug,7,4945,F
36,Balloon - Pop,8,3926,F
36,Division - Math,8,4519,F
36,Attorney - Law,9,3176,F
36,Strawberry - Fruit,9,4239,F
36,Fantastic - Great,10,3072,F
36,Favorite - Best,10,3891,F
36,Latch - Key,11,3437,F
36,Panther - Cat,11,3744,F
36,Chili - Hot,12,2943,F
36,Breakable - Glass,12,4675,F
36,Racket - Ball,13,2783,F
36,Coffin - Dead,13,4740,F
36,Chore - Work,14,2995,F
36,Aircraft - Plane,14,4509,F
36,Famine - Hunger,15,4020,F
36,Sardine - Fish,15,4024,F
36,Drowsy - Sleep,16,2765,F
36,League - Baseball,16,4454,F
36,Stench - Smell,17,3842,F
36,Banker - Money,17,4114,F
36,Attire - Clothes,18,2717,F
36,Truthful - Honest,18,3577,F
36,Nap - Sleep,19,2603,F
36,Pilot - Plane,19,4480,F
36,Blaze - Fire,20,3253,F
36,Brawl - Fight,20,3753,F
36,Long - Extension,21,3416,B
36,Bad - Delinquent,21,4805,B
36,Stomach - Digestion,22,0,B
36,Game - Clue,22,4489,B
36,Money - Wage,23,3551,B
36,Tie - Shoelace,23,4183,B
36,Mystery - Detective,24,4145,B
36,News - Editor,24,4457,B
36,Sting - Hornet,25,3832,B
36,End - Adjourn,25,3960,B
36,Dog - Furry,26,2583,B
36,Cold - Bitter,26,3927,B
36,Trash - Litter,27,0,B
36,Plant - Root,27,2912,B
36,Bird - Swan,28,3109,B
36,Red - Cherry,28,3400,B
36,Dog - Paw,29,2162,B
36,Head - Scalp,29,3883,B
36,Car - Driver,30,3292,B
36,Out - Way,30,4693,B
36,Cut - Chop,31,2879,B
36,Clean - Hygiene,31,3166,B
36,Donkey - Mule,32,3575,B
36,Water - Bridge,32,4942,B
36,Rock - Geology,33,0,B
36,Paper - Document,33,4075,B
36,War - Revolution,34,2778,B
36,Smell - Incense,34,4892,B
36,Talk - Discussion,35,3046,B
36,Eat - Dine,35,4857,B
36,Scissors - Shears,36,3616,B
36,Cow - Herd,36,4898,B
36,Fight - Feud,37,179,B
36,Card - Credit,37,2745,B
36,Plant - Cactus,38,3527,B
36,Flower - Orchid,38,4496,B
36,Fish - Tuna,39,3423,B
36,Cold - Chill,39,3729,B
36,Hammer - Chisel,40,0,B
36,Love - Affection,40,3829,B
36,Assignment - Due,41,2472,S
36,Shave - Razor,41,4509,S
36,Amount - Number,42,3381,S
36,Equal - Rights,42,3756,S
36,Jar - Mason,43,0,S
36,Site - Location,43,3640,S
36,Waste - Dump,44,3373,S
36,Wax - Candle,44,3499,S
36,Bracelet - Wrist,45,0,S
36,Jury - Trial,45,3504,S
36,Design - Architecture,46,3358,S
36,Carbon - Element,46,3445,S
36,Away - Gone,47,3363,S
36,Bar - Grill,47,3969,S
